dataset_id,dm_threshold,min_pts,rmin_kpc,tng_gal,sparc_gal,massmatch_pairs,massmatch_mean_abs_dlogM,un_n_tng,un_n_sparc,un_mw_p,un_cliffs_delta,un_median_tng,un_median_sparc,un_median_diff,un_median_ratio,mm_n_tng,mm_n_sparc,mm_mw_p,mm_cliffs_delta,mm_median_tng,mm_median_sparc,mm_median_diff,mm_median_ratio,mm_score
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.8,20,2.0,418,12,8,0.0242677537561351,418,12,0.2605955353732482,0.1905901116427433,0.0475120059554669,0.0377406406539499,0.009771365301517,1.2589083050050014,8,8,0.3822843822843822,0.28125,0.0452800940879337,0.0344770519285198,0.0108030421594139,1.3133400785488138,0.1174537811635386
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.6,10,1.0,2096,58,41,0.0291343031737848,2096,58,1.635878578697324e-07,-0.4025401421426691,0.0216899120806748,0.041800064708422,-0.0201101526277472,0.5188966149209011,41,41,0.2006106109054222,-0.1647828673408685,0.021485210808726,0.0351448661684553,-0.0136596553597293,0.6113328389342484,0.1149601246733351
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.5,15,0.5,1932,36,25,0.0234074801585195,1932,36,2.8462089688039714e-06,-0.4547964113181504,0.0263925746173586,0.0484436411212046,-0.0220510665038459,0.5448098864270998,25,25,0.2523052121646835,-0.1904,0.0283294899303733,0.0429600470929267,-0.0146305571625533,0.6594380557612967,0.1138732472663269
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.6,10,0.0,2096,63,42,0.0305701705444567,2096,63,6.410358523187663e-11,-0.4824760693081303,0.0216899120806748,0.0452739423792032,-0.0235840302985284,0.4790815851424099,42,42,0.225439158584861,-0.1541950113378685,0.0217068633171062,0.0357177387330339,-0.0140108754159277,0.6077334144625002,0.0997596459665613
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.6,10,2.0,2096,50,38,0.0172783251901018,2096,50,3.1484386331476396e-06,-0.3851717557251908,0.0216899120806748,0.038969606865643,-0.0172796947849681,0.5565853449704014,38,38,0.238350915134338,-0.1578947368421053,0.0199234140501191,0.0340395172803684,-0.0141161032302493,0.5853024849329908,0.0983341857293029
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.6,15,1.0,1582,30,20,0.0110135679818041,1582,30,0.0002315239176756,-0.3919089759797725,0.027843903612493,0.044052415481432,-0.0162085118689389,0.6320630391817949,20,20,0.3104022561461582,-0.1899999999999999,0.0293590427567429,0.0405445788932281,-0.0111855361364852,0.7241175900250023,0.096534274842618
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.7,20,2.0,661,15,11,0.0155502825941122,661,15,0.2551891673355019,0.1717599596570851,0.0435828895636435,0.0378299983115514,0.0057528912520921,1.1520722048336836,11,11,0.3933016393506153,0.2231404958677685,0.0356251211205543,0.0329341683922816,0.0026909527282726,1.0817070191729308,0.0904330956281204
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.7,10,0.0,1760,53,31,0.0311697935605864,1760,53,3.005882178877581e-11,-0.5351200686106347,0.0213516708118641,0.0515945729202036,-0.0302429021083394,0.4138355955555006,31,31,0.2783425573597726,-0.1612903225806451,0.0261051873806477,0.0394909751721792,-0.0133857877915314,0.6610418523936186,0.0895839333648623
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.5,20,2.0,1405,17,13,0.0058923005064954,1405,17,0.3399471893784698,-0.1345195729537366,0.0328572046482281,0.0394613458431417,-0.0066041411949136,0.8326427785518257,13,13,0.3833202927297332,-0.2071005917159762,0.024695498103444,0.0392390663811577,-0.0145435682777136,0.6293599817987163,0.0862445953273888
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.7,10,1.0,1760,48,30,0.0298121816962372,1760,48,9.412661113639918e-08,-0.4509706439393939,0.0213516708118641,0.0445639007006844,-0.0232122298888203,0.4791248179838133,30,30,0.2904721494938346,-0.16,0.0237498856888737,0.0386604867418653,-0.0149106010529916,0.6143193655954428,0.0859032802379198
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.6,10,0.5,2096,60,42,0.0305701705444567,2096,60,8.270784392272031e-09,-0.4357506361323155,0.0216899120806748,0.042760173953261,-0.0210702618725862,0.5072456464836406,42,42,0.285045190966813,-0.1360544217687075,0.0217068633171062,0.0357177387330339,-0.0140108754159277,0.6077334144625002,0.0741613988618702
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.4,20,1.0,1773,24,17,0.004573196325186,1773,24,0.0363972409109022,-0.2483549539387103,0.0301470184605513,0.0443205473670708,-0.0141735289065195,0.680204109639446,17,17,0.3891894127842222,-0.1764705882352941,0.0237444686429973,0.0392390663811577,-0.0154945977381604,0.605123180361885,0.0723245263170205
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.8,10,2.0,1363,39,27,0.0289011655945657,1363,39,6.724447154471294e-07,-0.4661098256109262,0.0226259040503558,0.040728819324869,-0.0181029152745132,0.5555256554304393,27,27,0.3413512733031858,-0.1522633744855966,0.0260121892242776,0.0384778678881442,-0.0124656786638665,0.6760299011342181,0.0710763106748942
