# No_min[m]    No_min[n]    Radius[i](mps2/h70)    Radius[j](mps2/h70)    covariance(h70*M_sun/pc^2)^2    correlation    bias(1+K[m,i])(1+K[n,j])
-9.990000000000000000e+02 -9.990000000000000000e+02 4.302961856542886968e-15 4.041582967480835065e-13 8.881382309815796881e-05 4.204345412755773311e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 4.302961856542886968e-15 7.130984605939525963e-13 1.200094476146670614e-04 4.302878411148436367e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 4.302961856542886968e-15 1.258193679538452461e-12 5.489430685791161195e-05 1.494253773283749662e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 4.302961856542886968e-15 2.219961790286235902e-12 -1.314021912140277929e-04 -2.704625938203049536e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 4.302961856542886968e-15 3.916909161504292686e-12 -3.497205809426457069e-05 -5.428934295177744503e-05 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 7.592162527861749358e-15 1.382201932178117638e-15 4.664573651865272681e-04 2.449116366089737137e-02 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 7.592162527861749358e-15 2.438762430455725505e-15 1.013110673667687615e-03 4.130382932050795375e-02 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 7.592162527861749358e-15 4.302961856542886968e-15 1.744552552351415165e-03 5.496396038077600715e-02 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 7.592162527861749358e-15 7.592162527861749358e-15 4.104163362017791694e-02 1.000000000000000000e+00 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 7.592162527861749358e-15 1.339564090297987229e-14 2.031506176850259894e-03 3.806831682467068378e-02 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 7.592162527861749358e-15 2.363532057474613662e-14 1.368143114671563094e-03 1.962336006337458624e-02 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 7.592162527861749358e-15 4.170225095738051496e-14 9.041561482290948323e-04 9.896194730881595347e-03 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 7.592162527861749358e-15 7.357961274155570078e-14 5.043252377475589653e-04 4.204018270376489765e-03 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 7.592162527861749358e-15 1.298241530590361534e-13 3.671688267847346616e-04 2.328391138354354850e-03 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 7.592162527861749358e-15 2.290622373441387703e-13 1.706565444159663695e-04 8.220306657761146472e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 7.592162527861749358e-15 4.041582967480835065e-13 2.266007132435350396e-05 8.295842450962790380e-05 9.708287439144076547e-01
