# logmstar_GL_min[m]    logmstar_GL_min[n]    Radius[i](mps2/h70)    Radius[j](mps2/h70)    covariance(h70*M_sun/pc^2)^2    correlation    bias(1+K[m,i])(1+K[n,j])
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 2.438762430455725505e-15 2.826371758238572021e-02 1.000000000000000000e+00 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 4.302961856542886968e-15 3.222130438179158889e-03 8.907604169382839221e-02 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 7.592162527861749358e-15 2.258301163256599530e-03 4.838894862366399652e-02 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 1.339564090297987229e-14 1.348136436011643886e-03 2.216812916888049115e-02 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 2.363532057474613662e-14 7.758315429177236287e-04 9.744220685315996278e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 4.170225095738051496e-14 4.411785903054137319e-04 4.217402653836355153e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 7.357961274155570078e-14 2.436862795890243881e-04 1.768240670284476276e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 1.298241530590361534e-13 1.311082525112695495e-04 7.214965746165458247e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 2.290622373441387703e-13 6.373989209660971245e-05 2.661412789558968597e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 4.041582967480835065e-13 2.192444327455709416e-05 6.943264970211427409e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 7.130984605939525963e-13 -3.213193997686556428e-05 -7.680563562796869660e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 1.258193679538452461e-12 1.376271259272812933e-05 2.480403751267162740e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 2.219961790286235902e-12 -2.738488699149367207e-05 -3.691902574171238114e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 3.916909161504292686e-12 -1.822639750079687370e-05 -1.822260591170056293e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 1.382201932178117638e-15 2.053131427432968066e-03 7.153243152288048246e-02 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 2.438762430455725505e-15 3.222130438179158889e-03 8.907604169382839221e-02 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 4.302961856542886968e-15 4.629511107503658102e-02 1.000000000000000000e+00 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 7.592162527861749358e-15 3.482413670138512999e-03 5.830311570609029298e-02 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 1.339564090297987229e-14 2.363751821733849675e-03 3.036995515289631076e-02 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 2.363532057474613662e-14 1.395671560935283703e-03 1.369651208031310609e-02 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 4.170225095738051496e-14 8.479212846120048235e-04 6.333346551758718690e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 7.357961274155570078e-14 5.129653170613742178e-04 2.908341345186615020e-03 9.708287439144076547e-01
