# n_2dphot_min[m]    n_2dphot_min[n]    Radius[i](mps2/h70)    Radius[j](mps2/h70)    covariance(h70*M_sun/pc^2)^2    correlation    bias(1+K[m,i])(1+K[n,j])
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 1.382201932178117638e-15 1.188227210219203840e-03 3.599574741228062785e-02 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 2.438762430455725505e-15 4.277729636985133643e-02 1.000000000000000000e+00 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 4.302961856542886968e-15 1.587366525114981006e-03 2.855748301682182674e-02 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 7.592162527861749358e-15 1.087453398241636227e-03 1.505823901874265257e-02 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 1.339564090297987229e-14 7.736230608848647253e-04 8.224182955949290233e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 2.363532057474613662e-14 5.020469692744113002e-04 4.079637535779168968e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 4.170225095738051496e-14 3.116406181619299194e-04 1.929881390622833386e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 7.357961274155570078e-14 2.843207460920236271e-04 1.340729715647095760e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 1.298241530590361534e-13 2.985290706993445594e-04 1.071293779445928879e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 2.290622373441387703e-13 1.366443855890476177e-04 3.723805495951378009e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 4.041582967480835065e-13 1.085403291119514647e-04 2.243885474239674645e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 7.130984605939525963e-13 2.468452279683608624e-04 3.873621953950187775e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 1.258193679538452461e-12 -8.834042994231883249e-05 -1.053895575997466661e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 2.219961790286235902e-12 2.923660505046902320e-04 2.635188169065962082e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 3.916909161504292686e-12 -1.322865975750764313e-04 -9.033873966302806641e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 1.382201932178117638e-15 8.490480909570569156e-04 1.979429481480379088e-02 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 2.438762430455725505e-15 1.587366525114981006e-03 2.855748301682182674e-02 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 4.302961856542886968e-15 7.222727799296556339e-02 1.000000000000000000e+00 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 7.592162527861749358e-15 1.824328803749316729e-03 1.944118303351237420e-02 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 1.339564090297987229e-14 1.257974275279116587e-03 1.029179574508176480e-02 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 2.363532057474613662e-14 7.879963543990659838e-04 4.927850000708899197e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 4.170225095738051496e-14 4.091438353829230973e-04 1.949883280994259239e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 7.357961274155570078e-14 3.133334765792686739e-04 1.137091792212893389e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 1.298241530590361534e-13 4.423303392061192632e-05 1.221587907064095870e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 2.290622373441387703e-13 1.325758154432472521e-04 2.780452919405069644e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 4.041582967480835065e-13 8.442276114261363035e-05 1.343151951807857630e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 7.130984605939525963e-13 2.686289235022140762e-04 3.244152877062790922e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 1.258193679538452461e-12 -2.091657359227391236e-04 -1.920368873607014950e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 2.219961790286235902e-12 -2.646845744064903107e-04 -1.835985999081438179e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 3.916909161504292686e-12 -3.291138705358262776e-04 -1.729658674193067062e-04 9.708287439144076547e-01
