# No_min[m]    No_min[n]    Radius[i](mps2/h70)    Radius[j](mps2/h70)    covariance(h70*M_sun/pc^2)^2    correlation    bias(1+K[m,i])(1+K[n,j])
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 4.170225095738051496e-14 1.787485994326559952e-04 2.028882365126733779e-04 9.712109791184360130e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 7.357961274155570078e-14 4.897975986092536777e-04 4.191344328965920427e-04 9.712109791184360130e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 1.298241530590361534e-13 9.524559307336753324e-06 6.137593492057971793e-06 9.712109791184360130e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 2.290622373441387703e-13 -5.631333210255095917e-05 -2.730858191054117313e-05 9.712109791184360130e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 4.041582967480835065e-13 9.672629483141937561e-04 3.533788031318497113e-04 9.712109791184360130e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 7.130984605939525963e-13 -1.002205614162697414e-03 -2.764577034465659977e-04 9.712109791184360130e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 1.258193679538452461e-12 -1.801163941204451339e-03 -3.725602318087979843e-04 9.712109791184360130e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 2.219961790286235902e-12 3.041302059565186618e-03 4.734282182602219833e-04 9.712109791184360130e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 3.916909161504292686e-12 -9.733724339886659638e-03 -1.135018150383038495e-03 9.712109791184360130e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 4.302961856542886968e-15 1.382201932178117638e-15 2.809627196283689694e-03 1.271794134881718170e-02 9.712109791184360130e-01
