name,ra,dec,Vsys,env_class,group_name,env_dense,logMh,local_density,team_release
WALLABY J165103-600109,252.765980,-60.019244,5797.5,field,field,field,11.0,0.1608,Norma TR1
WALLABY J165348-590530,253.452449,-59.091695,1648.1,field,field,field,11.0,1056.9939,Norma TR1
WALLABY J165419-615311,253.582493,-61.886590,4512.1,field,field,field,11.0,2.9431,Norma TR1
WALLABY J165644-622413,254.184255,-62.403763,5098.8,field,field,field,11.0,15.3509,Norma TR1
WALLABY J165724-595238,254.350178,-59.877497,3203.7,field,field,field,11.0,2.1913,Norma TR1
WALLABY J165804-605308,254.517499,-60.885581,1031.9,field,field,field,11.0,269.5432,Norma TR1
WALLABY J165901-601241,254.754682,-60.211533,1140.9,field,field,field,11.0,291.6579,Norma TR1
WALLABY J165949-584125,254.957777,-58.690497,4754.1,field,field,field,11.0,1.0350,Norma TR1
WALLABY J170303-614604,255.765860,-61.767899,2719.2,field,field,field,11.0,2.2344,Norma TR1
WALLABY J170659-620502,256.745912,-62.083979,1500.5,field,field,field,11.0,1169.2100,Norma TR1
WALLABY J170747-595059,256.947861,-59.849852,4691.4,field,field,field,11.0,4.1699,Norma TR1
WALLABY J170915-613637,257.314297,-61.610447,4219.1,field,field,field,11.0,0.3597,Norma TR1
WALLABY J171015-615505,257.562693,-61.918107,4825.7,field,field,field,11.0,0.3485,Norma TR1
WALLABY J171338-590621,258.410767,-59.106086,3512.4,field,field,field,11.0,0.1990,Norma TR1
WALLABY J171804-575135,259.520601,-57.859982,1080.6,field,field,field,11.0,9.7717,Norma TR1
WALLABY J171829-602453,259.622204,-60.414766,5633.0,field,field,field,11.0,7.8395,Norma TR1
WALLABY J172007-600928,260.030921,-60.157991,4505.6,field,field,field,11.0,1.2419,Norma TR1
