445092 11.01 12.39 246.99  7.49 1.78 0.78
445271 11.09 12.36 252.65 10.19 2.37 0.90
445567 10.75 12.20 198.00 13.11 2.28 0.88
445939 10.94 12.42 257.35  7.88 1.78 0.81
446112 11.09 12.36 260.05  7.05 1.98 0.78
447606 11.10 12.31 229.29  9.46 1.88 0.79
448021 11.00 12.38 244.09  8.93 2.24 0.83
449201 10.87 12.39 241.59  6.82 1.89 0.78
449267 10.95 12.26 231.86  8.91 2.12 0.84
449465 10.93 12.38 237.80  8.94 2.19 0.85
449651 10.96 12.34 230.55 12.44 2.00 0.87
449972 10.97 12.22 239.78  9.15 2.03 0.72
450849 10.95 12.30 237.22 10.25 1.86 0.84
451323 10.88 12.30 228.69  8.54 1.94 0.84
451410 10.81 12.22 217.40 11.78 1.79 0.90
452279 10.91 12.28 231.56  7.83 1.95 0.80
452357 10.80 12.04 222.34  5.35 2.68 0.86
453313 10.80 12.25 212.62  9.29 2.11 0.83
453393 10.76 12.25 211.65  8.01 1.79 0.73
453713 11.06 12.34 253.99 11.88 1.77 0.81
453961 10.72 12.12 213.98  7.24 2.28 0.90
456538 10.94 12.31 234.52 10.52 1.72 0.82
456725 10.84 12.29 228.30 11.07 2.19 0.85
457000 10.84 12.26 212.36  5.68 1.75 0.78
458604 10.95 12.25 223.44  9.91 1.71 0.87
461202 10.70 12.18 198.04 10.20 2.64 0.89
461806 10.78 12.17 217.84  9.38 2.25 0.78
462077 10.89 12.24 214.97 11.75 2.01 0.85
462564 10.92 12.23 219.84 12.97 1.79 0.79
463395 10.72 12.18 201.36  7.29 1.85 0.86
465495 10.85 12.29 218.37  5.87 1.75 0.78
466387 10.91 12.18 230.78  5.97 1.83 0.81
466436 10.72 12.13 215.61  6.54 1.96 0.81
466746 10.86 12.21 226.33  7.38 3.07 0.87
467575 10.72 12.14 207.41  7.01 2.05 0.85
467871 10.75 12.13 210.36 14.01 1.76 0.80
467958 10.94 12.28 239.64  8.45 2.07 0.77
468921 10.93 12.16 225.26  9.25 2.55 0.85
469265 10.86 12.20 224.09  7.41 2.31 0.87
469438 10.91 12.20 229.80  8.59 1.80 0.72
469502 10.82 12.15 211.71 10.19 2.50 0.87
469930 10.90 12.14 220.61  8.71 2.94 0.86
470617 10.80 12.14 229.84  5.75 3.49 0.79
471420 10.87 12.20 213.82  8.76 2.19 0.81
471665 10.70 12.10 203.44  5.95 2.32 0.86
471857 10.99 12.13 212.09  8.04 1.87 0.86
472174 10.95 12.20 231.12  7.59 2.69 0.86
473641 10.90 12.18 216.34 10.36 1.75 0.78
474170 10.77 12.23 222.58  8.42 1.87 0.84
474813 10.77 12.11 213.30  7.88 2.23 0.83
