recno	ID	Rad	VRot	E_VRot	e_VRot
1569	"NGC4535 "	4.925	163.209	33.0547	17.2804
1570	"NGC4535 "	5.075	164.794	33.6224	18.3543
1571	"NGC4535 "	5.225	167.338	31.2105	20.2673
1572	"NGC4535 "	5.375	169.019	31.088	20.9654
1573	"NGC4535 "	5.525	170.296	29.8729	21.6494
1574	"NGC4535 "	5.675	169.776	29.8939	22.4353
1575	"NGC4535 "	5.825	169.527	31.1502	21.8543
1576	"NGC4535 "	5.975	169.09	32.1779	21.2903
1577	"NGC4535 "	6.125	170.099	30.7993	20.9751
1578	"NGC4535 "	6.275	170.468	32.2141	19.3595
1579	"NGC4535 "	6.425	169.888	31.3408	19.2866
1580	"NGC4535 "	6.575	170.466	29.6271	18.6102
1581	"NGC4535 "	6.725	171.383	27.5116	19.5893
1582	"NGC4535 "	6.875	171.767	28.1299	18.7688
1583	"NGC4535 "	7.025	174.076	28.2391	18.5151
1584	"NGC4535 "	7.175	174.726	28.0316	18.8369
1585	"NGC4535 "	7.325	175.032	28.2078	18.8211
1586	"NGC4535 "	7.475	175.49	29.9296	17.9634
1587	"NGC4535 "	7.625	177.266	32.405	16.8413
1588	"NGC4535 "	7.775	179.973	36.1831	15.9359
1589	"NGC4535 "	7.925	181.08	37.9199	16.0713
1590	"NGC4535 "	8.075	183.519	36.7431	15.9051
1591	"NGC4535 "	8.225	184.798	36.3658	15.4534
1592	"NGC4535 "	8.375	183.622	36.6294	13.1508
1593	"NGC4536 "	0.125	97.7768	23.0731	27.2675
1594	"NGC4536 "	0.275	143.443	20.6752	32.1112
1595	"NGC4536 "	0.425	151.576	8.0776	21.186
1596	"NGC4536 "	0.575	146.383	4.1828	8.4704
1597	"NGC4536 "	0.725	146.41	8.3782	6.131
1598	"NGC4536 "	0.875	163.375	6.2366	5.0454
1599	"NGC4536 "	1.025	184.546	3.786	4.7819
1600	"NGC4536 "	1.175	197.512	3.7244	3.8324
1601	"NGC4536 "	1.325	205.999	3.0834	4.1453
1602	"NGC4536 "	1.475	209.801	2.5573	4.5107
1603	"NGC4536 "	1.625	213.058	3.0736	6.6287
1604	"NGC4536 "	1.775	210.902	4.1664	6.7314
1605	"NGC4536 "	1.925	204.775	7.3817	4.736
1606	"NGC4536 "	2.075	204.792	5.0264	6.3656
1607	"NGC4536 "	2.225	195.901	6.5785	4.9447
