galaxy,logMh,env_dense,log_Rext,log_npoints,sigma_D_dex,Inc,mean_log_gbar,T2_scatter_transition,T2_scatter_transition_resid,T3_acf_lag1,T3_acf_lag1_resid,T5_xi_coherence_ratio,T5_xi_coherence_ratio_resid,T4_abs_scatter_raw,T4_abs_scatter_resid
I 653,11.0,field,1.156298708668871,0.8450980400142568,0.1,60.0,-10.614077,,,0.359997830350142,-0.2076279035898192,0.7668253260072593,-0.43211395485526527,0.5114155714285714,0.41433670671687617
I 728,11.0,field,1.3123663350068004,1.0,0.1,60.0,-11.224852,,,0.7105873053311824,0.010396034414983046,1.1380317417335335,-0.5357746252667821,0.5208146,0.37390009909436195
I 944,11.0,field,1.288963524122026,0.9542425094393249,0.1,60.0,-10.259725,,,0.1638795323411964,-0.4042525650848829,0.8029881382013001,-0.10949234161852295,0.3587288888888889,0.3263271124471342
IC 10,12.447,field,-0.26760624017703144,0.0,0.1,60.0,-10.191426,,,,,,,0.190398,0.2227997764417547
IC 1654,12.5,field,1.0606978403536116,0.0,0.1,60.0,-10.523922,,,,,,,0.026308,0.058709776441754666
IC 167,12.427,field,2.108531330779998,0.0,0.1,60.0,-12.855361,,,,,,,0.919322,0.9615379054773706
IC 1959,11.0,field,0.724275869600789,0.0,0.1,60.0,-11.830383,,,,,,,0.275868,0.12585525244755802
IC 2387,11.0,field,2.1605254748874265,0.0,0.1,60.0,-12.333014,,,,,,,0.69054,0.7327559054773707
IC 356,13.294,dense,1.0413926851582251,0.0,0.1,60.0,-9.82019,,,,,,,0.080985,0.048583223558245334
IC 357,12.5,field,1.1760912590556813,0.0,0.1,60.0,-10.085222,,,,,,,0.844804,0.8772057764417547
IC 476,11.0,field,0.38381536598043126,0.47712125471966244,0.1,60.0,-10.029449,,,,,,,0.3523126666666667,0.38471444310842134
IC 5052,11.0,field,1.2068258760318498,0.0,0.1,60.0,-12.255483,,,,,,,0.285769,0.24355309452262938
IC 5152,11.0,field,0.6020599913279624,0.3010299956639812,0.1,60.0,-11.940194,,,,,,,0.37882499999999997,0.228812252447558
IC 529,11.0,field,2.006876729095515,0.0,0.1,60.0,-12.311268,,,,,,,0.614455,0.6566709054773706
IC1954,11.0,field,,1.5314789170422551,0.1,60.0,-9.922099,,,,,,,0.11165614705882353,0.07953129380576937
IC2233,11.0,field,0.8686444383948257,1.3979400086720377,0.1,60.0,-12.132122,,,0.17851972738330404,-0.6264355307394534,2.0934064707141498,-0.7109874553872966,0.3621003043478261,0.27806437851683546
IC2574,12.0,field,1.0098756337121602,1.5314789170422551,0.0212,75.0,-11.874626,,,0.44677407252729284,-0.3095611736275786,3.4230513151901194,0.5276899876326331,0.09415538235294119,0.23062282031052392
IC4202,11.0,field,0.9576072870600952,0.0,0.1,60.0,-9.929447,,,,,,,0.076648,0.044246223558245326
IC5273,11.0,field,,1.5185139398778875,0.1,60.0,-9.976021,,,,,,,0.20118639393939394,0.16356252842221258
IZw 18,11.0,field,1.386402982106707,0.0,0.1,60.0,-13.133935,,,,,,,,
KK98-251,9.5,field,0.011340337664954984,1.1760912590556813,0.1894,59.0,-11.302063,,,0.9772953428620681,0.4294760759380243,2.1182273467681814,0.004445809590767791,0.11254646666666666,0.13915773553014799
LSBCF563-1,11.0,field,1.2425414282983842,0.9030899869919435,0.1,60.0,-11.519726,,,0.018503020249195534,-0.6875387822735135,2.0359744570510903,0.14729452980000013,0.206513,0.1016528131118895
M+004027,11.0,field,0.833905603584481,0.6989700043360189,0.1,60.0,-11.599988,,,,,1.9192629664512262,-0.1333872912655807,0.2991958,0.1915301514685348
M+008065,11.0,field,0.8179635216296532,0.6989700043360189,0.1,60.0,-11.304781,,,,,1.6726446286176513,-0.1586782626676817,0.24139159999999998,0.15226916479619307
M+012059,11.0,field,0.9513250338645787,0.6989700043360189,0.1,60.0,-11.88397,,,,,2.3370133605095536,0.12279355628852962,0.2740274,0.21887501890452588
M+055011,11.0,field,1.049582948107789,0.6989700043360189,0.1,60.0,-10.790142,,,,,1.1032784797808313,-0.211732158773434,0.3360868,0.23577408087480772
M+631092,11.0,field,1.206048819196156,0.9030899869919435,0.1,60.0,-10.544598,0.05770952963349847,-0.01612689045535816,0.26168982973755317,-0.31711566320065254,0.8325384712913225,-0.31692152269060825,0.4055975,0.31660327132204735
M+632004,11.0,field,0.7875111274460646,0.6989700043360189,0.1,60.0,-12.034444,,,,,2.5811200489309445,0.16760872384804593,0.23973260000000002,0.19284368829856335
M+632024,11.0,field,0.9428689387268877,0.6989700043360189,0.1,60.0,-10.660197,,,,,1.086157882469064,-0.18156982395777854,0.3154706,0.21515788087480772
M+648005,11.0,field,1.3155378918163174,1.0,0.1,60.0,-9.932647,,,0.9998963168114907,0.4589216433386337,1.3602634464452836,0.6919617888876803,0.1603917,0.128783694181457
M+720074,11.0,field,1.020023371229906,0.6989700043360189,0.1,60.0,-11.608656,,,,,1.8804654125553442,-0.08531266012572392,0.28483939999999996,0.18331213814087657
M+731023,11.0,field,0.9694003483028903,0.6989700043360189,0.1,60.0,-11.271594,,,,,1.6250579295793701,-0.10431825152971741,0.2468558,0.1577333647961931
M+913011,11.0,field,1.5867357045167196,1.2787536009528289,0.1,60.0,-11.301618,,,0.9225951323082289,0.11145188548961316,1.2361603471823566,-0.501189692382922,0.5220991578947368,0.37464886997498986
M-103075,11.0,field,0.9182161310165673,0.6989700043360189,0.1,60.0,-10.281998,,,,,1.2433409384173901,0.2570358123279266,0.111073,0.10459264471164906
M-103083,11.0,field,1.2990864633400947,0.9542425094393249,0.1,60.0,-10.532368,0.09369999586531019,0.021709354486995472,-0.150157601534759,-0.7538499727579636,0.9049106435810526,-0.21429399658422055,0.3668383333333333,0.2841321549038471
M-105017,11.0,field,0.4770854963352454,0.6989700043360189,0.1,60.0,-11.336653,,,,,1.3499540771415859,-0.6775717205796354,0.40998799999999996,0.26263089243053284
M-106077,11.0,field,1.2536854473063086,0.9030899869919435,0.1,60.0,-11.122948,,,0.3631998628041905,-0.2958074102720879,1.265643729281087,-0.30917595175904333,0.38253875,0.2358455524262765
M-106078,11.0,field,1.3614055643813343,1.0413926851582251,0.1,60.0,-10.724964,0.09176436377648164,0.01895522907872675,0.38570584074362335,-0.2692473059442402,0.9909373925802554,-0.2909143004535024,0.3853297272727273,0.28090119343944786
