# No_min[m]    No_min[n]    Radius[i](mps2/h70)    Radius[j](mps2/h70)    covariance(h70*M_sun/pc^2)^2    correlation    bias(1+K[m,i])(1+K[n,j])
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 2.438762430455725505e-15 2.741343516705888831e-03 1.000000000000000000e+00 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 4.302961856542886968e-15 4.468269537945034411e-04 1.132079566065214288e-01 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 7.592162527861749358e-15 2.323033690296313718e-04 3.934421932421613283e-02 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 1.339564090297987229e-14 1.177371843180610728e-04 1.350869360022662578e-02 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 2.363532057474613662e-14 6.351198032269329797e-05 5.044738331466608501e-03 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 4.170225095738051496e-14 3.543122606140042730e-05 1.977974672591464259e-03 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 7.357961274155570078e-14 9.241318215539989902e-06 3.680969050686861690e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 1.298241530590361534e-13 -1.742998427152315571e-06 -5.021490358572147460e-05 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 2.290622373441387703e-13 2.088023968186372866e-05 4.394199957385728963e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 4.041582967480835065e-13 1.028636227138680134e-05 1.596775405944835620e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 7.130984605939525963e-13 2.624254124644081776e-05 3.019169509032984858e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 1.258193679538452461e-12 1.900512588461154406e-05 1.629761401817920161e-04 9.708287439144076547e-01
