# logmstar_GL_min[m]    logmstar_GL_min[n]    Radius[i](mps2/h70)    Radius[j](mps2/h70)    covariance(h70*M_sun/pc^2)^2    correlation    bias(1+K[m,i])(1+K[n,j])
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 2.219961790286235902e-12 -5.253100910558080726e-05 -1.401193991554785212e-05 9.708287439144077657e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 3.916909161504292686e-12 -1.120401774007211658e-03 -2.212725667715208342e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.592162527861749358e-15 1.382201932178117638e-15 8.339596679641719324e-04 6.177732899848474395e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.592162527861749358e-15 2.438762430455725505e-15 1.638706485960281321e-03 9.325601526079212514e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.592162527861749358e-15 4.302961856542886968e-15 2.152192072786647190e-03 9.386446197887969578e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.592162527861749358e-15 7.592162527861749358e-15 3.000901282747305832e-01 1.000000000000000000e+00 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.592162527861749358e-15 1.339564090297987229e-14 2.768861516320900596e-03 7.021022901421940590e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.592162527861749358e-15 2.363532057474613662e-14 2.219345079602504881e-03 4.276481619952999039e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.592162527861749358e-15 4.170225095738051496e-14 1.655314363964514304e-03 2.419235161422112704e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.592162527861749358e-15 7.357961274155570078e-14 9.129694067379429340e-04 1.011644068672913187e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.592162527861749358e-15 1.298241530590361534e-13 2.759751962025790584e-04 2.317540334560894112e-04 9.708287439144076547e-01
