# MAG_GAAP_u-r_min[m]    MAG_GAAP_u-r_min[n]    Radius[i](mps2/h70)    Radius[j](mps2/h70)    covariance(h70*M_sun/pc^2)^2    correlation    bias(1+K[m,i])(1+K[n,j])
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 1.339564090297987229e-14 1.023224920955008747e-03 8.597193731264935260e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 2.363532057474613662e-14 5.895646474686477021e-04 3.777889815037823243e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 4.170225095738051496e-14 3.366440889943971763e-04 1.639614882990400374e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 7.357961274155570078e-14 2.935540819438997064e-04 1.087970054915665284e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 1.298241530590361534e-13 1.620306789769495801e-04 4.553965340141458390e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 2.290622373441387703e-13 1.631925604645515513e-04 3.476798089235722130e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 4.041582967480835065e-13 2.455116730635701163e-04 3.967353777806861305e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 7.130984605939525963e-13 1.355730456723964453e-04 1.658690246328402762e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 1.258193679538452461e-12 -1.854622278621538762e-04 -1.719096858646518126e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 2.219961790286235902e-12 -4.186206476543663621e-04 -2.937930294259628980e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 3.916909161504292686e-12 2.005856864176844159e-04 1.064282547416687771e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 1.382201932178117638e-15 3.618908656271729884e-04 6.710990863730295630e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 2.438762430455725505e-15 9.640228092231326561e-04 1.382009023134272117e-02 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 4.302961856542886968e-15 1.523807666561278031e-03 1.675858584807792331e-02 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 7.592162527861749358e-15 1.185718518638574082e-01 1.000000000000000000e+00 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 1.339564090297987229e-14 1.634578012156382917e-03 1.053179604299510005e-02 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 2.363532057474613662e-14 1.103439907067898986e-03 5.422227349423344375e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 4.170225095738051496e-14 5.700139069807436207e-04 2.128959957732808571e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 7.357961274155570078e-14 3.814216850098448063e-04 1.084040185386046448e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 1.298241530590361534e-13 2.156400738502993453e-04 4.647646882720907397e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 2.290622373441387703e-13 3.065395965605363085e-04 5.008144814387731044e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 4.041582967480835065e-13 -2.446039355137286878e-04 -3.031121930014325110e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 7.130984605939525963e-13 1.539666938918968046e-04 1.444541108941788999e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 1.258193679538452461e-12 -3.944322582628394529e-04 -2.803680256898969563e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 2.219961790286235902e-12 4.572968583167779971e-04 2.461105567956897006e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.592162527861749358e-15 3.916909161504292686e-12 5.716774454141757391e-04 2.326051053732942507e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 1.382201932178117638e-15 1.833306117378554075e-04 2.597301725195575676e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 2.438762430455725505e-15 6.294623424022959815e-04 6.894006882574067914e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 4.302961856542886968e-15 1.023224920955008747e-03 8.597193731264935260e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 7.592162527861749358e-15 1.634578012156382917e-03 1.053179604299510005e-02 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 1.339564090297987229e-14 2.031537402048722574e-01 1.000000000000000000e+00 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 2.363532057474613662e-14 1.546355165738641036e-03 5.805193178506197829e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 4.170225095738051496e-14 1.110595980924769825e-03 3.168958335561867286e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 7.357961274155570078e-14 4.759372126584000655e-04 1.033399041501788284e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 1.298241530590361534e-13 3.459714079785209599e-04 5.696685597819949086e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 2.290622373441387703e-13 2.868969798245904132e-04 3.580920369083891185e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 4.041582967480835065e-13 3.583715416173896247e-04 3.392750096285996144e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 7.130984605939525963e-13 2.420169859936250256e-04 1.734711907034081090e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 1.258193679538452461e-12 2.616430847329903608e-04 1.420835201365762944e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 2.219961790286235902e-12 -3.830852387682633217e-04 -1.575091664725606028e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.339564090297987229e-14 3.916909161504292686e-12 -5.449977264053139109e-04 -1.694108670486123974e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 1.382201932178117638e-15 9.328290548729586712e-05 1.007909944567553923e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 2.438762430455725505e-15 4.058761626243273632e-04 3.390219003632055465e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 4.302961856542886968e-15 5.895646474686477021e-04 3.777889815037823243e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 7.592162527861749358e-15 1.103439907067898986e-03 5.422227349423344375e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 1.339564090297987229e-14 1.546355165738641036e-03 5.805193178506197829e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 2.363532057474613662e-14 3.492692278125836824e-01 1.000000000000000000e+00 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 4.170225095738051496e-14 2.589508625744495630e-03 5.635209195476880741e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 7.357961274155570078e-14 1.362857650336630989e-03 2.256841904880908366e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 1.298241530590361534e-13 6.874439211530436380e-04 8.632797771697149755e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 2.290622373441387703e-13 6.438315019202611950e-04 6.128767673284042043e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 4.041582967480835065e-13 3.397311768878712298e-04 2.452934826678204771e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 7.130984605939525963e-13 -8.889648324787000782e-05 -4.859575582100578308e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 1.258193679538452461e-12 -2.898399075078695393e-04 -1.200396938522159108e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 2.219961790286235902e-12 -3.712501930241182257e-04 -1.164151099629779485e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.363532057474613662e-14 3.916909161504292686e-12 5.062267556176162486e-04 1.200117915726718712e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 1.382201932178117638e-15 6.837658051229417015e-05 5.615391608559806673e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 2.438762430455725505e-15 2.095254513501735010e-04 1.330221607840822518e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 4.302961856542886968e-15 3.366440889943971763e-04 1.639614882990400374e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 7.592162527861749358e-15 5.700139069807436207e-04 2.128959957732808571e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 1.339564090297987229e-14 1.110595980924769825e-03 3.168958335561867286e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 2.363532057474613662e-14 2.589508625744495630e-03 5.635209195476880741e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 4.170225095738051496e-14 6.045807486570312639e-01 1.000000000000000000e+00 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 7.357961274155570078e-14 2.962157824439211763e-03 3.728308490281073608e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 1.298241530590361534e-13 1.921844727708021472e-03 1.834364314393596013e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 2.290622373441387703e-13 1.015472679976797861e-03 7.347205462919810656e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 4.041582967480835065e-13 1.018841111799435742e-03 5.591264942812936966e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 7.130984605939525963e-13 1.422267846140485811e-04 5.909464900108455016e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 1.258193679538452461e-12 -2.096482451449067301e-04 -6.599498480278903211e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 2.219961790286235902e-12 -1.041184455297984601e-04 -2.481551800082527681e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.170225095738051496e-14 3.916909161504292686e-12 -7.427634201493500069e-05 -1.338388930975519420e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 1.382201932178117638e-15 3.465463010784167403e-05 2.165668092957740180e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 2.438762430455725505e-15 1.670511670772234318e-04 8.070393062018602634e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 7.357961274155570078e-14 4.302961856542886968e-15 2.935540819438997064e-04 1.087970054915665284e-03 9.708287439144076547e-01
