recno,WALLABY,Group,DL,r/R200,dv/sigma,log(M*),log(MHI),dHI,dopt,dNUV,SFR,f_SFR,SimbadName,_RA,_DE
27,J101606-274758,field,36.8029430941935,3.261945403480040,1.922557144772344,8.62674281782817,8.51602241402885,59.7494788029245,30.53163652754339,22.16289096219796,-1.137029695513647,0,,154.025,-27.7994
28,J101927-264159,field,37.8579616896130,2.801426708771394,1.818174849050824,7.92867590131034,8.47688023177321,62.2718019917899,15.02734397446290,22.88441508201527,,1,WALLABY J101927-264159,154.862,-26.6997
29,J101941-254852,field,44.8079780728913,2.975954019946969,1.131468539754971,9.96736220724379,9.55342493496212,172.8204643562781,85.14522196031049,91.24607400284989,0.128226420264463,0,,154.921,-25.8144
30,J102017-253913,field,51.3020817347309,2.939660562245265,0.491244603089042,8.58988228140349,9.50746406901771,138.9259440957577,29.59516596144514,52.02823469899953,-0.751242206614181,1,WALLABY J102017-253913,155.071,-25.6536
31,J102023-253050,field,49.0151605249260,2.975259641951324,0.716544251537106,7.69280525827895,8.70644559037822,53.6732398174321,12.23549313106556,16.70471344579402,-1.496462665910149,1,WALLABY J102023-253050,155.096,-25.5139
32,J102107-281054,field,59.8263413298372,2.503212266337273,0.347037582884639,8.76391442451629,9.36044404248912,114.0229749792117,13.82222923793024,40.50652108246939,,1,WALLABY J102107-281054,155.279,-28.1817
33,J102113-262325,field,36.7666120476909,2.592215128836528,1.926152353613979,7.93243501742874,8.18335827398599,36.7300084846178,12.00244629632880,16.90014315361490,-1.830118925213960,1,,155.304,-26.3903
34,J102411-285533,infall,58.0032900618388,2.207196743605558,0.167955268180381,9.30607308477468,9.17438288706545,79.2657184875705,46.02777446149063,47.40887986957313,-0.608118111339165,0,WALLABY J102411-285533,156.046,-28.9258
35,J102430-290904,infall,55.8657229835275,2.240978058777647,0.042159534622244,8.71330561796699,8.83297878170688,57.0153229112786,28.05047277362975,22.93979949029597,,0,WALLABY J102430-290904,156.125,-29.1511
36,J102439-244547,field,52.1768117738859,2.758554593644367,0.405114310802914,,9.10374430333274,81.4903314904291,39.71258846189232,,,1,WALLABY J102439-244547,156.162,-24.7631
37,J102621-291150,infall,55.1185729150975,2.017048439438760,0.115636498570813,8.56541860420224,9.13871008560832,80.4522261006664,20.20210911011341,40.14188680424981,-0.907726773226532,1,WALLABY J102621-291150,156.587,-29.1972
38,J102629-285851,infall,55.3298004942777,1.911757306448447,0.094861912823893,7.40541949674037,8.77332330566792,54.1437061798658,9.57531113934095,8.21757205302491,-1.584957119087238,1,WALLABY J102629-285851,156.621,-28.9808
39,J102636-245116,infall,59.3062427027841,2.499907697323470,0.295958100408657,9.02149330635393,8.99586079015573,71.8945121346259,23.76751833673521,,,1,WALLABY J102636-245116,156.650,-24.8544
40,J102818-255446,infall,56.7594527158179,1.765258606642981,0.045708736178351,7.38912151814833,8.52880495987955,36.6064515672495,9.93539140072591,4.14643752183812,,1,WALLABY J102818-255446,157.075,-25.9128
41,J102911-302031,infall,62.0703090264429,2.329707371323713,0.567320226328527,,9.55380979771940,114.1924604497259,73.09198027044198,,,1,WALLABY J102911-302031,157.296,-30.3419
42,J102934-261937,infall,58.6809671342225,1.419622295889748,0.234537507643773,9.16970350380887,8.99628457832284,70.0637761554675,28.32299413909233,27.81688067546020,-0.749854219426213,0,WALLABY J102934-261937,157.392,-26.3269
43,J103002-284116,infall,57.2239125825069,1.338369306602374,0.091362530622122,9.04882030410371,8.87422861258772,58.6134019817950,33.96330108733846,22.98116292577033,-1.291936485602811,0,WALLABY J103002-284116,157.508,-28.6878
44,J103004-253630,infall,50.5693166801803,1.729112101871549,0.563415516988286,7.71673439333978,8.64529292650155,47.5560298981804,10.85841594442349,,-1.793835967793882,0,WALLABY J103004-253630,157.517,-25.6083
45,J103114-295837,infall,62.5151370827794,1.949304725260772,0.610968219576845,8.03377170460082,8.92178279875546,60.7842716260019,19.97756602535039,25.31238125773346,-1.083617966001395,1,WALLABY J103114-295837,157.808,-29.9769
46,J103124-295706,infall,61.1579259767373,1.920820797409771,0.477774271125995,9.56231522676816,9.76329042333330,148.7522778954979,40.16605875628056,74.06766734278041,-0.340652220894184,0,WALLABY J103124-295706,157.850,-29.9517
47,J103139-273049,cluster,56.2945050931589,0.798119538041086,0.303429031743069,8.15889341214694,8.86393024985894,66.2491177638345,15.36006057307201,17.08503023668657,,1,WALLABY J103139-273049,157.912,-27.5136
48,J103141-300815,field,77.8635328277628,2.024584847957690,2.113129054723823,8.52683372178575,9.08034675501395,61.7276090994589,15.69808977103158,19.81711876453255,,1,WALLABY J103141-300815,157.921,-30.1375
49,J103216-282359,field,93.3741094688738,0.938074915395162,3.623608957635718,8.60565365460807,9.03417381945981,44.7894111626557,9.97971448911590,18.24221181134017,-1.030781971097487,1,,158.067,-28.3997
50,J103241-273137,cluster,56.2945050931589,0.634741155717533,0.067826910312370,9.44134578652843,8.68396916173453,49.6100705743493,54.35946782475499,31.20345043862846,-0.842962919242254,0,WALLABY J103241-273137,158.171,-27.5269
51,J103244-283639,cluster,56.2945050931589,0.995373085478531,0.231062431581418,10.63711153865326,9.48977105658984,116.6083096264223,106.38297203862446,62.03511721088576,-0.012880402615368,0,WALLABY J103244-283639,158.183,-28.6108
52,J103248-273119,cluster,56.2945050931589,0.614545598932091,0.241209183032307,9.54482482909782,9.16881221556731,92.7434118111792,57.29335840706592,50.62609181287660,-0.083194009544936,0,WALLABY J103248-273119,158.200,-27.5219
53,J103258-274013,cluster,56.2945050931589,0.598926684471951,0.950369051590062,8.82062559137346,9.16953508419874,87.4224899205471,31.32528245485925,46.35393272268013,-0.594682727347358,0,WALLABY J103258-274013,158.242,-27.6703
54,J103259-273237,cluster,56.2945050931589,0.587609965122822,1.471881472480676,8.75322871467716,8.68849706272538,48.0761458698240,19.36655192594053,15.20273218751651,-0.931001435800694,0,WALLABY J103259-273237,158.246,-27.5436
55,J103335-272717,cluster,56.2945050931589,0.494603864125336,0.583091593840676,10.95438791000840,9.53146687330183,151.9672596544014,132.36060449906276,90.40133563540381,-0.132186191513512,0,WALLABY J103335-272717,158.396,-27.4547
56,J103353-274945,cluster,56.2945050931589,0.493013999245960,1.510948478709061,9.04561760759898,9.19109350591632,89.2307237493068,42.75865177906593,52.27086007209874,-0.640912456556782,0,WALLABY J103353-274945,158.471,-27.8292
57,J103420-264728,cluster,56.2945050931589,0.643771502368949,0.807958551293830,,8.73435317812624,29.0929147793507,17.11609808546029,,,1,WALLABY J103420-264728,158.583,-26.7911
58,J103420-265408,cluster,56.2945050931589,0.580370817497517,0.068201996430964,,9.03271985168623,70.0022673163077,38.44717502634743,,,1,WALLABY J103420-265408,158.583,-26.9022
59,J103436-273900,cluster,56.2945050931589,0.341731710167962,1.124341421234025,10.07566508798705,9.46991835935095,123.3518963369230,69.93362677077270,70.15279278514869,-0.027589705872649,0,WALLABY J103436-273900,158.650,-27.6500
60,J103455-273816,cluster,56.2945050931589,0.290562384818862,1.115971216081897,7.91250773078014,8.67998072350535,50.4445908051987,13.96781219425362,15.41250705876770,-1.281010124756214,1,WALLABY J103455-273816,158.729,-27.6378
61,J103459-280440,cluster,56.2945050931589,0.478340804345968,2.063902858683373,9.91253362654418,8.73785949272799,50.8406381893938,54.40703862183035,49.42486209978301,-0.060719665137212,0,WALLABY J103459-280440,158.746,-28.0778
62,J103502-293019,infall,55.7943133976726,1.439160217618232,0.049181383488118,9.31641963119642,9.02660051712420,74.1265854959190,33.36880299408649,36.06416337808085,-0.679487274840496,0,WALLABY J103502-293019,158.758,-29.5053
63,J103507-275923,cluster,56.2945050931589,0.414673228568673,1.984250832796944,9.13888066813145,8.98188998523202,60.7975370674808,39.73362487173978,35.08875865149957,-0.306120672081916,0,WALLABY J103507-275923,158.779,-27.9897
64,J103521-272324,cluster,56.2945050931589,0.232183774793643,0.946488967797968,,8.76402440698353,47.6101246414673,17.17486920068350,,,1,WALLABY J103521-272324,158.837,-27.3900
65,J103521-274137,cluster,56.2945050931589,0.244154651592101,1.317418155798730,8.75891050233079,9.21024989895546,81.8186397434422,45.28312286088543,43.76483428418165,-0.523168995700876,0,WALLABY J103521-274137,158.837,-27.6936
66,J103522-244506,field,15.4171433867613,1.992301995447809,4.046478259264054,8.30755204430664,9.26596089505775,317.3399053079719,70.84794499459473,178.95168724990862,-0.677560216968055,0,,158.842,-24.7517
67,J103523-281855,cluster,56.2945050931589,0.601377774505220,0.713554445469211,10.12697428471707,9.74250210314425,194.7693492118753,79.27446945268895,97.87183593650360,0.071365764556908,0,WALLABY J103523-281855,158.846,-28.3153
68,J103541-265827,cluster,56.2945050931589,0.424057369977221,1.735765139381222,,8.79555237229681,54.6497640716029,25.06858810085174,,,1,,158.921,-26.9742
69,J103546-273840,cluster,56.2945050931589,0.168732341517010,1.443374542055600,8.35854446133248,9.00233970319171,80.7699138314400,12.58867249522685,29.90651283815371,-1.194635181489400,1,WALLABY J103546-273840,158.942,-27.6444
70,J103602-261141,cluster,56.2945050931589,0.955609133900912,0.743289740107188,8.37243900490719,8.73719870067187,54.2691548661332,14.56572923718887,12.65047464611575,-1.510721272214059,1,WALLABY J103602-261141,159.008,-26.1947
71,J103603-245430,infall,58.8076193374998,1.871300634745953,0.246979527705555,7.71501815531354,9.19051161766462,83.0886790413533,19.06813065546349,15.40058416734261,-1.255867589085554,1,WALLABY J103603-245430,159.012,-24.9083
72,J103609-244856,field,14.9818813220956,1.936907385413957,4.089866678121459,7.48923170606006,8.27844984658868,117.1169205206180,21.82980478439433,43.33145631851208,-2.037997101699427,1,WALLABY J103609-244856,159.037,-24.8156
73,J103621-252235,infall,59.8206600739080,1.535184942278627,0.346479667386875,9.78496804986171,9.17939488674320,77.1032643517322,44.40027992026435,37.72461523197197,0.074111574751520,0,WALLABY J103621-252235,159.087,-25.3764
74,J103627-255957,infall,48.1522338973337,1.090635204113509,0.801601244083766,7.50111398198387,8.28629518399094,29.5903165455324,8.98054191259730,23.79167698353814,-1.477938436821717,1,WALLABY J103627-255957,159.112,-25.9992
75,J103644-251543,infall,54.6103370124014,1.616330400991117,0.165628284118352,9.02726059539256,8.98993141318239,70.9554065357060,41.97295689771679,35.23608054357054,-0.592665894152795,0,WALLABY J103644-251543,159.183,-25.2619
76,J103645-281010,cluster,56.2945050931589,0.461079772650892,0.420663417762046,8.65574421211120,9.22952968544021,91.5506404833935,25.97651256652231,47.26605012813265,-0.609848127442462,0,WALLABY J103645-281010,159.187,-28.1694
77,J103646-293253,infall,53.1362851303606,1.445604910281723,0.310668428801209,8.99591882761092,9.20713426294919,100.8368483041310,33.86218081479952,44.84255772793446,-0.958244963866389,0,WALLABY J103646-293253,159.192,-29.5481
78,J103650-260923,cluster,56.2945050931589,0.976683090168801,0.177859912874102,9.24582483247170,9.28297435318582,90.1192213044884,22.59772149947422,32.21256849073107,-0.330506008204688,0,WALLABY J103650-260923,159.208,-26.1564
79,J103651-260227,field,35.2136380367584,1.059750799845047,2.079870896052887,8.21850744192268,9.09608478569164,120.9421510782726,21.89874080897735,38.77517886964232,-1.160957628438697,0,WALLABY J103651-260227,159.212,-26.0408
80,J103653-270311,cluster,56.2945050931589,0.337918739899532,0.336466373955977,,9.34080630070172,113.9517047363647,40.91520013235548,,,1,WALLABY J103653-270311,159.221,-27.0531
81,J103655-265412,cluster,56.2945050931589,0.445530148826659,0.786312820817618,,9.38352350219943,107.2272798156480,32.89828293482826,,,1,WALLABY J103655-265412,159.229,-26.9033
82,J103702-273359,cluster,56.2945050931589,0.061784191896163,1.368372674222820,10.97021719252765,9.61861940902824,154.7464969949457,185.67726453182010,147.30113133423660,0.338212242783849,0,WALLABY J103702-273359,159.258,-27.5664
83,J103704-252038,infall,55.3262633315526,1.558551694714016,0.095209786775669,9.30600716129490,9.14665354210308,85.1430419278360,48.07164891978213,33.35605092918497,-0.943640711991616,0,WALLABY J103704-252038,159.267,-25.3439
84,J103721-251319,field,15.8044369601721,1.648294256548267,4.007876937811439,5.93357931163256,7.32427597173638,25.8306790076419,5.68343736960858,,-2.791888116694715,1,,159.337,-25.2219
85,J103722-273235,cluster,56.2945050931589,0.107368042551111,1.512827822586635,8.34497935059158,8.77581309465477,48.7253687008206,23.35896869483151,23.66771315162832,-0.890428480559493,0,WALLABY J103722-273235,159.342,-27.5431
86,J103725-251916,infall,55.2406241069090,1.578459590024212,0.103632383097753,10.74050257347192,10.33510447206565,371.2263693459844,127.35529135616758,189.18534886417359,0.462859977384954,0,WALLABY J103725-251916,159.354,-25.3211
87,J103737-261641,cluster,56.2945050931589,0.902908771831749,0.035368593076347,9.76164734180476,8.90451693514022,66.6186205243077,52.68616182963913,31.52832556049140,-0.114187813092717,0,WALLABY J103737-261641,159.404,-26.2781
88,J103738-281216,cluster,56.2945050931589,0.507474623966306,1.390326067465373,7.85479305824981,8.68579260778931,46.5896517062500,8.37797605351208,19.20886694647274,-1.635086230670547,1,WALLABY J103738-281216,159.408,-28.2044
89,J103749-270715,cluster,56.2945050931589,0.339044618472709,1.968537410299805,9.96766690124091,9.18028914787312,85.0992664949816,54.56070498620586,56.99508930456958,0.146219910940270,0,,159.454,-27.1208
90,J103804-284333,cluster,56.2945050931589,0.885069731687382,0.997832724278489,8.47709144892289,8.99243528209091,67.6817509024543,20.55366673550792,33.82852473803415,-0.957210881731477,0,WALLABY J103804-284333,159.517,-28.7258
91,J103805-250537,infall,58.9186256163574,1.750756881402412,0.257884102109387,9.34354560273288,9.09830845970308,78.5477284039917,26.95855986904349,23.31034819654792,-0.439790771857607,0,WALLABY J103805-250537,159.521,-25.0936
92,J103812-275607,cluster,56.2945050931589,0.377513313721023,1.362266902065991,7.90673267654326,8.52415571432643,32.8189139661168,16.85048122655678,13.08634499365236,,1,WALLABY J103812-275607,159.550,-27.9353
93,J103818-285307,infall,65.3289945221412,1.003586655328100,0.886925869712100,9.65687970913168,9.79860011470454,145.1524813755520,71.70870922723346,75.56256530462727,-0.172600654766454,0,WALLABY J103818-285307,159.575,-28.8853
94,J103821-254126,infall,51.0946014237323,1.336128262896778,0.511677811525533,8.47474573660858,8.84801917608927,69.4864758249538,18.51214938190754,26.29827078012148,-1.219357372122286,0,WALLABY J103821-254126,159.587,-25.6906
95,J103828-283056,cluster,56.2945050931589,0.761712517669192,0.854006823873930,8.47474953906585,8.98082626621183,64.1608283291989,22.46370425003480,26.20849590289623,-0.863450689857673,0,WALLABY J103828-283056,159.617,-28.5156
96,J103833-274357,cluster,56.2945050931589,0.329095345358432,0.934710310653164,9.69337947696299,9.39473134339941,96.0404246329968,69.48866031952750,66.86750041080369,0.348207586726500,0,WALLABY J103833-274357,159.637,-27.7325
97,J103840-283405,cluster,56.2945050931589,0.808031847220334,0.463512623724259,10.01494556585869,9.07368545433653,82.8723593716249,63.82776496580860,46.56371345730210,-0.148708690252525,0,WALLABY J103840-283405,159.667,-28.5681
98,J103841-253530,infall,57.3107694416397,1.416656995855849,0.099899296543711,8.10648216078029,9.14601620819006,86.0828341153168,14.69503030014846,25.62705003301183,-0.655520222600586,0,WALLABY J103841-253530,159.671,-25.5917
99,J103842-281535,cluster,56.2945050931589,0.613501097710263,0.546216058257123,8.20904317002572,8.82674296673125,62.8750553326834,37.32729912101456,31.23489263097550,-1.535598286873519,1,WALLABY J103842-281535,159.675,-28.2597
100,J103902-291255,infall,47.6030984990142,1.262138051043852,0.855741138090048,8.44697614773997,8.94308277441239,78.5748954661300,31.27546425356800,35.19199577917044,-1.368871986258408,1,WALLABY J103902-291255,159.758,-29.2153
101,J103914-271511,cluster,56.2945050931589,0.447753172420821,1.123259229639637,8.37687858107181,8.59603568766166,42.9499550510726,27.78334026839310,18.12208459931844,-1.117409250037299,0,WALLABY J103914-271511,159.808,-27.2531
102,J103915-301757,infall,56.2464417572042,2.021630972947931,0.004725478673137,10.52200834902591,9.98675762400530,219.2491250132620,147.65607969678467,129.48345268441270,0.280104656219745,0,WALLABY J103915-301757,159.812,-30.2992
103,J103918-265030,cluster,56.2945050931589,0.639635029476227,1.049843747815483,10.00669168250028,9.43910373210188,118.3328848834067,112.20040593182974,90.95464829218474,-0.230207061627678,0,WALLABY J103918-265030,159.825,-26.8417
104,J103922-293505,infall,57.7919727896204,1.530052183288269,0.147190163473181,9.53816673824001,9.53359055075477,115.9611056769944,55.37055157932565,59.81141041196430,-0.263932981131923,0,WALLABY J103922-293505,159.842,-29.5847
105,J103924-275442,cluster,56.2945050931589,0.510403339859168,0.815840755469314,9.44784932064568,9.14499826826904,79.0123524773895,50.68190988348537,40.20545952931455,-0.221105861684186,0,WALLABY J103924-275442,159.850,-27.9117
106,J103927-271653,cluster,56.2945050931589,0.470506550417104,0.608037303592492,8.59937915009804,8.83264552439821,61.3597738943792,18.52174782778375,26.51512688035724,-1.120969366353572,0,WALLABY J103927-271653,159.862,-27.2814
107,J103939-280552,cluster,56.2945050931589,0.621299728110726,0.567050331352305,8.45570560274205,8.99351170211004,73.1199741988096,18.20681479078024,19.18873629465812,-1.251202401482266,1,WALLABY J103939-280552,159.912,-28.0978
108,J103958-301130,infall,48.9320723023901,1.973110587146227,0.724733035539586,10.31378958289286,9.14768606181676,111.6953408371167,72.77201938005824,61.49748823881190,0.067190769090851,0,WALLABY J103958-301130,159.992,-30.1917
109,J104000-292445,infall,56.1888546770422,1.445036230866288,0.010387408965592,8.76031939028615,9.40922653219758,119.5093021459732,33.78548376686430,48.97357484639171,-0.745284110224507,0,WALLABY J104000-292445,160.000,-29.4125
110,J104004-301606,infall,50.5162040330084,2.029360513708419,0.568647326616794,9.69783132924337,9.51577926148621,130.3049721550374,77.23786741292299,71.21293157481523,0.129158318329981,0,WALLABY J104004-301606,160.017,-30.2683
111,J104016-274630,cluster,56.2945050931589,0.594391989231053,0.287042241519831,10.46193231220865,10.01743015699052,197.3385836320122,106.04957929234476,98.70019981436195,0.527560702677624,0,WALLABY J104016-274630,160.067,-27.7750
112,J104048-244003,infall,54.5353286579966,2.144829797520551,0.173007067306143,8.69496518065983,9.22848945273742,79.4838849578625,37.40805810656046,35.25012097502100,-0.783161083242073,1,WALLABY J104048-244003,160.200,-24.6675
113,J104058-274546,cluster,56.2945050931589,0.697132827036777,0.309405026942176,8.39061097179818,9.05349045214352,78.5086934375549,18.40479932692082,21.76533461781166,-1.474116208480723,1,WALLABY J104058-274546,160.242,-27.7628
114,J104059-270456,cluster,56.2945050931589,0.751012905161556,1.418659023840170,10.33186784121691,9.73608482829439,167.2940461335711,109.77653935710471,92.26669631587174,0.276027265537284,0,WALLABY J104059-270456,160.246,-27.0822
