recno,6dFGS,Group,DL,r/R200,dv/sigma,log(M*),log(MHI),dHI,dopt,dNUV,SFR,f_SFR,SimbadName,_RA,_DE
116,g1038177-264642,cluster,56.3050374033586,0.590477400642269,1.038017751479290,9.18053141162992,8.6,11.44458370758711,27.5261998907645,20.29750805426520,-1.211150718163914,0,6dFGS gJ1038177-264642,159.5738750,-26.7781944
117,g1038226-273458,cluster,56.3050374033586,0.269257125453708,0.180029585798816,9.29737823576721,8.6,11.44458370758711,16.2595778080299,,-1.669530275774779,1,6dFGS gJ1038226-273458,159.5942500,-27.5826667
118,g1038236-253128,infall,56.8813609616986,1.454074710674457,0.056656804733728,9.25019988572952,8.6,11.44458370758711,30.3988509279050,13.33787889863073,-1.572373519551899,0,6dFGS gJ1038236-253128,159.5984583,-25.5244444
119,g1038240-281031,cluster,56.3050374033586,0.537036867763527,0.876183431952663,9.83365417717432,8.6,11.44458370758711,51.5795895925048,23.55527240777903,-1.382143189704361,1,6dFGS gJ1038240-281031,159.6001250,-28.1751667
120,g1038291-284207,cluster,56.3050374033586,0.886896334774968,0.106065088757396,9.54900299229826,8.6,11.44458370758711,21.1925543893590,4.64439200352430,,1,6dFGS gJ1038291-284207,159.6212083,-28.7018333
121,g1038332-264739,cluster,56.3050374033586,0.599281381287318,0.894526627218935,9.61109316210527,8.6,11.44458370758711,35.3686050822088,11.10622494994737,-1.132085466221682,1,6dFGS gJ1038332-264739,159.6384583,-26.7941944
122,g1038425-284611,cluster,56.3050374033586,0.944211262327444,0.214053254437870,9.96998970722047,8.7,12.85878692634398,52.1199559576872,19.02116179080353,-0.704567761506342,0,6dFGS gJ1038425-284611,159.6771667,-28.7697222
123,g1038551-263824,cluster,56.3050374033586,0.723829827645805,1.177071005917159,10.18103682228532,8.8,14.44774274380104,58.8968645130922,27.59795683752269,-0.827176868982964,0,6dFGS gJ1038551-263824,159.7296667,-26.6399722
124,g1039170-284249,cluster,56.3050374033586,0.941977582922987,1.023224852071006,9.61479170401270,8.6,11.44458370758711,24.9683497324949,8.70307611218418,-0.630994822610805,0,6dFGS gJ1039170-284249,159.8206667,-28.7135833
125,g1040089-290846,infall,56.0236868186284,1.279069563441638,0.027662721893491,9.35989855259179,8.6,11.44458370758711,28.4876978490652,9.36992901628348,-1.433130293863700,0,6dFGS gJ1040089-290846,160.0372083,-29.1460556
126,g1040255-275251,cluster,56.3050374033586,0.642001468061626,1.024112426035503,9.77138505618211,8.6,11.44458370758711,32.0751719210382,22.07388473350680,-0.549230615283667,0,6dFGS gJ1040255-275251,160.1061250,-27.8808333
127,g1040310-291609,infall,64.5358952540613,1.383182420829927,0.808136094674556,8.86770451308753,8.7,12.85878692634398,20.8861750238344,18.74667378766149,-0.564701981916680,0,6dFGS gJ1040310-291609,160.1292083,-29.2691944
128,g1040326-275140,cluster,56.3050374033586,0.653963057568319,0.247485207100592,9.90017130662516,8.6,11.44458370758711,46.7458796636645,18.69894796428477,-1.090754553939256,0,6dFGS gJ1040326-275140,160.1356667,-27.8612222
129,g1040503-275758,cluster,56.3050374033586,0.726571004400810,0.984171597633136,10.42660076475527,8.8,14.44774274380104,64.6924710962680,21.85244789358991,-1.231034207219216,0,6dFGS gJ1040503-275758,160.2095833,-27.9660000
130,g1041118-290911,infall,55.9033309021812,1.361418668104448,0.039497041420118,9.70593773730647,8.6,11.44458370758711,56.4844622022645,25.26539869823094,-0.734681115287613,0,6dFGS gJ1041118-290911,160.2991667,-29.1530833
131,g1041173-260958,infall,66.0147698725558,1.215167312696423,0.953106508875740,9.88317847517459,8.8,14.44774274380104,44.0132137768608,23.42496360140510,-0.213251407888252,0,6dFGS gJ1041173-260958,160.3222500,-26.1661389
132,g1041540-284653,infall,57.6640119809971,1.215471607552481,0.133579881656805,9.36609454122581,8.6,11.44458370758711,21.6027128300934,6.57649302107237,-1.564133167382468,1,6dFGS gJ1041540-284653,160.4751250,-28.7814444
