name,ra,dec,freq,team_release,team_release_kin,Vsys_model,e_Vsys_model,X_model,e_X_model,Y_model,e_Y_model,RA_model,e_RA_model,DEC_model,e_DEC_model,Inc_model,e_Inc_model,PA_model,e_PA_model,PA_model_g,e_PA_model_g,QFlag_model,Rad,Vrot_model,e_Vrot_model,e_Vrot_model_inc,Rad_SD,SD_model,e_SD_model,SD_FO_model,e_SD_FO_model_inc
WALLABY J131232+071059,198.1374021433479,7.183157659286967,1.416134487763749E9,NGC 4808 TR1,NGC 4808 Kin TR1,897.5,2.6,23.996,0.3919,23.77,0.0024,198.13829,6.59E-4,7.185402,7.0E-6,81.1,8.8,237.6,4.9,238.0,4.9,1.0,"7.5,22.56,37.61,52.67,67.72,82.78,97.84","21.5,39.4,50.0,57.4,63.2,67.8,70.9","3.0,0.6,0.1,1.0,2.8,5.7,10.3","0.5,1.0,1.2,1.4,1.6,1.7,1.7","7.5,22.56,37.61,52.67,67.72,82.78,97.84,112.89","13.33,12.01,10.45,8.85,7.01,5.96,4.28,2.68","0.53,1.07,1.8,2.99,2.69,2.6,2.71,2.38","2.062,1.858,1.617,1.37,1.085,0.922,0.662,0.415","2.021,1.821,1.585,1.343,1.063,0.904,0.649,0.407"
WALLABY J124950+025100,192.4595884997897,2.850216662134315,1.414908755882927E9,NGC 4808 TR1,NGC 4808 Kin TR1,1148.9,2.3,18.987,0.4116,31.687,0.8399,192.459114,6.9E-4,2.852627,0.001398,74.9,4.9,183.1,0.2,183.0,0.2,0.0,"7.5,22.56,37.61,52.67,67.72,82.78,97.84","23.7,58.2,77.7,92.5,106.3,118.9,130.0","6.2,2.6,0.5,1.1,4.7,10.9,20.2","0.5,1.3,1.8,2.1,2.4,2.7,3.0","7.5,22.56,37.61,52.67,67.72,82.78,97.84,112.89,127.95","9.86,9.4,9.23,7.41,5.1,3.4,2.21,1.15,0.48","0.59,0.91,0.97,0.88,1.07,1.06,0.88,0.69,0.49","2.565,2.447,2.402,1.929,1.328,0.885,0.576,0.299,0.125","0.807,0.77,0.755,0.607,0.418,0.278,0.181,0.094,0.039"
WALLABY J124947+035042,192.4493316830977,3.84520595750993,1.417118442580292E9,NGC 4808 TR1,NGC 4808 Kin TR1,698.6,1.8,25.46,0.3548,25.171,0.7596,192.44916,5.97E-4,3.842209,0.001264,44.9,4.5,73.4,5.4,73.2,5.4,0.0,"7.5,22.56,37.61,52.67,67.72,82.78,97.84","13.3,16.4,16.2,15.6,14.8,13.8,12.5","1.2,5.0,6.0,4.8,2.9,1.9,1.7","1.1,1.3,1.3,1.3,1.2,1.1,1.0","7.5,22.56,37.61,52.67,67.72,82.78,97.84","5.89,5.07,3.87,2.43,1.09,0.59,0.35","0.7,0.79,0.61,0.45,0.31,0.19,0.16","4.173,3.593,2.744,1.722,0.774,0.415,0.247","0.328,0.282,0.216,0.135,0.061,0.033,0.019"
WALLABY J130739+062006,196.9131038235034,6.335178860305128,1.387310310660645E9,NGC 4808 TR1,NGC 4808 Kin TR1,7149.5,1.6,25.91,0.8815,25.855,0.9664,196.912347,0.001473,6.336782,0.001616,44.2,5.4,56.5,0.8,56.8,0.8,0.0,"7.5,22.56,37.61,52.67,67.72,82.78","156.5,190.3,230.0,231.4,223.1,210.1","48.5,39.9,16.6,10.3,5.7,10.3","15.4,18.7,22.7,22.8,22.0,20.7","7.5,22.56,37.61,52.67,67.72,82.78","5.11,4.14,3.65,3.2,2.07,0.77","0.57,0.62,0.32,0.35,0.42,0.25","3.659,2.968,2.615,2.296,1.48,0.552","0.335,0.272,0.24,0.21,0.136,0.051"
WALLABY J130558+035723,196.4955249852761,3.956555189375222,1.387973300088325E9,NGC 4808 TR1,NGC 4808 Kin TR1,7010.5,2.1,38.449,0.0792,20.597,0.147,196.494441,1.32E-4,3.957331,2.45E-4,78.7,1.7,279.9,2.3,280.0,2.3,0.0,"7.5,22.56,37.61,52.67,67.72,82.78,97.84","173.8,259.8,226.8,224.8,238.5,233.5,211.0","115.7,95.2,8.3,11.0,4.1,3.7,13.5","1.0,1.5,1.3,1.3,1.4,1.3,1.2","7.5,22.56,37.61,52.67,67.72,82.78,97.84,112.89,127.95","6.62,7.17,7.1,5.85,4.85,3.29,2.2,1.78,0.91","0.33,0.76,0.85,0.77,1.26,1.07,0.97,0.68,0.49","1.295,1.402,1.389,1.144,0.948,0.643,0.43,0.349,0.179","0.188,0.203,0.201,0.166,0.137,0.093,0.062,0.051,0.026"
WALLABY J130906+051433,197.2774074671229,5.24273803296036,1.403542348766426E9,NGC 4808 TR1,NGC 4808 Kin TR1,3598.4,1.8,25.748,0.1417,27.286,0.8631,197.277213,2.32E-4,5.242832,0.001439,50.2,5.8,172.2,3.5,172.5,3.5,0.0,"7.5,22.56,37.61,52.67,67.72,82.78","106.2,83.7,77.6,74.1,76.1,73.7","64.0,26.0,8.5,2.3,3.7,1.5","9.1,7.2,6.7,6.4,6.6,6.3","7.5,22.56,37.61,52.67,67.72,82.78,97.84","3.7,3.02,2.26,1.88,1.48,0.91,0.42","0.37,0.48,0.3,0.27,0.31,0.28,0.16","2.369,1.931,1.45,1.203,0.947,0.585,0.271","0.289,0.235,0.177,0.147,0.115,0.071,0.033"
WALLABY J131206+052832,198.0262766311709,5.475565397811479,1.416099610204535E9,NGC 4808 TR1,NGC 4808 Kin TR1,916.0,0.8,19.776,0.0988,23.697,0.5078,198.027351,1.61E-4,5.47534,8.47E-4,56.0,2.5,142.5,0.9,142.8,0.9,0.0,"7.5,22.56,37.61,52.67","21.6,32.7,31.9,32.0","3.6,4.3,0.0,0.1","0.6,1.0,1.0,1.0","7.5,22.56,37.61,52.67,67.72","5.93,5.47,4.02,1.99,0.86","0.26,0.58,0.63,0.57,0.32","3.311,3.055,2.246,1.113,0.481","0.217,0.2,0.147,0.073,0.031"
WALLABY J131208+025916,198.0351325685212,2.988027246026582,1.406154310125704E9,NGC 4808 TR1,NGC 4808 Kin TR1,3031.5,2.5,19.852,0.1769,22.387,0.3945,198.035592,2.94E-4,2.989279,6.59E-4,81.9,7.2,220.0,1.3,220.2,1.3,1.0,"7.5,22.56,37.61,52.67,67.72","39.6,61.8,75.4,84.0,86.2","0.6,8.0,7.1,3.7,0.1","0.7,1.1,1.4,1.5,1.6","7.5,22.56,37.61,52.67,67.72,82.78","8.63,7.39,7.04,4.84,3.13,2.57","1.09,1.03,1.7,2.0,2.6,2.42","1.209,1.036,0.987,0.678,0.438,0.36","1.07,0.916,0.873,0.6,0.388,0.319"
WALLABY J130802+062900,197.0107142573469,6.48335110491253,1.387392261308306E9,NGC 4808 TR1,NGC 4808 Kin TR1,7133.0,4.9,20.485,0.3757,22.318,0.4045,197.010991,6.28E-4,6.483947,6.76E-4,62.9,8.8,136.0,6.0,136.2,6.0,0.0,"7.5,22.56,37.61,52.67","130.0,180.5,153.8,142.5","78.5,10.1,0.1,83.0","10.5,14.6,12.4,11.5","7.5,22.56,37.61,52.67,67.72","3.66,3.82,3.03,1.88,0.93","0.21,0.49,0.67,0.59,0.41","1.666,1.739,1.381,0.854,0.423","0.498,0.52,0.413,0.256,0.126"
WALLABY J130358+054204,195.9919439732283,5.701191368643388,1.354369120087872E9,NGC 4808 TR1,NGC 4808 Kin TR1,14678.5,0.7,28.934,0.355,17.92,0.3131,195.988387,5.94E-4,5.697337,5.23E-4,76.6,7.9,255.7,4.6,255.8,4.6,0.0,"7.5,22.56,37.61","262.5,244.8,239.5","48.9,3.9,2.7","8.8,8.2,8.0","7.5,22.56,37.61,52.67,67.72","7.96,6.59,4.06,2.33,1.46","0.43,1.05,1.71,1.74,1.31","1.843,1.526,0.941,0.539,0.338","1.067,0.884,0.545,0.312,0.196"
