dm_threshold,min_pts,rmin_kpc,tng_gal,sparc_gal,massmatch_pairs,massmatch_mean_abs_dlogM,un_n_tng,un_n_sparc,un_mw_p,un_cliffs_delta,un_median_tng,un_median_sparc,un_median_diff,un_median_ratio,mm_n_tng,mm_n_sparc,mm_mw_p,mm_cliffs_delta,mm_median_tng,mm_median_sparc,mm_median_diff,mm_median_ratio,mm_score
-10.5,20,1.0,0,21,0,,0,21,,,,0.04527394237920329,,,0,0,,,,,,,
-10.5,20,2.0,0,17,0,,0,17,,,,0.039461345843141794,,,0,0,,,,,,,
-10.6,10,0.0,8313,63,39,0.007285648995063864,8313,63,0.39102310430601406,0.06263473351167326,0.05536996648440069,0.04687259878925692,0.008497367695143775,1.1812864640458414,39,39,0.03088350963016444,0.28468113083497704,0.05645633664904956,0.03514486616845532,0.021311470480594237,1.6063892910687079,0.4299463256920389
-10.6,10,0.5,8313,60,39,0.007285648995063864,8313,60,0.06183575777408975,0.1397048799069731,0.05536996648440069,0.04276017395326107,0.01260979253113962,1.294895725749917,39,39,0.023298894038264344,0.2991452991452992,0.05645633664904956,0.03514486616845532,0.021311470480594237,1.6063892910687079,0.4884039682183467
-10.6,10,1.0,8313,58,38,0.007474308541054242,8313,58,0.013950206886330117,0.187043973502242,0.05536996648440069,0.04180006470842208,0.01356990177597861,1.3246382959126013,38,38,0.014012993179957443,0.32825484764542945,0.057764423800778036,0.033329269674172546,0.02443515412660549,1.7331440012182666,0.6084102135437442
-10.6,10,2.0,8310,50,35,0.006195798087154511,8310,50,0.017794623108626506,0.19409386281588437,0.05559088212869759,0.03896960686564302,0.01662127526305457,1.4265189361637742,35,35,0.011556343799742984,0.35183673469387755,0.05907251095250652,0.032934168392281624,0.026138342560224896,1.793654245308062,0.6815709261319169
-10.6,15,0.0,2953,34,17,0.008344588297573452,2953,34,0.022673276008686533,0.22698751020896002,0.07900172839225801,0.0538356131029444,0.02516611528931361,1.4674622213587685,17,17,0.0034147911781178173,0.5916955017301038,0.09382550090319114,0.04527394237920329,0.04855155852398785,2.072395200694741,1.4594973363893056
-10.6,15,0.5,2953,32,16,0.008859081439800964,2953,32,0.0033479199837092885,0.3011132746359635,0.07900172839225801,0.04844364112120464,0.030558087271053372,1.6307966652340993,16,16,0.0027330523288337976,0.625,0.09042184711316273,0.04218844421225489,0.048233402900907836,2.143284702755097,1.6020950330858401
-10.6,15,1.0,2952,30,16,0.008859081439800964,2952,30,0.00021357546636160195,0.3923215898825656,0.0789577008300205,0.04405241548143205,0.03490528534858845,1.7923580345622798,16,16,0.003090599405991815,0.6171875,0.09042184711316273,0.040544578893228156,0.04987726821993457,2.230183407534791,1.549114260728989
-10.6,15,2.0,1323,25,15,0.004200717197323911,1323,25,2.264835452843528e-07,0.6035676492819351,0.08475885050972932,0.039461345843141794,0.04529750466658753,2.1478955848754975,15,15,0.00013564226281566485,0.8222222222222222,0.11801207281593912,0.032934168392281624,0.0850779044236575,3.5832716773135878,3.1800307562621293
