Title: High-resolution mass models of dwarf galaxies from LITTLE THINGS 
Authors: Oh S.-H., Hunter D.A., Brinks E., Elmegreen B.G., Schruba A., 
         Walter F., Rupen M.P., Young L.M., Simpson C.E., Johnson M., 
         Herrmann K.A., Ficut-Vicas D., Cigan P., Heesen V., Ashley T., 
         Zhang H. 
Figure: The CDM NFW dark matter model density profiles
================================================================================
Byte-by-byte Description of file: dbfB-D.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  6 F6.3   ---     Con    Model concentration parameter
   8- 10 I3     km/s    V200   Model rotation velocity at R_200_; see Equ. 7
  12- 19 F8.5   ---     R      Model radius scaled by R0.3
  21- 31 E11.4  ---     rho    Model density scaled by {rho}0.3
  33- 38 F6.4   ---   e_rho    Uncertainty in rho
--------------------------------------------------------------------------------
 7.018 270 -0.00877 -4.3045E+00 0.0000 
 7.018 270  0.00000 -4.2539E+00 0.0000 
 7.137 250 -1.39794 -2.8750E+00 0.0000 
 7.137 250 -1.22185 -3.0389E+00 0.0000 
 7.137 250 -1.09691 -3.1664E+00 0.0000 
 7.137 250 -1.00000 -3.2740E+00 0.0000 
 7.137 250 -0.92082 -3.3685E+00 0.0000 
 7.137 250 -0.85387 -3.4532E+00 0.0000 
 7.137 250 -0.79588 -3.5299E+00 0.0000 
 7.137 250 -0.74473 -3.5995E+00 0.0000 
 7.137 250 -0.69897 -3.6626E+00 0.0000 
 7.137 250 -0.65758 -3.7194E+00 0.0000 
 7.137 250 -0.61979 -3.7704E+00 0.0000 
 7.137 250 -0.58503 -3.8156E+00 0.0000 
 7.137 250 -0.55284 -3.8554E+00 0.0000 
 7.137 250 -0.52288 -3.8901E+00 0.0000 
 7.137 250 -0.49485 -3.9204E+00 0.0000 
 7.137 250 -0.46852 -3.9467E+00 0.0000 
 7.137 250 -0.44370 -3.9695E+00 0.0000 
 7.137 250 -0.42022 -3.9896E+00 0.0000 
 7.137 250 -0.39794 -4.0075E+00 0.0000 
 7.137 250 -0.37675 -4.0237E+00 0.0000 
 7.137 250 -0.35655 -4.0389E+00 0.0000 
 7.137 250 -0.33724 -4.0535E+00 0.0000 
 7.137 250 -0.31876 -4.0678E+00 0.0000 
 7.137 250 -0.30103 -4.0824E+00 0.0000 
 7.137 250 -0.28400 -4.0975E+00 0.0000 
 7.137 250 -0.26761 -4.1134E+00 0.0000 
 7.137 250 -0.25181 -4.1302E+00 0.0000 
 7.137 250 -0.23657 -4.1483E+00 0.0000 
 7.137 250 -0.22185 -4.1676E+00 0.0000 
 7.137 250 -0.20761 -4.1884E+00 0.0000 
 7.137 250 -0.19382 -4.2105E+00 0.0000 
 7.137 250 -0.18046 -4.2341E+00 0.0000 
 7.137 250 -0.16749 -4.2589E+00 0.0000 
 7.137 250 -0.15490 -4.2848E+00 0.0000 
 7.137 250 -0.14267 -4.3115E+00 0.0000 
 7.137 250 -0.13077 -4.3384E+00 0.0000 
 7.137 250 -0.11919 -4.3650E+00 0.0000 
 7.137 250 -0.10791 -4.3902E+00 0.0000 
 7.137 250 -0.09691 -4.4131E+00 0.0000 
 7.137 250 -0.08619 -4.4321E+00 0.0000 
 7.137 250 -0.07572 -4.4457E+00 0.0000 
 7.137 250 -0.06550 -4.4525E+00 0.0000 
 7.137 250 -0.05552 -4.4509E+00 0.0000 
 7.137 250 -0.04576 -4.4400E+00 0.0000 
 7.137 250 -0.03621 -4.4194E+00 0.0000 
 7.137 250 -0.02687 -4.3893E+00 0.0000 
 7.137 250 -0.01773 -4.3507E+00 0.0000 
 7.137 250 -0.00877 -4.3049E+00 0.0000 
 7.137 250  0.00000 -4.2534E+00 0.0000 
 7.267 230 -1.39794 -2.8646E+00 0.0000 
 7.267 230 -1.22185 -3.0289E+00 0.0000 
 7.267 230 -1.09691 -3.1568E+00 0.0000 
 7.267 230 -1.00000 -3.2648E+00 0.0000 
 7.267 230 -0.92082 -3.3597E+00 0.0000 
 7.267 230 -0.85387 -3.4448E+00 0.0000 
 7.267 230 -0.79588 -3.5219E+00 0.0000 
 7.267 230 -0.74473 -3.5920E+00 0.0000 
 7.267 230 -0.69897 -3.6555E+00 0.0000 
 7.267 230 -0.65758 -3.7129E+00 0.0000 
 7.267 230 -0.61979 -3.7642E+00 0.0000 
 7.267 230 -0.58503 -3.8099E+00 0.0000 
 7.267 230 -0.55284 -3.8500E+00 0.0000 
 7.267 230 -0.52288 -3.8852E+00 0.0000 
 7.267 230 -0.49485 -3.9158E+00 0.0000 
 7.267 230 -0.46852 -3.9423E+00 0.0000 
 7.267 230 -0.44370 -3.9655E+00 0.0000 
 7.267 230 -0.42022 -3.9858E+00 0.0000 
 7.267 230 -0.39794 -4.0039E+00 0.0000 
 7.267 230 -0.37675 -4.0204E+00 0.0000 
 7.267 230 -0.35655 -4.0357E+00 0.0000 
 7.267 230 -0.33724 -4.0505E+00 0.0000 
 7.267 230 -0.31876 -4.0651E+00 0.0000 
 7.267 230 -0.30103 -4.0799E+00 0.0000 
 7.267 230 -0.28400 -4.0952E+00 0.0000 
 7.267 230 -0.26761 -4.1114E+00 0.0000 
 7.267 230 -0.25181 -4.1285E+00 0.0000 
 7.267 230 -0.23657 -4.1469E+00 0.0000 
 7.267 230 -0.22185 -4.1666E+00 0.0000 
 7.267 230 -0.20761 -4.1877E+00 0.0000 
 7.267 230 -0.19382 -4.2102E+00 0.0000 
 7.267 230 -0.18046 -4.2343E+00 0.0000 
 7.267 230 -0.16749 -4.2596E+00 0.0000 
 7.267 230 -0.15490 -4.2860E+00 0.0000 
 7.267 230 -0.14267 -4.3133E+00 0.0000 
 7.267 230 -0.13077 -4.3408E+00 0.0000 
 7.267 230 -0.11919 -4.3680E+00 0.0000 
 7.267 230 -0.10791 -4.3938E+00 0.0000 
 7.267 230 -0.09691 -4.4172E+00 0.0000 
 7.267 230 -0.08619 -4.4366E+00 0.0000 
 7.267 230 -0.07572 -4.4506E+00 0.0000 
 7.267 230 -0.06550 -4.4574E+00 0.0000 
 7.267 230 -0.05552 -4.4557E+00 0.0000 
 7.267 230 -0.04576 -4.4443E+00 0.0000 
 7.267 230 -0.03621 -4.4230E+00 0.0000 
 7.267 230 -0.02687 -4.3921E+00 0.0000 
 7.267 230 -0.01773 -4.3525E+00 0.0000 
 7.267 230 -0.00877 -4.3056E+00 0.0000 
 7.267 230  0.00000 -4.2532E+00 0.0000 
 7.41  210 -1.39794 -2.8526E+00 0.0000 
 7.41  210 -1.22185 -3.0172E+00 0.0000 
 7.41  210 -1.09691 -3.1454E+00 0.0000 
 7.41  210 -1.00000 -3.2538E+00 0.0000 
 7.41  210 -0.92082 -3.3491E+00 0.0000 
 7.41  210 -0.85387 -3.4347E+00 0.0000 
 7.41  210 -0.79588 -3.5123E+00 0.0000 
 7.41  210 -0.74473 -3.5829E+00 0.0000 
 7.41  210 -0.69897 -3.6470E+00 0.0000 
 7.41  210 -0.65758 -3.7048E+00 0.0000 
 7.41  210 -0.61979 -3.7567E+00 0.0000 
 7.41  210 -0.58503 -3.8029E+00 0.0000 
 7.41  210 -0.55284 -3.8436E+00 0.0000 
 7.41  210 -0.52288 -3.8792E+00 0.0000 
 7.41  210 -0.49485 -3.9103E+00 0.0000 
 7.41  210 -0.46852 -3.9372E+00 0.0000 
 7.41  210 -0.44370 -3.9608E+00 0.0000 
 7.41  210 -0.42022 -3.9814E+00 0.0000 
 7.41  210 -0.39794 -3.9999E+00 0.0000 
 7.41  210 -0.37675 -4.0167E+00 0.0000 
 7.41  210 -0.35655 -4.0323E+00 0.0000 
 7.41  210 -0.33724 -4.0474E+00 0.0000 
 7.41  210 -0.31876 -4.0622E+00 0.0000 
 7.41  210 -0.30103 -4.0773E+00 0.0000 
 7.41  210 -0.28400 -4.0929E+00 0.0000 
 7.41  210 -0.26761 -4.1093E+00 0.0000 
 7.41  210 -0.25181 -4.1268E+00 0.0000 
 7.41  210 -0.23657 -4.1454E+00 0.0000 
 7.41  210 -0.22185 -4.1655E+00 0.0000 
 7.41  210 -0.20761 -4.1869E+00 0.0000 
 7.41  210 -0.19382 -4.2099E+00 0.0000 
 7.41  210 -0.18046 -4.2344E+00 0.0000 
 7.41  210 -0.16749 -4.2602E+00 0.0000 
 7.41  210 -0.15490 -4.2871E+00 0.0000 
 7.41  210 -0.14267 -4.3149E+00 0.0000 
 7.41  210 -0.13077 -4.3431E+00 0.0000 
 7.41  210 -0.11919 -4.3709E+00 0.0000 
 7.41  210 -0.10791 -4.3973E+00 0.0000 
 7.41  210 -0.09691 -4.4213E+00 0.0000 
 7.41  210 -0.08619 -4.4413E+00 0.0000 
 7.41  210 -0.07572 -4.4556E+00 0.0000 
 7.41  210 -0.06550 -4.4627E+00 0.0000 
 7.41  210 -0.05552 -4.4610E+00 0.0000 
 7.41  210 -0.04576 -4.4494E+00 0.0000 
 7.41  210 -0.03621 -4.4277E+00 0.0000 
 7.41  210 -0.02687 -4.3961E+00 0.0000 
 7.41  210 -0.01773 -4.3558E+00 0.0000 
 7.41  210 -0.00877 -4.3082E+00 0.0000 
 7.41  210  0.00000 -4.2550E+00 0.0000 
 7.568 190 -1.39794 -2.8379E+00 0.0000 
 7.568 190 -1.22185 -3.0030E+00 0.0000 
 7.568 190 -1.09691 -3.1318E+00 0.0000 
 7.568 190 -1.00000 -3.2407E+00 0.0000 
 7.568 190 -0.92082 -3.3365E+00 0.0000 
 7.568 190 -0.85387 -3.4227E+00 0.0000 
 7.568 190 -0.79588 -3.5010E+00 0.0000 
 7.568 190 -0.74473 -3.5722E+00 0.0000 
 7.568 190 -0.69897 -3.6369E+00 0.0000 
 7.568 190 -0.65758 -3.6955E+00 0.0000 
 7.568 190 -0.61979 -3.7480E+00 0.0000 
 7.568 190 -0.58503 -3.7948E+00 0.0000 
 7.568 190 -0.55284 -3.8361E+00 0.0000 
 7.568 190 -0.52288 -3.8723E+00 0.0000 
 7.568 190 -0.49485 -3.9038E+00 0.0000 
 7.568 190 -0.46852 -3.9313E+00 0.0000 
 7.568 190 -0.44370 -3.9552E+00 0.0000 
 7.568 190 -0.42022 -3.9763E+00 0.0000 
 7.568 190 -0.39794 -3.9950E+00 0.0000 
 7.568 190 -0.37675 -4.0122E+00 0.0000 
 7.568 190 -0.35655 -4.0281E+00 0.0000 
 7.568 190 -0.33724 -4.0435E+00 0.0000 
 7.568 190 -0.31876 -4.0586E+00 0.0000 
 7.568 190 -0.30103 -4.0740E+00 0.0000 
 7.568 190 -0.28400 -4.0899E+00 0.0000 
 7.568 190 -0.26761 -4.1067E+00 0.0000 
 7.568 190 -0.25181 -4.1245E+00 0.0000 
 7.568 190 -0.23657 -4.1436E+00 0.0000 
 7.568 190 -0.22185 -4.1641E+00 0.0000 
 7.568 190 -0.20761 -4.1860E+00 0.0000 
 7.568 190 -0.19382 -4.2096E+00 0.0000 
 7.568 190 -0.18046 -4.2346E+00 0.0000 
 7.568 190 -0.16749 -4.2611E+00 0.0000 
 7.568 190 -0.15490 -4.2887E+00 0.0000 
 7.568 190 -0.14267 -4.3173E+00 0.0000 
 7.568 190 -0.13077 -4.3462E+00 0.0000 
 7.568 190 -0.11919 -4.3748E+00 0.0000 
 7.568 190 -0.10791 -4.4021E+00 0.0000 
 7.568 190 -0.09691 -4.4268E+00 0.0000 
 7.568 190 -0.08619 -4.4474E+00 0.0000 
 7.568 190 -0.07572 -4.4622E+00 0.0000 
 7.568 190 -0.06550 -4.4694E+00 0.0000 
 7.568 190 -0.05552 -4.4675E+00 0.0000 
 7.568 190 -0.04576 -4.4554E+00 0.0000 
 7.568 190 -0.03621 -4.4328E+00 0.0000 
 7.568 190 -0.02687 -4.4001E+00 0.0000 
 7.568 190 -0.01773 -4.3585E+00 0.0000 
 7.568 190 -0.00877 -4.3097E+00 0.0000 
 7.568 190  0.00000 -4.2552E+00 0.0000 
 7.746 170 -1.39794 -2.8199E+00 0.0000 
 7.746 170 -1.22185 -2.9856E+00 0.0000 
 7.746 170 -1.09691 -3.1151E+00 0.0000 
 7.746 170 -1.00000 -3.2247E+00 0.0000 
 7.746 170 -0.92082 -3.3213E+00 0.0000 
 7.746 170 -0.85387 -3.4082E+00 0.0000 
 7.746 170 -0.79588 -3.4873E+00 0.0000 
 7.746 170 -0.74473 -3.5593E+00 0.0000 
 7.746 170 -0.69897 -3.6249E+00 0.0000 
 7.746 170 -0.65758 -3.6842E+00 0.0000 
 7.746 170 -0.61979 -3.7376E+00 0.0000 
 7.746 170 -0.58503 -3.7851E+00 0.0000 
 7.746 170 -0.55284 -3.8272E+00 0.0000 
