# str, deg J2000, deg J2000, str, km s^-1, km s^-1, km s^-1, km s^-1, Mpc, Mpc, str, str, mag, mag, mag, mag, mag, bool, bool, bool, bool, bool, bool, bool, str
name,RA,DEC,morphology,redshift_helio,redshift_helio_e,redshift_cmb,redshift_cmb_e,distance,distance_e,distance_method,RC_survey,ext_f,ext_n,ext_g,ext_r,ext_z,has_f-band,has_n-band,has_g-band,has_r-band,has_z-band,has_w1-band,has_w2-band,AutoProf_flags
2MFGC00532,10.9027,-56.4874,Sc,8369,7,8516.5920,7,105.3536,0.3204,CosmicFlows-3,SCII,0.1800,0.1460,0.0600,0.0410,0.0230,False,False,True,True,True,True,True,-
2MFGC00682,14.1025,-1.1430,Sd(f),12905,4,12631.3960,4,158.3111,0.2817,CosmicFlows-3,SCII,1.3910,1.2080,0.1330,0.0900,0.0500,True,True,True,True,True,True,True,FFT_coefficients
2MFGC00817,16.8521,-46.9932,Sc,9531,8,9375.2929,8,120.5397,0.3573,CosmicFlows-3,SCII,0.1160,0.0940,0.0400,0.0270,0.0150,True,True,True,True,True,True,True,Light_symmetry
2MFGC00869,17.6911,-46.5441,Sc,9123,10,8972.0857,10,115.0913,0.2644,CosmicFlows-3,SCII,0.0950,0.0760,0.0320,0.0220,0.0120,True,True,True,True,True,True,True,Light_symmetry
2MFGC00903,18.2476,15.5914,Sbc:,12196,3,11916.5379,3,153.2714,0.2786,CosmicFlows-3,SCII,1.0210,0.8700,0.2390,0.1600,0.0900,False,False,True,True,True,True,True,Light_symmetry
2MFGC00913,18.3878,0.4967,Sb(f),13222,5,13412.4891,5,162.8250,0.2637,CosmicFlows-3,SCII,0.4380,0.3610,0.1040,0.0700,0.0390,True,True,True,True,True,True,True,-
2MFGC05660,107.0961,-49.4388,Sab:,13167,9,13367.0966,9,174.8599,0.4382,CosmicFlows-3,SCII,1.7630,1.5690,0.2870,0.1930,0.1080,False,False,False,False,False,False,False,-
2MFGC07107,136.9154,-9.4508,S/S0,15996,9,15811.0527,9,216.5898,0.1233,Hubble Flow (H0=73),SCII,1.4150,1.2310,0.1870,0.1260,0.0700,False,False,False,False,False,False,False,-
2MFGC08554,164.6540,1.4214,Sc(f),11393,5,11662.0961,5,153.0366,0.2807,CosmicFlows-3,SCII,0.6940,0.5810,0.0860,0.0580,0.0320,True,True,True,True,True,True,True,-
2MFGC08893,170.7534,34.3939,Sc,10831,7,11182.8396,7,145.8127,0.2979,CosmicFlows-3,SCII,0.4810,0.3980,0.0820,0.0550,0.0310,True,True,True,True,True,True,True,-
2MFGC10124,192.6520,-15.1984,Sb,12777,10,12824.3308,10,162.9702,0.2530,CosmicFlows-3,Mathewson96,0.6940,0.5810,0.1880,0.1260,0.0710,False,False,False,False,False,False,False,-
