name,rc_model:Tan:r_t,rc_model:Tan:v_c,rc_model:Tan:v0,rc_model:Tan:x0,rc_model:Tanh:r_t,rc_model:Tanh:v_c,rc_model:Tanh:v0,rc_model:Tanh:x0,rc_model:C97:r_t,rc_model:C97:v_c,rc_model:C97:beta,rc_model:C97:gamma,rc_model:C97:v0,rc_model:C97:x0,sersic:Re|f,sersic:Ie|f,sersic:M|f,sersic:n|f,sersic:Re|n,sersic:Ie|n,sersic:M|n,sersic:n|n,sersic:Re|g,sersic:Ie|g,sersic:M|g,sersic:n|g,sersic:Re|r,sersic:Ie|r,sersic:M|r,sersic:n|r,sersic:Re|z,sersic:Ie|z,sersic:M|z,sersic:n|z,sersic:Re|w1,sersic:Ie|w1,sersic:M|w1,sersic:n|w1,sersic:Re|w2,sersic:Ie|w2,sersic:M|w2,sersic:n|w2
UGC05829,99.999,99.999,99.999,99.999,72.61,33.86,0,0,-39.99,59.06,-0.1361,0.6463,0,0,68.28,0.03737,14.79,0.7885,74.52,0.04083,14.44,0.9035,84.39,0.1244,12.87,1.113,87.75,0.1412,12.63,1.151,185,0.007356,13.83,2.501,170,0.02382,12.96,1.627,212.1,0.01009,13.39,1.696
UGC05869,99.999,99.999,99.999,99.999,5.624,119.2,0,0,-5.6,110.6,-0.01243,2.334,0,0,32.28,0.04891,16.36,0.5651,33.33,0.06007,15.82,0.9968,38.36,0.1651,13.84,3.19,35.19,0.2775,13.39,3.657,39.43,0.3023,12.97,4.311,19.15,0.818,14,1.477,19.8,0.443,14.6,1.473
UGC05872,99.999,99.999,99.999,99.999,2.377,159.8,0,0,-6.123,314.6,0.3761,0.6401,0,0,4.247e+04,0.0002572,6.353,3.019,30.82,0.05999,16.69,0.6985,36.07,0.3485,13.84,2.425,17.3,1.581,13.85,2.17,12.71,3.293,13.7,2.239,17.85,1.708,13.89,1.487,15.73,1.402,14.47,1.221
UGC05897,99.999,99.999,99.999,99.999,6.445,121.2,0,0,3.721,130.4,-0.1126,1.241,0,0,121.9,0.05442,13.96,0.7647,42.7,0.234,14.86,0.3631,43.92,0.7209,12.93,1.663,43.01,1.097,12.47,1.847,42.19,1.455,12.17,1.956,35.62,1.331,12.89,1.168,40.42,0.6111,13.42,1.276
UGC05918,99.999,99.999,99.999,99.999,38.73,29.99,0,0,31.85,41.05,-0.008472,0.976,0,0,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,55.72,0.07871,14.63,0.848,58.27,0.09003,14.35,0.9284,181.4,0.003155,15.04,2.458,187.6,0.01135,13.8,1.579,201.5,0.006605,14.25,1.533
UGC05929,99.999,99.999,99.999,99.999,2.671,80.98,0,0,3.057,186.5,0.07182,0.5631,0,0,18.47,0.184,16.34,0.6331,18.64,0.2665,15.88,0.6875,13.77,1.043,14.77,1.282,12.96,1.611,14.38,1.428,12.91,1.928,14.15,1.581,15.16,0.9303,14.81,0.9888,15.76,0.5271,15.35,0.9898
UGC05932,99.999,99.999,99.999,99.999,4.484,273.6,0,0,4.736,269,0.1255,2.358,0,0,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,29.61,0.3479,14.18,2.857,20.86,1.22,13.64,2.536,14.41,3.682,13.32,2.191,17.2,2.957,13.57,0.9721,17.38,1.685,14.18,0.9249
UGC05974,99.999,99.999,99.999,99.999,32.93,68.32,0,0,26.29,83.98,-0.3382,6.28,0,0,28.68,0.3093,14.78,0.8893,28.25,0.433,14.46,0.8812,24.49,0.9028,13.9,1.031,23.3,1.313,13.61,0.9966,22.84,1.517,13.5,0.9989,25.86,0.4729,14.46,1.07,24.73,0.3135,15.2,0.9407
UGC05994,99.999,99.999,99.999,99.999,5.694,164,0,0,3.197,204.1,0.006851,0.9193,0,0,32.61,0.04269,17.81,0.5873,31.37,0.08035,17.13,0.7042,16.9,1.236,15.16,1.501,14.9,2.351,14.65,1.789,13.3,4,14.3,1.846,17.81,1.711,14.71,1.441,19.07,0.9305,15.23,1.437
UGC05999,99.999,99.999,99.999,99.999,30.9,38.17,0,0,29.19,41.86,-0.01831,1.875,0,0,-31.21,0.01099,99.999,1,34.49,0.04438,16.4,0.7248,38.89,0.1036,14.95,1.316,36.9,0.1406,14.71,1.361,39.07,0.1405,14.53,1.527,62.83,0.02865,15.14,1.819,109.4,0.009775,15.03,2.109
UGC06292,99.999,99.999,99.999,99.999,2.501,141.2,0,0,7.434,113.6,0.6984,4.894,0,0,50.53,0.01561,16.26,2.297,18.2,0.1157,16.55,1.322,28.81,0.2286,14.36,3.229,27.89,0.3862,13.87,3.227,28.81,0.4961,13.5,3.385,24.87,0.4151,14.2,2.357,30.95,0.2194,14.41,2.407
UGC06325,99.999,99.999,99.999,99.999,7.84,151.8,0,0,22.96,121.9,0.6918,6.172,0,0,23.64,0.08452,17.36,0.2355,24.12,0.1845,16.42,0.2236,18.31,1.386,14.2,1.2,17.06,2.369,13.73,1.307,16.99,2.992,13.44,1.456,23.09,1.161,13.86,1.285,21.37,0.7422,14.54,1.203
UGC06338,99.999,99.999,99.999,99.999,10.6,194.8,0,0,9.981,203.6,-0.243,6.15,0,0,7.376,0.1128,17.44,0.1638,18.38,0.2,16.59,0.237,16.42,1.682,14.22,0.7301,16.32,2.383,13.68,1.08,12.87,4.554,13.51,1.039,15.07,3.001,13.88,0.5765,15.17,1.768,14.45,0.5539
