type,source_path,hub_link,exists,valid,error,size_bytes
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_inversion_distance_sensitivity.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_inversion_distance_sensitivity.json,True,True,,39799
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_jackknife_robustness.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_jackknife_robustness.json,True,True,,48240
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_korsaga_ml_sensitivity.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_korsaga_ml_sensitivity.json,True,True,,5113
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_kurtosis_disambiguation.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_kurtosis_disambiguation.json,True,True,,415
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_kurtosis_mhongoose.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_kurtosis_mhongoose.json,True,True,,1236
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_kurtosis_phase_transition.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_kurtosis_phase_transition.json,True,True,,25623
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_lcdm_hydro_inversion.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_lcdm_hydro_inversion.json,True,True,,1237
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_lcdm_null_inversion.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_lcdm_null_inversion.json,True,True,,1634
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_lensing_profile_shape.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_lensing_profile_shape.json,True,True,,3144
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_literature_crossref.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_literature_crossref.json,True,True,,12190
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_mass_split_bunching.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_mass_split_bunching.json,True,True,,4861
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_matched_analog_comparison.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_matched_analog_comparison.json,True,True,,6372
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_mc_distance_and_inversion.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_mc_distance_and_inversion.json,True,True,,17054
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_mhongoose_integration.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_mhongoose_integration.json,True,True,,1047
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_mhongoose_sorgho2019.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_mhongoose_sorgho2019.json,True,True,,1692
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_nonparametric_inversion.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_nonparametric_inversion.json,True,True,,9801
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_pathological_galaxies.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_pathological_galaxies.json,True,True,,8517
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_periodic_properties_and_scaling.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_periodic_properties_and_scaling.json,True,True,,16149
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_phangs_inner_quantum.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_phangs_inner_quantum.json,True,True,,10821
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_phase4_unified_adjudication.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_phase4_unified_adjudication.json,True,True,,6033
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_phase_diagram_model.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_phase_diagram_model.json,True,True,,24612
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_probes_gas_corrected.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_probes_gas_corrected.json,True,True,,707
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_probes_inversion_replication.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_probes_inversion_replication.json,True,True,,3738
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_propensity_matched_env.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_propensity_matched_env.json,True,True,,3420
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_radial_variance_profile.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_radial_variance_profile.json,True,True,,6609
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_residual_power_spectrum.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_residual_power_spectrum.json,True,True,,18763
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_simulation_coherence.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_simulation_coherence.json,True,True,,4913
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_soliton_nfw_composite.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_soliton_nfw_composite.json,True,True,,155236
summary_json,/Users/russelllicht/bec-dark-matter/analysis/results/summary_sparc_orig_haubner.json,/Users/russelllicht/bec-dark-matter/bec_rar_identity/artifacts/summaries/analysis/results/summary_sparc_orig_haubner.json,True,True,,3283
