recno	PGC	NGC	UGC	IC	Dist	e_Dist	logM*	e_logM*	Gamma*	n_Gamma*	logSFR	e_logSFR	n_logSFR	DelMS	Flags	_RA	_DE
1572	10683	"NGC1107  "	" "	"       "	48.7	0.13	11.11	0.1	0.5	"FIXEDUL "			"FUV+WISE4"		" "	42.33166	8.09272
1349	9543	"         "	" "	"       "	59.3	0.11	9.37	0.1	0.38	"W4W1    "	-1.13	0.21	"WISE4    "		"S"	37.59987	8.698
1278	9206	"         "	" "	"       "	54.0	0.12	9.57	0.1	0.4	"SSFRLIKE"	-0.78	0.2	"FUV+WISE4"	-0.38	" "	36.37487	11.47155
1471	10078	"NGC1029  "	" "	"       "	51.6	0.12	10.63	0.1	0.5	"SSFRLIKE"	-1.36	0.23	"FUV+WISE4"		" "	39.90223	10.79325
1461	10048	"NGC1024  "	" "	"       "	51.5	0.12	11.0	0.1	0.5	"SSFRLIKE"	0.21	0.2	"FUV+WISE4"	-0.34	"S"	39.79985	10.84683
1418	9890	"         "	" "	"       "	50.5	0.13	10.7	0.1	0.5	"SSFRLIKE"	-0.97	0.2	"FUV+WISE4"		" "	39.07586	11.6421
1470	10072	"         "	" "	"       "	51.1	0.12	9.36	0.1	0.31	"SSFRLIKE"	-0.62	0.2	"FUV+WISE4"	-0.09	"S"	39.86922	12.68052
1644	11204	"         "	" "	"       "	49.3	0.13	9.9	0.1	0.29	"SSFRLIKE"	0.01	0.2	"NUV+WISE4"	0.19	" "	44.47391	11.18294
1602	10932	"         "	" "	"       "	51.1	0.12	10.29	0.1	0.21	"SSFRLIKE"	0.73	0.2	"FUV+WISE4"	0.65	" "	43.45944	12.84925
1600	10928	"NGC1134  "	" "	"       "	38.7	0.14	10.56	0.1	0.3	"SSFRLIKE"	0.64	0.2	"FUV+WISE4"	0.38	" "	43.42233	13.01422
15016	1427550	"         "	" "	"       "	51.6	0.12	9.5	0.1	0.2	"SSFRLIKE"	0.12	0.2	"FUV+WISE4"	0.55	"S"	47.46646	13.29906
1835	12195	"         "	" "	"       "	68.2	0.09	10.0	0.1	0.26	"SSFRLIKE"	0.21	0.2	"FUV+WISE4"	0.32	" "	49.26858	15.48453
15029	1517029	"         "	" "	"       "	70.6	0.09	9.78	0.1	0.2	"SSFRLIKE"	0.37	0.2	"FUV+WISE4"	0.62	" "	47.74954	16.78809
1597	10907	"         "	" "	"       "	51.6	0.12	9.23	0.1	0.2	"SSFRLIKE"	-0.01	0.2	"FUV+WISE4"	0.6	" "	43.29987	13.03142
2173	13706	"         "	" "	"       "	52.8	0.12	9.81	0.1	0.42	"W4W1    "	-0.85	0.2	"WISE4    "		"S"	55.9922	22.66412
2136	13557	"         "	" "	"       "	18.4	0.35	8.58	0.1	0.22	"SSFRLIKE"	-1.02	0.2	"NUV+WISE4"	0.03	" "	55.2994	24.01243
1165	8530	"         "	" "	"       "	51.6	0.12	8.8	0.16	0.5	"FIXEDUL "			"WISE4    "		" "	33.40167	10.33547
1250	9016	"         "	" "	"       "	54.6	0.12	8.9	0.11	0.2	"SSFRLIKE"	-0.35	0.2	"FUV+WISE4"	0.49	" "	35.55571	12.03003
1204	8758	"         "	" "	"IC1791 "	52.2	0.12	10.58	0.1	0.5	"SSFRLIKE"	-0.83	0.2	"FUV+WISE4"		" "	34.42224	12.47062
1201	8752	"         "	" "	"IC1790 "	52.2	0.12	9.63	0.1	0.39	"SSFRLIKE"	-0.66	0.2	"FUV+WISE4"	-0.3	" "	34.40745	12.50889
1122	8260	"         "	" "	"       "	65.9	0.1	9.77	0.1	0.3	"SSFRLIKE"	-0.19	0.2	"FUV+WISE4"	0.07	"S"	32.4749	10.9611
1194	8694	"         "	" "	"       "	55.2	0.11	9.33	0.37	0.32	"W4W1    "	-0.97	0.2	"WISE4    "		" "	34.15375	12.97556
1212	8788	"         "	" "	"       "	52.2	0.12	9.85	0.1	0.34	"SSFRLIKE"	-0.25	0.2	"FUV+WISE4"	-0.04	" "	34.56321	13.20438
15020	1445768	"         "	" "	"       "	68.2	0.09	9.88	0.7	0.4	"SSFRLIKE"	-0.46	0.21	"FUV+WISE4"	-0.27	" "	34.61906	13.97614
1237	8964	"         "	" "	"       "	54.0	0.12	10.38	0.11	0.45	"SSFRLIKE"	-0.14	0.2	"FUV+WISE4"	-0.29	" "	35.37921	14.19887
1199	8722	"         "	" "	"       "	54.0	0.12	10.17	0.1	0.22	"SSFRLIKE"	0.58	0.2	"FUV+WISE4"	0.58	"S"	34.29472	14.54781
1208	8770	"         "	" "	"       "	55.2	0.11	10.23	0.1	0.31	"SSFRLIKE"	0.25	0.2	"FUV+WISE4"	0.21	" "	34.4722	14.52164
1209	8775	"         "	" "	"       "	56.4	0.11	10.92	0.1	0.28	"SSFRLIKE"	1.07	0.2	"FUV+WISE4"	0.57	" "	34.49852	14.54395
1216	8826	"         "	" "	"       "	54.6	0.12	9.12	0.1	0.22	"SSFRLIKE"	-0.48	0.2	"FUV+WISE4"	0.22	"S"	34.73333	15.15694
1219	8840	"         "	" "	"       "	55.8	0.11	9.06	0.44	0.24	"SSFRLIKE"	-0.62	0.2	"FUV+WISE4"	0.11	"S"	34.77417	15.25639
1318	9413	"         "	" "	"       "	58.7	0.11	9.47	0.13	0.5	"SSFRLIKE"	-1.73	0.27	"FUV+WISE4"		" "	37.11365	15.6071
1236	8963	"         "	" "	"IC1794 "	57.5	0.11	10.13	0.1	0.34	"SSFRLIKE"	0.01	0.2	"FUV+WISE4"	0.04	" "	35.37573	15.76159
1070	7965	"         "	" "	"       "	112.9	0.06	11.37	0.1	0.5	"SSFRLIKE"	-0.37	0.2	"FUV+WISE4"		" "	31.36896	13.25153
1152	8406	"         "	" "	"       "	63.5	0.1	9.77	0.11	0.4	"SSFRLIKE"	-0.56	0.2	"FUV+WISE4"	-0.29	" "	33.00064	14.01642
1095	8165	"         "	" "	"       "	64.2	0.08	10.67	0.1	0.36	"SSFRLIKE"	0.48	0.2	"FUV+WISE4"	0.15	"S"	32.10406	14.3496
1094	8163	"         "	" "	"       "	64.1	0.1	10.2	0.13	0.29	"SSFRLIKE"	0.32	0.2	"FUV+WISE4"	0.29	"S"	32.10273	14.97194
983	7533	"         "	" "	"       "	66.5	0.1	9.83	0.1	0.41	"SSFRLIKE"	-0.54	0.2	"FUV+WISE4"	-0.32	" "	29.8789	13.94387
984	7536	"         "	" "	"       "	66.5	0.1	10.81	0.1	0.5	"SSFRLIKE"	-0.8	0.2	"FUV+WISE4"		" "	29.89473	14.00821
942	7341	"         "	" "	"IC1755 "	114.8	0.06	10.93	0.1	0.5	"SSFRLIKE"	-0.08	0.2	"FUV+WISE4"		" "	29.29079	14.5499
930	7292	"         "	" "	"       "	67.1	0.09	10.13	0.1	0.36	"SSFRLIKE"	-0.04	0.2	"FUV+WISE4"	-0.01	" "	29.18135	15.01487
1046	7846	"         "	" "	"       "	52.8	0.12	10.42	0.11	0.5	"SSFRLIKE"	-1.04	0.21	"FUV+WISE4"		" "	30.93586	14.70929
1049	7856	"         "	" "	"       "	52.2	0.12	10.68	0.1	0.5	"SSFRLIKE"	-0.2	0.2	"FUV+WISE4"	-0.54	" "	30.9575	14.73912
1051	7863	"         "	" "	"IC1774 "	52.2	0.12	9.41	0.1	0.2	"SSFRLIKE"	0.02	0.2	"FUV+WISE4"	0.51	" "	30.99629	15.31769
1006	7644	"         "	" "	"       "	66.5	0.1	10.66	0.1	0.5	"SSFRLIKE"	-1.11	0.21	"FUV+WISE4"		" "	30.24914	15.18918
1018	7680	"         "	" "	"       "	64.7	0.1	10.13	0.1	0.29	"SSFRLIKE"	0.23	0.2	"FUV+WISE4"	0.26	" "	30.35299	15.64648
1030	7744	"         "	" "	"       "	67.1	0.09	10.64	0.15	0.5	"SSFRLIKE"	-0.2	0.2	"FUV+WISE4"	-0.51	" "	30.56386	15.71215
1034	7768	"         "	" "	"       "	56.4	0.11	10.28	0.1	0.5	"SSFRLIKE"	-0.76	0.2	"FUV+WISE4"		"S"	30.63494	16.0142
1048	7849	"         "	" "	"       "	21.0	0.12	9.72	0.1	0.38	"SSFRLIKE"	-0.52	0.2	"FUV+WISE4"	-0.23	" "	30.93625	16.03096
1023	7709	"         "	" "	"       "	66.5	0.1	10.56	0.1	0.5	"SSFRLIKE"	-0.89	0.2	"FUV+WISE4"		" "	30.46305	16.25776
1225	8874	"         "	" "	"       "	57.5	0.11	10.39	0.1	0.5	"SSFRLIKE"	-1.7	0.25	"FUV+WISE4"		" "	34.91625	15.81428
1220	8850	"         "	" "	"       "	55.2	0.11	9.42	0.1	0.29	"SSFRLIKE"	-0.49	0.2	"FUV+WISE4"	0.01	" "	34.825	16.01917
1233	8956	"         "	" "	"       "	59.3	0.11	10.2	0.1	0.26	"SSFRLIKE"	0.42	0.2	"FUV+WISE4"	0.39	" "	35.34879	16.56642
1243	8982	"         "	" "	"       "	57.5	0.11	10.19	0.1	0.44	"SSFRLIKE"	-0.3	0.2	"FUV+WISE4"	-0.31	" "	35.4521	16.8747
1258	9049	"         "	" "	"       "	58.7	0.11	9.61	0.28	0.32	"SSFRLIKE"	-0.42	0.2	"FUV+WISE4"	-0.05	" "	35.72208	17.30056
1253	9023	"         "	" "	"       "	59.3	0.11	9.96	0.1	0.4	"SSFRLIKE"	-0.36	0.2	"FUV+WISE4"	-0.22	" "	35.60527	17.66932
1124	8266	"         "	" "	"       "	119.7	0.05	10.78	0.17	0.42	"SSFRLIKE"	0.38	0.2	"FUV+WISE4"	-0.03	" "	32.48704	16.03263
1157	8452	"         "	" "	"       "	61.1	0.1	9.07	0.13	0.26	"SSFRLIKE"	-0.69	0.2	"FUV+WISE4"	0.03	" "	33.1295	16.85525
1167	8536	"         "	" "	"       "	62.9	0.1	9.58	0.1	0.24	"SSFRLIKE"	-0.12	0.2	"FUV+WISE4"	0.26	" "	33.42879	17.099
1144	8355	"         "	" "	"       "	62.3	0.1	9.3	0.38	0.3	"SSFRLIKE"	-0.63	0.2	"FUV+WISE4"	-0.06	" "	32.76125	17.19957
1089	8109	"         "	" "	"       "	65.3	0.1	9.99	0.1	0.26	"SSFRLIKE"	0.23	0.2	"FUV+WISE4"	0.34	" "	31.89046	17.2026
1187	8672	"         "	" "	"       "	117.2	0.05	10.81	0.1	0.5	"SSFRLIKE"	-0.37	0.2	"FUV+WISE4"		" "	34.06011	18.31108
1458	10044	"         "	" "	"       "	58.7	0.11	9.65	0.16	0.2	"SSFRLIKE"	0.2	0.2	"FUV+WISE4"	0.54	"G"	39.77583	18.38278
1457	10043	"         "	" "	"       "	59.9	0.11	9.66	0.16	0.2	"SSFRLIKE"	0.19	0.2	"FUV+WISE4"	0.53	"G"	39.77483	18.3885
1456	10042	"         "	" "	"       "	59.3	0.11	9.22	0.11	0.2	"SSFRLIKE"	-0.02	0.2	"FUV+WISE4"	0.6	"G"	39.76958	18.39389
1481	10127	"NGC1036  "	" "	"IC1828 "	10.0	0.12	8.56	0.1	0.24	"W4W1    "	-1.39	0.2	"WISE4    "		" "	40.12076	19.29708
13578	90609	"         "	" "	"       "	59.9	0.11	8.96	0.67	0.29	"SSFRLIKE"	-0.93	0.2	"FUV+WISE4"	-0.13	" "	35.71	17.815
1284	9236	"         "	" "	"       "	16.1	0.12	9.66	0.1	0.23	"SSFRLIKE"	0.0	0.2	"FUV+WISE4"	0.33	"S"	36.46162	18.49621
1364	9638	"         "	" "	"       "	20.7	0.12	8.55	0.11	0.21	"SSFRLIKE"	-0.98	0.2	"FUV+WISE4"	0.09	" "	37.9675	19.1531
1373	9699	"         "	" "	"       "	57.5	0.11	9.81	0.11	0.3	"SSFRLIKE"	-0.15	0.2	"FUV+WISE4"	0.09	"S"	38.22343	19.2583
1312	9392	"         "	" "	"IC1801 "	58.2	0.11	10.24	0.2	0.31	"SSFRLIKE"	0.24	0.2	"FUV+WISE4"	0.19	"G"	37.05314	19.58332
13767	100738	"         "	" "	"       "	60.5	0.1	9.96	0.1	0.29	"SSFRLIKE"	0.07	0.2	"FUV+WISE4"	0.21	" "	36.68381	19.39631
1311	9388	"         "	" "	"       "	55.1	0.19	10.7	0.12	0.33	"SSFRLIKE"	0.64	0.2	"FUV+WISE4"	0.29	"G,S"	37.04642	19.59914
13576	90607	"         "	" "	"       "	62.9	0.1	8.63	0.27	0.2	"SSFRLIKE"	-0.66	0.2	"FUV+WISE4"	0.35	" "	34.95292	18.98389
1310	9379	"         "	" "	"       "	59.3	0.11	11.03	0.1	0.5	"SSFRLIKE"	-0.09	0.2	"FUV+WISE4"		" "	36.97791	20.33251
1294	9302	"         "	" "	"       "	64.7	0.1	10.9	0.1	0.5	"SSFRLIKE"	-0.11	0.2	"FUV+WISE4"		" "	36.69509	20.49751
1298	9313	"         "	" "	"       "	61.1	0.1	9.45	0.1	0.24	"SSFRLIKE"	-0.25	0.2	"FUV+WISE4"	0.22	" "	36.7349	20.53297
1277	9205	"         "	" "	"IC1797 "	59.9	0.11	10.16	0.1	0.33	"SSFRLIKE"	0.09	0.2	"FUV+WISE4"	0.1	" "	36.36626	20.39536
1336	9475	"         "	" "	"       "	60.5	0.1	10.39	0.1	0.5	"SSFRLIKE"	-0.32	0.2	"FUV+WISE4"	-0.47	" "	37.35931	20.21723
1324	9423	"         "	" "	"       "	59.3	0.11	10.83	0.1	0.5	"SSFRLIKE"	-2.8	0.95	"FUV+WISE4"		" "	37.13966	20.28371
1404	9828	"         "	" "	"       "	61.7	0.1	10.45	0.1	0.39	"SSFRLIKE"	0.16	0.2	"FUV+WISE4"	-0.03	" "	38.79206	20.85142
1380	9738	"         "	" "	"       "	62.9	0.1	8.84	0.11	0.2	"SSFRLIKE"	-0.62	0.2	"FUV+WISE4"	0.26	" "	38.35212	20.57869
1386	9776	"         "	" "	"       "	47.6	0.01	10.66	0.1	0.36	"SSFRLIKE"	0.48	0.2	"FUV+WISE4"	0.16	" "	38.50016	20.97675
1429	9938	"         "	" "	"       "	55.3	0.09	10.38	0.1	0.2	"SSFRLIKE"	1.03	0.2	"FUV+WISE4"	0.89	" "	39.35621	21.10084
1431	9944	"         "	" "	"       "	58.7	0.11	9.3	0.75	0.2	"SSFRLIKE"	0.25	0.2	"FUV+WISE4"	0.82	" "	39.36768	21.14198
1428	9933	"         "	" "	"       "	119.7	0.05	11.05	0.1	0.5	"SSFRLIKE"	-0.17	0.2	"FUV+WISE4"		"S"	39.30411	21.56759
1376	9712	"         "	" "	"       "	62.3	0.1	10.57	0.1	0.5	"SSFRLIKE"	-0.91	0.2	"FUV+WISE4"		" "	38.23485	21.89348
14220	169966	"         "	" "	"       "	64.1	0.1	9.39	0.11	0.44	"SSFRLIKE"	-1.09	0.21	"FUV+WISE4"	-0.57	" "	38.37208	23.485
1400	9819	"         "	" "	"       "	63.5	0.1	10.96	0.1	0.5	"SSFRLIKE"	-0.81	0.21	"FUV+WISE4"		" "	38.67957	23.413
899	7088	"         "	" "	"       "	69.4	0.09	9.37	0.1	0.44	"SSFRLIKE"	-1.11	0.21	"FUV+WISE4"	-0.58	" "	28.65671	17.07514
802	6569	"         "	" "	"       "	71.2	0.09	9.33	0.16	0.27	"SSFRLIKE"	-0.5	0.21	"NUV+WISE4"	0.06	" "	26.8565	16.34625
837	6728	"         "	" "	"       "	72.4	0.09	9.66	0.1	0.32	"SSFRLIKE"	-0.35	0.2	"NUV+WISE4"	-0.02	"S"	27.51596	16.43828
861	6893	"         "	" "	"       "	68.2	0.09	10.06	0.48	0.34	"SSFRLIKE"	-0.06	0.2	"FUV+WISE4"	0.01	" "	27.96668	17.05297
782	6380	"         "	" "	"       "	67.1	0.09	10.62	0.1	0.41	"SSFRLIKE"	0.24	0.2	"FUV+WISE4"	-0.07	" "	26.08598	17.47757
871	6940	"         "	" "	"       "	71.2	0.09	10.67	0.1	0.5	"SSFRLIKE"	-0.84	0.2	"NUV+WISE4"		"S"	28.11578	17.51269
915	7201	"         "	" "	"       "	71.8	0.09	10.08	0.14	0.37	"SSFRLIKE"	-0.15	0.2	"NUV+WISE4"	-0.1	"S"	28.93222	17.99874
898	7084	"         "	" "	"       "	72.4	0.09	10.51	0.1	0.5	"SSFRLIKE"	-0.65	0.2	"NUV+WISE4"		"S"	28.68401	18.04706
895	7059	"         "	" "	"       "	71.8	0.09	9.77	0.1	0.25	"SSFRLIKE"	0.06	0.2	"NUV+WISE4"	0.32	" "	28.55635	18.10171
13572	90572	"         "	" "	"       "	71.2	0.09	8.97	0.37	0.33	"SSFRLIKE"	-1.07	0.39	"NUV+WISE4"	-0.29	" "	28.38167	18.385
859	6889	"         "	" "	"       "	71.8	0.09	9.4	0.1	0.25	"SSFRLIKE"	-0.32	0.2	"NUV+WISE4"	0.19	" "	27.94742	18.18742
1042	7826	"         "	" "	"       "	33.3	0.12	9.53	0.1	0.5	"W4W1    "	-1.43	0.2	"WISE4    "		" "	30.83412	18.62962
978	7517	"         "	" "	"       "	33.3	0.12	9.98	0.1	0.5	"FIXEDUL "			"FUV+WISE4"		" "	29.80684	18.95464
980	7525	"         "	" "	"       "	33.3	0.12	11.18	0.1	0.45	"SSFRLIKE"	0.66	0.2	"FUV+WISE4"	-0.01	" "	29.83148	19.00763
958	7421	"         "	" "	"       "	71.8	0.09	10.41	0.1	0.5	"SSFRLIKE"	-1.05	0.21	"FUV+WISE4"		" "	29.5584	19.09998
1014	7663	"         "	" "	"       "	33.3	0.12	9.06	0.1	0.43	"SSFRLIKE"	-1.39	0.2	"FUV+WISE4"	-0.66	" "	30.30085	19.6753
1000	7602	"         "	" "	"       "	70.6	0.09	10.39	0.11	0.34	"SSFRLIKE"	0.28	0.2	"NUV+WISE4"	0.14	" "	30.09897	21.10831
1002	7613	"         "	" "	"       "	45.2	0.14	9.21	0.1	0.2	"SSFRLIKE"	-0.14	0.2	"NUV+WISE4"	0.49	"S"	30.13416	21.28752
771	6294	"         "	" "	"       "	36.3	0.12	9.18	0.11	0.33	"SSFRLIKE"	-0.87	0.2	"FUV+WISE4"	-0.22	" "	25.63769	18.30569
901	7098	"         "	" "	"       "	71.2	0.09	10.67	0.1	0.5	"SSFRLIKE"	-0.07	0.2	"NUV+WISE4"	-0.41	" "	28.69572	20.69815
823	6675	"         "	" "	"       "	30.6	0.12	9.72	0.1	0.34	"SSFRLIKE"	-0.37	0.2	"NUV+WISE4"	-0.08	" "	27.31243	20.71132
959	7425	"         "	" "	"       "	71.8	0.09	10.46	0.1	0.5	"SSFRLIKE"	-0.75	0.2	"NUV+WISE4"		" "	29.55659	21.3506
996	7587	"         "	" "	"       "	70.6	0.09	9.65	0.1	0.39	"SSFRLIKE"	-0.65	0.2	"NUV+WISE4"	-0.3	" "	30.08192	21.30184
912	7180	"         "	" "	"       "	71.8	0.09	10.51	0.1	0.5	"SSFRLIKE"	-0.52	0.2	"NUV+WISE4"		" "	28.90254	21.31761
1041	7825	"         "	" "	"       "	36.0	0.12	9.27	0.11	0.2	"SSFRLIKE"	-0.18	0.2	"FUV+WISE4"	0.41	"S"	30.83467	22.04133
960	7441	"         "	" "	"       "	72.4	0.09	9.43	0.13	0.35	"SSFRLIKE"	-0.71	0.2	"NUV+WISE4"	-0.23	" "	29.62904	22.11519
844	6793	"         "	" "	"       "	30.6	0.12	10.53	0.1	0.5	"SSFRLIKE"	-0.21	0.2	"FUV+WISE4"	-0.46	" "	27.67379	21.75997
851	6833	"         "	" "	"       "	20.5	0.12	8.92	0.1	0.21	"SSFRLIKE"	-0.65	0.2	"FUV+WISE4"	0.17	" "	27.78604	21.91244
847	6816	"         "	" "	"       "	43.4	0.15	9.73	0.13	0.21	"SSFRLIKE"	0.17	0.2	"FUV+WISE4"	0.46	" "	27.74372	21.99755
838	6732	"         "	" "	"IC1730 "	43.4	0.15	9.77	0.12	0.5	"SSFRLIKE"	-1.79	0.22	"FUV+WISE4"		" "	27.49144	22.01222
831	6690	"         "	" "	"       "	41.1	0.15	10.85	0.1	0.5	"SSFRLIKE"	-0.3	0.2	"FUV+WISE4"		" "	27.35351	21.99728
786	6432	"         "	" "	"IC1725 "	57.0	0.11	9.58	0.1	0.33	"SSFRLIKE"	-0.51	0.2	"FUV+WISE4"	-0.12	" "	26.29933	21.77665
852	6848	"         "	" "	"       "	32.7	0.12	10.62	0.1	0.37	"SSFRLIKE"	0.39	0.2	"FUV+WISE4"	0.09	" "	27.8232	22.35797
1181	8624	"         "	" "	"       "	64.1	0.1	9.88	0.15	0.36	"SSFRLIKE"	-0.3	0.2	"FUV+WISE4"	-0.11	"S"	33.83592	22.00605
1281	9214	"         "	" "	"       "	61.1	0.1	9.97	0.1	0.49	"SSFRLIKE"	-0.71	0.2	"FUV+WISE4"	-0.58	" "	36.41018	23.00088
1314	9398	"         "	" "	"       "	93.5	0.07	10.5	0.1	0.39	"SSFRLIKE"	0.19	0.2	"NUV+WISE4"	-0.03	" "	37.09216	23.2146
1342	9510	"         "	" "	"       "	31.5	0.12	9.69	0.11	0.5	"SSFRLIKE"	-1.02	0.2	"FUV+WISE4"	-0.7	"S"	37.47508	25.25641
1257	9047	"         "	" "	"       "	67.1	0.09	9.13	0.27	0.2	"SSFRLIKE"	-0.21	0.2	"FUV+WISE4"	0.48	"S"	35.73042	25.30972
1232	8954	"         "	" "	"       "	65.9	0.1	9.96	0.1	0.34	"SSFRLIKE"	-0.14	0.2	"FUV+WISE4"	-0.01	" "	35.3552	25.4228
1305	9351	"         "	" "	"       "	74.2	0.08	10.66	0.22	0.38	"SSFRLIKE"	0.39	0.2	"FUV+WISE4"	0.06	"S"	36.88532	25.66875
1032	7762	"         "	" "	"       "	70.0	0.09	9.49	0.1	0.32	"SSFRLIKE"	-0.52	0.2	"FUV+WISE4"	-0.07	" "	30.61897	22.32019
1025	7731	"         "	" "	"       "	69.4	0.09	10.35	0.1	0.5	"SSFRLIKE"	-2.19	0.53	"FUV+WISE4"		" "	30.53039	23.54984
1022	7707	"         "	" "	"       "	68.8	0.09	9.83	0.1	0.28	"SSFRLIKE"	-0.05	0.2	"FUV+WISE4"	0.18	" "	30.45476	23.68938
989	7558	"         "	" "	"       "	71.8	0.09	10.41	0.12	0.5	"SSFRLIKE"	-1.81	0.35	"FUV+WISE4"		" "	30.00175	23.60432
990	7560	"         "	" "	"       "	71.8	0.09	10.81	0.1	0.36	"SSFRLIKE"	0.6	0.2	"FUV+WISE4"	0.18	" "	29.97716	23.64429
1045	7841	"         "	" "	"       "	36.0	0.12	9.69	0.11	0.25	"SSFRLIKE"	-0.04	0.2	"FUV+WISE4"	0.28	" "	30.90623	24.07552
1166	8535	"         "	" "	"       "	38.7	0.16	9.04	0.12	0.5	"FIXEDUL "			"WISE4    "		" "	33.44096	24.89061
1065	7944	"         "	" "	"       "	70.6	0.09	9.25	0.1	0.5	"FIXEDUL "			"FUV+WISE4"		" "	31.29271	24.66628
1111	8220	"         "	" "	"       "	71.2	0.09	10.45	0.23	0.43	"SSFRLIKE"	0.0	0.2	"NUV+WISE4"	-0.19	" "	32.30925	25.57082
1131	8292	"         "	" "	"       "	67.1	0.09	9.81	0.1	0.35	"SSFRLIKE"	-0.35	0.2	"NUV+WISE4"	-0.11	"S"	32.56052	25.68157
997	7588	"         "	" "	"       "	70.6	0.09	10.08	0.1	0.28	"SSFRLIKE"	0.21	0.2	"FUV+WISE4"	0.26	" "	30.06234	24.2528
999	7594	"         "	" "	"       "	71.8	0.09	10.55	0.16	0.34	"SSFRLIKE"	0.43	0.2	"FUV+WISE4"	0.18	" "	30.07939	24.47363
979	7521	"         "	" "	"       "	57.0	0.11	9.68	0.22	0.34	"W4W1    "	-0.68	0.2	"WISE4    "		" "	29.81535	24.41657
962	7445	"         "	" "	"       "	71.8	0.09	10.5	0.1	0.2	"SSFRLIKE"	1.0	0.2	"FUV+WISE4"	0.78	" "	29.62512	25.36004
1069	7962	"         "	" "	"       "	70.6	0.09	9.77	0.12	0.28	"SSFRLIKE"	-0.1	0.2	"FUV+WISE4"	0.16	" "	31.33467	25.10552
1102	8198	"         "	" "	"       "	71.2	0.09	9.81	0.1	0.4	"SSFRLIKE"	-0.52	0.2	"NUV+WISE4"	-0.28	" "	32.23703	26.03574
1050	7857	"         "	" "	"       "	70.6	0.09	10.87	0.1	0.5	"SSFRLIKE"	-0.68	0.2	"FUV+WISE4"		" "	30.96444	25.92525
