SubhaloID,dataset,selected_by
303710,dev_clean_3000,quality_cut_bins8_dm10_OR_base
304201,dev_clean_3000,quality_cut_bins8_dm10_OR_base
304726,dev_clean_3000,quality_cut_bins8_dm10_OR_base
305083,dev_clean_3000,quality_cut_bins8_dm10_OR_base
305653,dev_clean_3000,quality_cut_bins8_dm10_OR_base
306058,dev_clean_3000,quality_cut_bins8_dm10_OR_base
306516,dev_clean_3000,quality_cut_bins8_dm10_OR_base
306945,dev_clean_3000,quality_cut_bins8_dm10_OR_base
307438,dev_clean_3000,quality_cut_bins8_dm10_OR_base
308060,dev_clean_3000,quality_cut_bins8_dm10_OR_base
309045,dev_clean_3000,quality_cut_bins8_dm10_OR_base
309428,dev_clean_3000,quality_cut_bins8_dm10_OR_base
310509,dev_clean_3000,quality_cut_bins8_dm10_OR_base
310985,dev_clean_3000,quality_cut_bins8_dm10_OR_base
311882,dev_clean_3000,quality_cut_bins8_dm10_OR_base
312891,dev_clean_3000,quality_cut_bins8_dm10_OR_base
313402,dev_clean_3000,quality_cut_bins8_dm10_OR_base
313954,dev_clean_3000,quality_cut_bins8_dm10_OR_base
314365,dev_clean_3000,quality_cut_bins8_dm10_OR_base
314770,dev_clean_3000,quality_cut_bins8_dm10_OR_base
315140,dev_clean_3000,quality_cut_bins8_dm10_OR_base
316029,dev_clean_3000,quality_cut_bins8_dm10_OR_base
316354,dev_clean_3000,quality_cut_bins8_dm10_OR_base
317711,dev_clean_3000,quality_cut_bins8_dm10_OR_base
318210,dev_clean_3000,quality_cut_bins8_dm10_OR_base
318633,dev_clean_3000,quality_cut_bins8_dm10_OR_base
319144,dev_clean_3000,quality_cut_bins8_dm10_OR_base
319643,dev_clean_3000,quality_cut_bins8_dm10_OR_base
320012,dev_clean_3000,quality_cut_bins8_dm10_OR_base
320433,dev_clean_3000,quality_cut_bins8_dm10_OR_base
321204,dev_clean_3000,quality_cut_bins8_dm10_OR_base
321674,dev_clean_3000,quality_cut_bins8_dm10_OR_base
322160,dev_clean_3000,quality_cut_bins8_dm10_OR_base
322581,dev_clean_3000,quality_cut_bins8_dm10_OR_base
322979,dev_clean_3000,quality_cut_bins8_dm10_OR_base
323455,dev_clean_3000,quality_cut_bins8_dm10_OR_base
323851,dev_clean_3000,quality_cut_bins8_dm10_OR_base
324127,dev_clean_3000,quality_cut_bins8_dm10_OR_base
324997,dev_clean_3000,quality_cut_bins8_dm10_OR_base
325808,dev_clean_3000,quality_cut_bins8_dm10_OR_base
326217,dev_clean_3000,quality_cut_bins8_dm10_OR_base
326652,dev_clean_3000,quality_cut_bins8_dm10_OR_base
327112,dev_clean_3000,quality_cut_bins8_dm10_OR_base
327405,dev_clean_3000,quality_cut_bins8_dm10_OR_base
327822,dev_clean_3000,quality_cut_bins8_dm10_OR_base
328251,dev_clean_3000,quality_cut_bins8_dm10_OR_base
328677,dev_clean_3000,quality_cut_bins8_dm10_OR_base
329105,dev_clean_3000,quality_cut_bins8_dm10_OR_base
329515,dev_clean_3000,quality_cut_bins8_dm10_OR_base
329849,dev_clean_3000,quality_cut_bins8_dm10_OR_base
330208,dev_clean_3000,quality_cut_bins8_dm10_OR_base
330553,dev_clean_3000,quality_cut_bins8_dm10_OR_base
330955,dev_clean_3000,quality_cut_bins8_dm10_OR_base
331293,dev_clean_3000,quality_cut_bins8_dm10_OR_base
331701,dev_clean_3000,quality_cut_bins8_dm10_OR_base
332068,dev_clean_3000,quality_cut_bins8_dm10_OR_base
332389,dev_clean_3000,quality_cut_bins8_dm10_OR_base
333258,dev_clean_3000,quality_cut_bins8_dm10_OR_base
333672,dev_clean_3000,quality_cut_bins8_dm10_OR_base
334028,dev_clean_3000,quality_cut_bins8_dm10_OR_base
334350,dev_clean_3000,quality_cut_bins8_dm10_OR_base
334727,dev_clean_3000,quality_cut_bins8_dm10_OR_base
335078,dev_clean_3000,quality_cut_bins8_dm10_OR_base
335927,dev_clean_3000,quality_cut_bins8_dm10_OR_base
336276,dev_clean_3000,quality_cut_bins8_dm10_OR_base
336516,dev_clean_3000,quality_cut_bins8_dm10_OR_base
336796,dev_clean_3000,quality_cut_bins8_dm10_OR_base
337048,dev_clean_3000,quality_cut_bins8_dm10_OR_base
337444,dev_clean_3000,quality_cut_bins8_dm10_OR_base
337843,dev_clean_3000,quality_cut_bins8_dm10_OR_base
338148,dev_clean_3000,quality_cut_bins8_dm10_OR_base
338458,dev_clean_3000,quality_cut_bins8_dm10_OR_base
338817,dev_clean_3000,quality_cut_bins8_dm10_OR_base
339181,dev_clean_3000,quality_cut_bins8_dm10_OR_base
339547,dev_clean_3000,quality_cut_bins8_dm10_OR_base
339862,dev_clean_3000,quality_cut_bins8_dm10_OR_base
340106,dev_clean_3000,quality_cut_bins8_dm10_OR_base
340355,dev_clean_3000,quality_cut_bins8_dm10_OR_base
340585,dev_clean_3000,quality_cut_bins8_dm10_OR_base
340976,dev_clean_3000,quality_cut_bins8_dm10_OR_base
341356,dev_clean_3000,quality_cut_bins8_dm10_OR_base
341683,dev_clean_3000,quality_cut_bins8_dm10_OR_base
342047,dev_clean_3000,quality_cut_bins8_dm10_OR_base
342343,dev_clean_3000,quality_cut_bins8_dm10_OR_base
342689,dev_clean_3000,quality_cut_bins8_dm10_OR_base
343039,dev_clean_3000,quality_cut_bins8_dm10_OR_base
343429,dev_clean_3000,quality_cut_bins8_dm10_OR_base
343638,dev_clean_3000,quality_cut_bins8_dm10_OR_base
343988,dev_clean_3000,quality_cut_bins8_dm10_OR_base
344300,dev_clean_3000,quality_cut_bins8_dm10_OR_base
344593,dev_clean_3000,quality_cut_bins8_dm10_OR_base
344987,dev_clean_3000,quality_cut_bins8_dm10_OR_base
345250,dev_clean_3000,quality_cut_bins8_dm10_OR_base
