recno	HRS	r	s_r	rang	s_rang	v	s_v	Nbins	side
1360	148	0.65	0.03	7.9	0.4	37	7	3	a
1361	148	0.7	0.02	8.5	0.2	31	4	4	a
1362	148	0.71	0.02	8.7	0.3	14	3	7	r
1363	148	0.8	0.02	9.7	0.2	26	3	3	a
1364	148	0.8	0.02	9.8	0.3	34	3	4	r
1365	148	0.89	0.02	10.8	0.3	41	4	7	a
1366	148	0.9	0.02	11.0	0.2	32	1	5	r
1367	148	0.98	0.02	11.8	0.3	34	3	4	a
1368	148	0.99	0.02	12.1	0.2	29	1	6	r
1369	148	1.06	0.02	12.8	0.2	38	4	8	r
1370	148	1.07	0.03	12.9	0.3	34	3	4	a
1371	148	1.15	0.02	14.0	0.2	45	2	6	r
1372	148	1.15	0.02	14.0	0.2	38	2	6	a
1373	148	1.23	0.02	15.0	0.3	34	2	6	a
1374	148	1.26	0.01	15.3	0.1	52	3	7	r
1375	148	1.32	0.02	16.0	0.2	47	4	8	a
1376	148	1.33	0.02	16.2	0.3	49	2	7	r
1377	148	1.4	0.02	17.0	0.3	58	3	5	r
1378	148	1.4	0.02	17.0	0.3	51	3	3	a
1379	148	1.47	0.02	17.9	0.2	57	2	6	r
1380	148	1.5	0.02	18.1	0.2	50	4	6	a
1381	148	1.57	0.02	19.0	0.2	45	4	6	a
1382	148	1.57	0.03	19.0	0.3	62	4	11	r
1383	148	1.65	0.02	20.1	0.2	64	2	6	r
1384	148	1.66	0.02	20.1	0.3	53	4	6	a
1385	148	1.72	0.01	20.9	0.1	74	10	3	a
1386	148	1.74	0.02	21.1	0.3	68	1	8	r
1387	148	1.88	0.08	22.8	0.9	71	1	22	r
1388	148	1.95	0.12	23.7	1.5	63	2	22	a
1389	148	2.11	0.08	25.6	0.9	80	2	22	r
1390	148	2.37	0.07	28.8	0.9	82	2	22	r
1391	148	2.47	0.15	30.0	1.9	72	2	22	a
1392	148	2.63	0.07	31.9	0.9	87	2	22	r
1393	148	2.9	0.08	35.2	0.9	87	2	22	r
1394	148	3.02	0.18	36.7	2.2	84	2	22	a
1395	148	3.22	0.1	39.1	1.2	88	2	22	r
1396	148	3.52	0.06	42.7	0.8	90	2	22	r
1397	148	3.63	0.17	44.0	2.1	94	2	22	a
1398	148	3.75	0.08	45.5	1.0	97	2	22	r
1399	148	3.97	0.04	48.1	0.5	91	2	22	r
1400	148	4.13	0.05	50.2	0.6	96	1	22	r
1401	148	4.31	0.05	52.3	0.6	95	2	22	r
1402	148	4.35	0.22	52.8	2.7	97	3	22	a
1403	148	4.45	0.04	53.9	0.4	100	1	22	r
1404	148	4.58	0.04	55.6	0.5	96	2	22	r
1405	148	4.72	0.03	57.3	0.4	97	2	22	r
1406	148	4.82	0.03	58.4	0.3	100	2	22	r
1407	148	4.92	0.04	59.6	0.5	98	1	22	r
1408	148	5.04	0.03	61.1	0.4	99	1	22	r
1409	148	5.1	0.36	61.9	4.3	115	4	12	a
1410	148	5.12	0.02	62.1	0.3	104	2	22	r
1411	148	5.2	0.03	63.1	0.4	96	2	22	r
1412	148	5.3	0.03	64.3	0.4	101	1	22	r
1413	148	5.4	0.02	65.5	0.3	100	2	22	r
1414	148	5.49	0.03	66.6	0.3	99	2	22	r
1415	148	5.58	0.03	67.7	0.4	103	2	22	r
1416	148	5.7	0.04	69.2	0.5	108	3	22	r
1417	148	5.82	0.03	70.6	0.3	107	2	22	r
1418	148	5.94	0.04	72.1	0.5	111	2	22	r
1419	148	6.1	0.05	74.0	0.6	117	2	22	r
1420	148	6.27	0.05	76.0	0.6	117	2	22	r
1421	148	6.44	0.03	78.1	0.4	118	2	22	r
1422	148	6.57	0.04	79.7	0.5	123	2	22	r
1423	148	6.76	0.05	82.0	0.6	122	1	22	r
1424	148	6.89	0.04	83.6	0.4	126	2	22	r
1425	148	7.05	0.05	85.5	0.6	128	2	22	r
1426	148	7.21	0.05	87.5	0.6	128	2	22	r
1427	148	7.42	0.07	90.0	0.8	130	2	22	r
1428	148	7.84	0.16	95.2	2.0	138	3	22	r
1429	148	8.42	0.2	102.1	2.4	139	7	9	r
1430	149	0.22	0.0	2.6	0.0	6	8	1	a
1431	149	0.34	0.0	4.1	0.0	10	8	1	a
1432	149	0.56	0.01	6.8	0.1	38	2	3	r
1433	149	0.61	0.0	7.4	0.0	35	8	1	r
1434	149	0.66	0.0	8.0	0.0	33	8	1	a
1435	149	0.73	0.03	8.9	0.3	47	3	4	r
1436	149	0.84	0.0	10.1	0.0	53	8	1	a
1437	149	0.89	0.02	10.8	0.3	48	2	2	r
1438	149	0.9	0.0	11.0	0.0	62	8	1	a
1439	149	0.97	0.03	11.8	0.3	55	2	3	r
1440	149	1.06	0.0	12.9	0.0	61	8	1	a
1441	149	1.09	0.02	13.2	0.2	65	2	4	r
1442	149	1.12	0.0	13.6	0.0	46	1	2	r
1443	149	1.22	0.01	14.9	0.2	55	8	4	a
1444	149	1.23	0.01	14.9	0.1	39	3	3	r
1445	149	1.33	0.01	16.1	0.1	55	6	3	r
1446	149	1.35	0.0	16.4	0.0	63	8	1	a
1447	149	1.4	0.0	17.0	0.0	37	8	1	a
1448	149	1.4	0.0	17.0	0.0	53	8	1	r
1449	149	1.46	0.01	17.7	0.1	54	5	5	r
1450	149	1.52	0.0	18.5	0.0	57	8	1	a
1451	149	1.56	0.01	19.0	0.1	40	6	2	r
1452	149	1.6	0.0	19.4	0.0	62	8	1	a
1453	149	1.64	0.02	19.9	0.2	51	1	5	r
1454	149	1.65	0.03	20.0	0.4	77	5	2	a
1455	149	1.73	0.02	20.9	0.3	61	8	3	a
1456	149	1.75	0.01	21.2	0.1	58	1	5	r
1457	149	1.82	0.02	22.1	0.2	64	2	8	r
1458	149	1.85	0.01	22.4	0.1	78	2	3	a
1459	149	1.89	0.01	22.9	0.1	72	2	3	a
1460	149	1.92	0.03	23.3	0.3	63	3	7	r
1461	149	2.0	0.02	24.3	0.3	62	1	8	r
1462	149	2.02	0.0	24.5	0.0	72	8	1	a
1463	149	2.07	0.02	25.1	0.2	78	3	2	a
1464	149	2.11	0.01	25.6	0.1	69	2	4	r
1465	149	2.25	0.1	27.3	1.2	72	1	25	r
1466	149	2.4	0.18	29.1	2.2	86	1	25	a
1467	149	2.53	0.07	30.7	0.8	79	1	25	r
1468	149	2.78	0.08	33.7	1.0	87	1	25	r
1469	149	3.05	0.07	37.0	0.9	90	2	25	r
1470	149	3.11	0.19	37.8	2.4	95	2	25	a
1471	149	3.3	0.07	40.0	0.9	98	1	25	r
1472	149	3.51	0.06	42.6	0.8	106	1	25	r
1473	149	3.57	0.1	43.4	1.2	107	1	25	a
1474	149	3.71	0.07	45.0	0.8	113	1	25	r
1475	149	3.92	0.07	47.6	0.8	120	2	25	r
1476	149	4.04	0.19	49.0	2.3	116	1	25	a
1477	149	4.12	0.05	50.0	0.7	123	2	25	r
1478	149	4.41	0.15	53.5	1.8	127	2	25	r
1479	149	4.75	0.24	57.6	2.9	128	2	21	a
1480	149	5.11	0.23	62.0	2.8	148	2	16	r
1481	151	0.06	0.0	0.7	0.0	-11	23	1	r
1482	151	0.08	0.0	0.9	0.0	18	8	2	a
1483	151	0.13	0.02	1.6	0.3	-13	4	5	r
1484	151	0.13	0.01	1.6	0.1	23	5	3	a
1485	151	0.22	0.03	2.7	0.4	32	2	10	a
1486	151	0.22	0.03	2.7	0.3	-6	2	10	r
1487	151	0.3	0.02	3.7	0.2	32	7	8	a
1488	151	0.3	0.02	3.7	0.3	-10	5	8	r
