dm_threshold,min_pts,rmin_kpc,tng_gal,sparc_gal,massmatch_pairs,massmatch_mean_abs_dlogM,un_n_tng,un_n_sparc,un_mw_p,un_cliffs_delta,un_median_tng,un_median_sparc,un_median_diff,un_median_ratio,mm_n_tng,mm_n_sparc,mm_mw_p,mm_cliffs_delta,mm_median_tng,mm_median_sparc,mm_median_diff,mm_median_ratio,mm_score
-10.6,15,0.5,2953,32,18,0.024645940040558163,2953,32,0.0033479199837092885,0.3011132746359635,0.07900172839225801,0.04844364112120464,0.030558087271053372,1.6307966652340993,18,18,0.004192622832979164,0.5617283950617284,0.09042184711316273,0.04218844421225489,0.048233402900907836,2.143284702755097,1.3355172385173724
-10.6,15,1.0,2952,30,17,0.015106731707467973,2952,30,0.00021357546636160195,0.3923215898825656,0.0789577008300205,0.04405241548143205,0.03490528534858845,1.7923580345622798,17,17,0.004252291661538166,0.5778546712802768,0.0870181933231343,0.03951014296896873,0.047508050354165575,2.202426688040041,1.3703112509229485
-10.6,15,2.0,1323,25,16,0.011129993371874924,1323,25,2.264835452843528e-07,0.6035676492819351,0.08475885050972932,0.039461345843141794,0.04529750466658753,2.1478955848754975,16,16,0.00023815748524988163,0.765625,0.10591878685956513,0.03205811396328827,0.07386067289627686,3.3039618918586195,2.773963319415888
-10.6,20,0.0,0,20,0,,0,20,,,,0.04607327058423011,,,0,0,,,,,,,
-10.6,20,0.5,0,19,0,,0,19,,,,0.04527394237920329,,,0,0,,,,,,,
-10.6,20,1.0,0,19,0,,0,19,,,,0.04283088858366081,,,0,0,,,,,,,
-10.6,20,2.0,0,15,0,,0,15,,,,0.039461345843141794,,,0,0,,,,,,,
-10.7,10,0.0,6540,53,32,0.02055338820713648,6540,53,0.635663996919781,0.03773007904910286,0.06052724041446694,0.061249572285467936,-0.0007223318710009932,0.9882067442424839,32,32,0.047646789788173376,0.2890625,0.06712402698340812,0.03866048674186535,0.028463540241542774,1.736243711352958,0.3821308994101091
-10.7,10,0.5,6540,50,32,0.02055338820713648,6540,50,0.12001888299534054,0.12743730886850146,0.06052724041446694,0.04775051233529616,0.012776728079170782,1.2675725862259806,32,32,0.03444898044052917,0.30859375,0.06712402698340812,0.03866048674186535,0.028463540241542774,1.736243711352958,0.45141822865672243
-10.7,10,1.0,6539,48,31,0.02121263988325606,6539,48,0.0332459939984519,0.178091706173217,0.060516845835383026,0.04456390070068449,0.015952945134698533,1.3579791015568234,31,31,0.027081848486097397,0.3277835587929241,0.07054930884392915,0.037829998311551406,0.03271931053237775,1.864903832744473,0.513742283279176
-10.7,10,2.0,6538,41,29,0.02037098481332639,6538,41,0.04072941569841748,0.18510173171477806,0.0605451331985263,0.039461345843141794,0.021083787355384506,1.5342896169631979,29,29,0.03443195795121077,0.32461355529131986,0.07054930884392915,0.03733699025847632,0.03321231858545284,1.889528544093425,0.47492205783048924
-10.7,15,0.0,1898,33,17,0.025623385673948233,1898,33,0.001309995596825185,0.3258932847973943,0.08603147721588496,0.04752544796165174,0.038506029254233215,1.8102191753206347,17,17,0.0005724273914139215,0.6955017301038062,0.12926242270124155,0.046160395325761897,0.08310202737547966,2.8002884678307947,2.2550110663039686
-10.7,15,0.5,1898,31,16,0.02721780365219917,1898,31,0.00012273711679815534,0.4016112036439037,0.08603147721588496,0.046160395325761897,0.03987108189012306,1.8637508758048094,16,16,0.0004898889212725093,0.7265625,0.12965046262095076,0.04134837188354623,0.08830209073740453,3.13556391013651,2.404850949352413
-10.7,15,1.0,1898,29,15,0.016578158448806352,1898,29,4.781971797371829e-06,0.49427709748919013,0.08603147721588496,0.041579014817487575,0.04445246239839738,2.0691081208518987,15,15,0.0006709034051003713,0.7333333333333334,0.13003850254065996,0.037829998311551406,0.09220850422910856,3.4374440482317614,2.327116002861553
-10.7,15,2.0,985,25,14,0.01212763811202855,985,25,1.6982283257009404e-08,0.6598578680203047,0.09111293243236306,0.037041079171840297,0.05407185326052276,2.4597807210117613,14,14,0.00010335443679223986,0.8673469387755102,0.12548856949958137,0.030396506372647337,0.09509206312693404,4.128387912780127,3.4569594326343207
-10.7,20,0.0,0,20,0,,0,20,,,,0.042825685248970596,,,0,0,,,,,,,
-10.7,20,0.5,0,19,0,,0,19,,,,0.044866745455541056,,,0,0,,,,,,,
-10.7,20,1.0,0,19,0,,0,19,,,,0.041579014817487575,,,0,0,,,,,,,
-10.7,20,2.0,0,15,0,,0,15,,,,0.037829998311551406,,,0,0,,,,,,,
-10.8,10,0.0,4806,48,28,0.02287780456361301,4806,48,0.32597135719649484,0.08227562768761265,0.06793880709588396,0.065564835523587,0.0023739715722969623,1.0362080001168146,28,28,0.029911822356709458,0.3392857142857142,0.07188184288690996,0.04121933873804284,0.03066250414886712,1.743886367118441,0.5171247395440576
-10.8,10,0.5,4806,46,28,0.02287780456361301,4806,46,0.05693506538180041,0.16285802167580377,0.06793880709588396,0.050407297062684424,0.017531510033199534,1.3477970661945646,28,28,0.025299191900142032,0.3494897959183674,0.07188184288690996,0.04121933873804284,0.03066250414886712,1.743886367118441,0.5580979312458387
