dm_threshold,min_pts,rmin_kpc,tng_gal,sparc_gal,massmatch_pairs,massmatch_mean_abs_dlogM,un_n_tng,un_n_sparc,un_mw_p,un_cliffs_delta,un_median_tng,un_median_sparc,un_median_diff,un_median_ratio,mm_n_tng,mm_n_sparc,mm_mw_p,mm_cliffs_delta,mm_median_tng,mm_median_sparc,mm_median_diff,mm_median_ratio,mm_score,caliper
-10.7,10,0.0,6540,53,30,0.0099936486477152,6540,53,0.635663996919781,0.0377300790491028,0.0605272404144669,0.0612495722854679,-0.0007223318710009,0.988206744242484,30,30,0.0391670680388258,0.3111111111111111,0.0671240269834081,0.0375834942850138,0.0295405326983942,1.7859975039674083,0.4377578916890051,0.1
-10.6,10,2.0,8310,50,38,0.0211372676968013,8310,50,0.0177946231086265,0.1940938628158843,0.0555908821286975,0.038969606865643,0.0166212752630545,1.4265189361637742,38,38,0.0311104169870441,0.2880886426592797,0.0554111451655816,0.0340395172803684,0.0213716278852131,1.6278475605040017,0.4341767131629929,0.2
-10.6,10,0.0,8313,63,39,0.0072856489950638,8313,63,0.391023104306014,0.0626347335116732,0.0553699664844006,0.0468725987892569,0.0084973676951437,1.1812864640458414,39,39,0.0308835096301644,0.284681130834977,0.0564563366490495,0.0351448661684553,0.0213114704805942,1.606389291068708,0.4299463256920389,0.1
-10.6,10,0.0,8313,63,42,0.0207270644330764,8313,63,0.391023104306014,0.0626347335116732,0.0553699664844006,0.0468725987892569,0.0084973676951437,1.1812864640458414,42,42,0.0328726198042535,0.2709750566893423,0.0554111451655816,0.0357177387330339,0.0196934064325476,1.551362071931333,0.4019009050754151,0.2
-10.5,10,1.0,10060,63,42,0.002492463458616,10060,63,0.0703437170305252,0.1320552873236768,0.0503359077406424,0.0432317690296198,0.0071041387110225,1.1643268103638147,42,42,0.0351351418142756,0.2675736961451247,0.0514585985337048,0.0339803827007362,0.0174782158329686,1.514361947800838,0.3891212655913008,0.05
-10.7,10,0.0,6540,53,32,0.0205533882071364,6540,53,0.635663996919781,0.0377300790491028,0.0605272404144669,0.0612495722854679,-0.0007223318710009,0.988206744242484,32,32,0.0476467897881733,0.2890625,0.0671240269834081,0.0386604867418653,0.0284635402415427,1.736243711352958,0.3821308994101091,0.2
-10.4,15,0.0,5877,42,30,0.0526685605410116,5877,42,0.3591713195438433,0.0819903254819027,0.0622151599985267,0.0536245982611322,0.0085905617373944,1.160198155621821,30,30,0.051877131053959,0.2933333333333332,0.0711636216628037,0.0482681037156338,0.0228955179471699,1.4743405310069004,0.3769403878787186,0.3
-10.5,10,2.0,10028,55,42,0.0064773928938032,10028,55,0.0345740447800097,0.1649816876382492,0.0508013936506978,0.0384778678881442,0.0123235257625535,1.3202756919478555,42,42,0.0409362612747378,0.2596371882086168,0.05070171744849,0.0334987928009656,0.0172029246475243,1.513538644503884,0.360348330760719,0.1
-10.4,10,2.0,11522,59,45,0.0019845360135488,11522,59,0.0932720317329321,0.1264846321995651,0.0473805689351703,0.0370410791718402,0.01033948976333,1.279135759391978,45,45,0.0444994556417364,0.2464197530864198,0.0489038749735095,0.0315136731798897,0.0173902017936197,1.551830365643228,0.3330721014994337,0.05
-10.5,10,0.5,10060,66,43,0.0024372105002163,10060,66,0.1659252284500502,0.0987860714500874,0.0503359077406424,0.0455666115049044,0.0047692962357379,1.1046664669200752,43,43,0.0530288008339525,0.2428339643050296,0.0512402485965643,0.0340634172096497,0.0171768313869145,1.5042603706256623,0.3097318544962075,0.05
-10.5,10,2.0,10028,55,45,0.0232621765932073,10028,55,0.0345740447800097,0.1649816876382492,0.0508013936506978,0.0384778678881442,0.0123235257625535,1.3202756919478555,45,45,0.0517993184165591,0.2385185185185185,0.0512402485965643,0.0340634172096497,0.0171768313869145,1.5042603706256623,0.3066575240173473,0.3
-10.5,10,0.5,10060,66,50,0.0270481279789934,10060,66,0.1659252284500502,0.0987860714500874,0.0503359077406424,0.0455666115049044,0.0047692962357379,1.1046664669200752,50,50,0.0566318891596318,0.2216,0.0514585985337048,0.0410995567370422,0.0103590417966626,1.252047530900162,0.2763216714713235,0.3
-10.5,10,1.0,10060,63,48,0.0232052933329562,10060,63,0.0703437170305252,0.1320552873236768,0.0503359077406424,0.0432317690296198,0.0071041387110225,1.1643268103638147,48,48,0.0642809085307151,0.2196180555555555,0.0514585985337048,0.0404090405993226,0.0110495579343822,1.273442719017868,0.2617667121477103,0.3
-10.5,10,0.0,10060,69,43,0.0024372105002163,10060,69,0.7264281410294986,0.0244042988446133,0.0503359077406424,0.0479755767089405,0.0023603310317018,1.0491985963195731,43,43,0.0810418963830218,0.2190373174689022,0.0512402485965643,0.0392390663811577,0.0120011822154065,1.3058478022598767,0.2390333228959679,0.05
-10.5,10,2.0,10028,55,43,0.0106704610997476,10028,55,0.0345740447800097,0.1649816876382492,0.0508013936506978,0.0384778678881442,0.0123235257625535,1.3202756919478555,43,43,0.0825575600219219,0.2179556517036236,0.0501631863004158,0.0340634172096497,0.016099769090766,1.4726410445457367,0.2360989669394559,0.2
-10.5,10,1.0,10060,63,45,0.0075299601713347,10060,63,0.0703437170305252,0.1320552873236768,0.0503359077406424,0.0432317690296198,0.0071041387110225,1.1643268103638147,45,45,0.0827433569559256,0.2128395061728394,0.0501631863004158,0.0340634172096497,0.016099769090766,1.4726410445457367,0.2303491447643235,0.1
-10.5,10,0.0,10060,69,50,0.0270481279789934,10060,69,0.7264281410294986,0.0244042988446133,0.0503359077406424,0.0479755767089405,0.0023603310317018,1.0491985963195731,50,50,0.0829543391271596,0.2016,0.0514585985337048,0.0428038936101499,0.0086547049235548,1.20219433779507,0.2179620358721894,0.3
-10.5,10,1.0,10060,63,46,0.0114274062915903,10060,63,0.0703437170305252,0.1320552873236768,0.0503359077406424,0.0432317690296198,0.0071041387110225,1.1643268103638147,46,46,0.0939313544627581,0.2032136105860114,0.05070171744849,0.0366512417954037,0.0140504756530863,1.3833560601171309,0.2087388698222653,0.2
-10.4,10,2.0,11522,59,46,0.0036611648041605,11522,59,0.0932720317329321,0.1264846321995651,0.0473805689351703,0.0370410791718402,0.01033948976333,1.279135759391978,46,46,0.1085522836958757,0.1947069943289225,0.0440567075325772,0.0322239207860857,0.0118327867464915,1.3672050594042229,0.1877678386768378,0.1
-10.5,10,0.5,10060,66,46,0.0073687998686411,10060,66,0.1659252284500502,0.0987860714500874,0.0503359077406424,0.0455666115049044,0.0047692962357379,1.1046664669200752,46,46,0.1138077340535339,0.1918714555765595,0.049597830172074,0.0366512417954037,0.0129465883766702,1.3532373732093796,0.1810936950584294,0.1
-10.5,10,0.5,10060,66,47,0.0111867505459699,10060,66,0.1659252284500502,0.0987860714500874,0.0503359077406424,0.0455666115049044,0.0047692962357379,1.1046664669200752,47,47,0.1192921630993612,0.186962426437302,0.0501631863004158,0.0392390663811577,0.010924119919258,1.278399078437394,0.1726388771721051,0.2
-10.4,10,2.0,11522,59,49,0.0192481842070607,11522,59,0.0932720317329321,0.1264846321995651,0.0473805689351703,0.0370410791718402,0.01033948976333,1.279135759391978,49,49,0.1301755908127924,0.1778425655976676,0.0489038749735095,0.0329341683922816,0.0159697065812279,1.4848978237741244,0.1574743352668422,0.3
-10.4,10,1.0,11613,68,48,0.0018633149799008,11613,68,0.2454796675626783,0.0815566733022323,0.0469082586092853,0.0431086433748838,0.0037996152344014,1.088140450196009,48,48,0.1457981729748631,0.1727430555555555,0.043734059965737,0.0335547542739829,0.010179305691754,1.303364036244684,0.1444560205939464,0.05
-10.5,10,0.0,10060,69,46,0.0073687998686411,10060,69,0.7264281410294986,0.0244042988446133,0.0503359077406424,0.0479755767089405,0.0023603310317018,1.0491985963195731,46,46,0.1633498211080135,0.1691871455576559,0.049597830172074,0.0409434032542655,0.0086544269178085,1.211375367701191,0.1331302072665237,0.1
-10.5,10,0.0,10060,69,47,0.0111867505459699,10060,69,0.7264281410294986,0.0244042988446133,0.0503359077406424,0.0479755767089405,0.0023603310317018,1.0491985963195731,47,47,0.1687393251197844,0.1652331371661386,0.0501631863004158,0.0426477401273732,0.0075154461730426,1.176221439883959,0.1276894738138421,0.2
-10.4,10,2.0,11522,59,47,0.007557295888102,11522,59,0.0932720317329321,0.1264846321995651,0.0473805689351703,0.0370410791718402,0.01033948976333,1.279135759391978,47,47,0.188251016727576,0.1579900407424173,0.039209540091645,0.0329341683922816,0.0062753716993633,1.1905428922515031,0.1145842787085874,0.2
-10.4,10,1.0,11613,68,53,0.0190631499928484,11613,68,0.2454796675626783,0.0815566733022323,0.0469082586092853,0.0431086433748838,0.0037996152344014,1.088140450196009,53,53,0.2202686590754582,0.1384834460662156,0.048258579839829,0.0379559520933369,0.0103026277464921,1.2714364198046486,0.0909901732302676,0.3
-10.4,10,1.0,11613,68,50,0.0047068215469827,11613,68,0.2454796675626783,0.0815566733022323,0.0469082586092853,0.0431086433748838,0.0037996152344014,1.088140450196009,50,50,0.2745385184010334,0.1271999999999999,0.0383782484028884,0.0335547542739829,0.0048234941289054,1.143749946416548,0.0714096620716609,0.1
-10.4,10,1.0,11613,68,51,0.0082775207657299,11613,68,0.2454796675626783,0.0815566733022323,0.0469082586092853,0.0431086433748838,0.0037996152344014,1.088140450196009,51,51,0.2903072843484345,0.1218762014609764,0.039209540091645,0.0355988413902917,0.0036106987013532,1.1014274218019324,0.0654648347437052,0.2
-10.4,10,0.5,11613,71,55,0.0227072594288861,11613,71,0.7774701181413685,0.0194257770856605,0.0469463173657474,0.0479755767089405,-0.0010292593431931,0.978546180915397,55,55,0.3959388370593242,0.0942148760330578,0.048258579839829,0.042967406075607,0.0052911737642219,1.1231438955125996,0.0379094183809263,0.3
-10.4,10,0.5,11613,71,49,0.0018276674547483,11613,71,0.7774701181413685,0.0194257770856605,0.0469463173657474,0.0479755767089405,-0.0010292593431931,0.978546180915397,49,49,0.4344654719925546,0.0920449812578092,0.039209540091645,0.0426477401273732,-0.0034382000357282,0.9193814250072904,0.0333244005955785,0.05
-10.4,10,0.0,11613,75,56,0.0223033704886568,11613,75,0.433480178039169,-0.0523884152817245,0.0469463173657474,0.0513371309710469,-0.0043908136052994,0.9144709974584324,56,56,0.5508625420758623,0.065688775510204,0.0444729277990247,0.0433085165145495,0.0011644112844752,1.0268864273862637,0.0170105523479026,0.3
-10.4,10,0.0,11613,75,50,0.0017929036811742,11613,75,0.433480178039169,-0.0523884152817245,0.0469463173657474,0.0513371309710469,-0.0043908136052994,0.9144709974584324,50,50,0.5789271506797158,0.0647999999999999,0.0399484079249327,0.0412444735276591,-0.0012960656027264,0.9685760177819386,0.0153819701328641,0.05
-10.4,10,0.5,11613,71,52,0.008120579717301,11613,71,0.7774701181413685,0.0194257770856605,0.0469463173657474,0.0479755767089405,-0.0010292593431931,0.978546180915397,52,52,0.6235399089870111,0.0562130177514792,0.0383782484028884,0.0428075731014901,-0.0044293246986016,0.8965294134264414,0.0115312992613503,0.2
-10.4,10,0.5,11613,71,51,0.0046168169332659,11613,71,0.7774701181413685,0.0194257770856605,0.0469463173657474,0.0479755767089405,-0.0010292593431931,0.978546180915397,51,51,0.6251478305428149,0.0565167243367934,0.0375469567141319,0.0426477401273732,-0.0051007834132412,0.8803973341141386,0.0115303879000982,0.1
-10.4,10,0.0,11613,75,53,0.0079690495108622,11613,75,0.433480178039169,-0.0523884152817245,0.0469463173657474,0.0513371309710469,-0.0043908136052994,0.9144709974584324,53,53,0.7955860196489501,0.0295478818084726,0.039209540091645,0.0432498806741605,-0.0040403405825155,0.906581462895701,0.0029344845628939,0.2
