dm_threshold,min_pts,rmin_kpc,tng_gal,sparc_gal,massmatch_pairs,massmatch_mean_abs_dlogM,un_n_tng,un_n_sparc,un_mw_p,un_cliffs_delta,un_median_tng,un_median_sparc,un_median_diff,un_median_ratio,mm_n_tng,mm_n_sparc,mm_mw_p,mm_cliffs_delta,mm_median_tng,mm_median_sparc,mm_median_diff,mm_median_ratio,mm_score,caliper
-10.7,10,1.0,6539,48,26,0.0024191223737425,6539,48,0.0332459939984519,0.178091706173217,0.060516845835383,0.0445639007006844,0.0159529451346985,1.3579791015568234,26,26,0.0106794569905419,0.4142011834319525,0.0712856708194763,0.0375834942850138,0.0337021765344625,1.8967281296114344,0.8165772664314864,0.05
-10.7,10,2.0,6538,41,25,0.0025157113022077,6538,41,0.0407294156984174,0.185101731714778,0.0605451331985263,0.0394613458431417,0.0210837873553845,1.534289616963198,25,25,0.0049018610382742,0.4656,0.0720220327950235,0.0329341683922816,0.0390878644027419,2.186848379991356,1.075367920552624,0.05
-10.7,15,0.0,1898,33,14,0.0048652033985616,1898,33,0.0013099955968251,0.3258932847973943,0.0860314772158849,0.0475254479616517,0.0385060292542332,1.8102191753206347,14,14,0.0003695221986422,0.7959183673469388,0.1315017843619418,0.0419951968186566,0.0895065875432851,3.131352971859897,2.7318779428989117,0.05
-10.7,15,0.5,1898,31,13,0.0052307807352253,1898,31,0.0001227371167981,0.4016112036439037,0.0860314772158849,0.0461603953257618,0.039871081890123,1.8637508758048096,13,13,0.0002715540868845,0.8461538461538463,0.1329650661832236,0.0378299983115514,0.0951350678716722,3.514804972714543,3.0175061710516533,0.05
-10.7,15,1.0,1898,29,13,0.0052307807352253,1898,29,4.781971797371829e-06,0.4942770974891901,0.0860314772158849,0.0415790148174875,0.0444524623983973,2.0691081208518987,13,13,0.0002715540868845,0.8461538461538463,0.1329650661832236,0.0378299983115514,0.0951350678716722,3.514804972714543,3.0175061710516533,0.05
-10.7,15,2.0,985,25,13,0.0052489022213251,985,25,1.6982283257009404e-08,0.6598578680203047,0.091112932432363,0.0370410791718402,0.0540718532605227,2.4597807210117613,13,13,0.0002222283700457,0.8579881656804733,0.1329650661832236,0.0329341683922816,0.100030897790942,4.037298425133001,3.1344027950817535,0.05
-10.7,20,0.0,0,20,0,,0,20,,,,0.0428256852489705,,,0,0,,,,,,,,0.05
-10.7,20,0.5,0,19,0,,0,19,,,,0.044866745455541,,,0,0,,,,,,,,0.05
-10.7,20,1.0,0,19,0,,0,19,,,,0.0415790148174875,,,0,0,,,,,,,,0.05
-10.7,20,2.0,0,15,0,,0,15,,,,0.0378299983115514,,,0,0,,,,,,,,0.05
