dm_threshold,rmin_kpc,min_pts_per_gal,tng_lowres0_only,style,tng_n_points,sparc_n_points,tng_n_gal,sparc_n_gal,n_tng,n_sparc,mw_p,u_stat,cliffs_delta,median_tng,median_sparc,median_diff,median_ratio,median_diff_ci95,score
-10.7,0.5,5,False,pooled_points,136347,1256,14310,100,136347,1256,1.2278746263258239e-115,117657117.0,0.37408301710897907,0.05636229567751627,-0.031567247283391886,0.08792954296090816,-1.7854675503229425,,42.986195960915175
-10.5,2.0,2,False,pooled_points,182347,1284,19745,119,182347,1284,3.595400605458343e-116,160434105.0,0.37044952652406726,0.06342699755917991,-0.017530954043406766,0.08095795160258668,-3.6180003325622905,,42.766268757373545
-10.6,0.5,10,False,pooled_points,106887,1037,8313,60,106887,1037,2.6727922060408378e-107,77389981.0,0.396404023286554,0.0662811284177458,-0.0215350667744314,0.0878161951921772,-3.0778232132737773,,42.24597977007894
-10.5,2.0,3,False,pooled_points,180731,1274,18937,114,180731,1274,2.1236855403978644e-113,157418422.0,0.3673618876600102,0.06334282574051286,-0.01645759685244297,0.07980042259295583,-3.8488502488205163,,41.39173282857672
-10.3,1.0,10,False,pooled_points,178709,1290,13042,72,178709,1290,5.849803765779204e-113,157269058.0,0.364385659923254,0.07271550348055555,-0.005073098602733417,0.07778860208328897,-14.33354822659587,,40.8960442833005
-10.7,0.0,8,False,pooled_points,107961,1169,9582,79,107961,1169,3.7722872483350905e-109,86882261.0,0.376828034145239,0.0602647086251995,-0.03009904059889479,0.09036374922409429,-2.0022136063503755,,40.856974885320675
-10.4,2.0,5,False,pooled_points,189738,1303,17785,101,189738,1303,3.9909679987440344e-113,168458016.0,0.36277118796613084,0.06625579634890677,-0.011477337424937062,0.07773313377384383,-5.7727497150124165,,40.77509037101297
-10.5,1.0,10,False,pooled_points,132271,1079,10060,63,132271,1079,2.4827158419526345e-105,98810391.0,0.38467079364942114,0.06923236686195189,-0.015538155424794198,0.08477052228674609,-4.4556361401481395,,40.238516444729036
-10.4,1.0,10,False,pooled_points,156259,1178,11613,68,156259,1178,6.038276291505856e-108,126335152.0,0.37266282392524674,0.07129089918482023,-0.009229645958549249,0.08052054514336948,-7.7241206764583215,,39.956567747180785
-10.6,0.5,8,False,pooled_points,132189,1190,11288,78,132189,1190,3.0416372859534738e-108,107877300.0,0.37156939347919904,0.06415292965461994,-0.02147323800137446,0.0856261676559944,-2.987575960854792,,39.94998656347069
-10.6,1.0,5,False,pooled_points,158721,1272,15715,101,158721,1272,3.8911900673272487e-110,137529761.0,0.36240171482422845,0.06174106566196613,-0.01945182745920082,0.08119289312116695,-3.1740496254896744,,39.65034174082702
-10.8,0.0,2,False,pooled_points,128213,1237,17314,113,128213,1237,6.613812989086006e-109,108299133.0,0.3656934098037812,0.04903332466899357,-0.038968235290537834,0.0880015599595314,-1.2582895864647923,,39.56054781179969
-10.5,1.0,8,False,pooled_points,155517,1195,12795,77,155517,1195,2.6422129168093933e-107,127200913.0,0.36890859084328875,0.067388433118591,-0.01425618410220153,0.08164461722079253,-4.726961481100995,,39.31755166957046
-10.7,1.0,2,False,pooled_points,148656,1246,18275,118,148656,1246,1.9147989194782764e-108,126263949.0,0.36335475977114506,0.055457200372693194,-0.027775890062747166,0.08323309043544036,-1.9965948974960845,,39.139803257264425
-10.7,1.0,3,False,pooled_points,146388,1238,17141,114,146388,1238,2.7139217116232455e-106,123311325.0,0.3608392846099173,0.05554931935005314,-0.02749685722914119,0.08304617657919433,-2.0202061234540625,,38.092505223542275
-10.8,0.0,3,False,pooled_points,125597,1225,16006,107,125597,1225,1.1509719988785304e-105,104767630.0,0.36188915210343153,0.04922680859886519,-0.038593998941234275,0.08782080754009947,-1.275504222141404,,37.976262297314165
-10.5,2.0,5,False,pooled_points,173238,1219,16812,99,173238,1219,2.0822790249565588e-104,143609632.0,0.3600870268513272,0.06336941079992808,-0.014583382836697467,0.07795279363662555,-4.34531627603343,,37.33434905829848
-10.3,2.0,8,False,pooled_points,185508,1232,15492,77,185508,1232,1.0524167321510838e-104,155254549.0,0.3586293071968891,0.06862146758899001,-0.004854804540860513,0.07347627212985053,-14.134753935289611,,37.28949077313691
-10.8,0.5,2,False,pooled_points,128213,1198,17314,113,128213,1198,2.087024566322114e-102,104453376.0,0.3600773139574305,0.04903332466899357,-0.03638146359371497,0.08541478826270854,-1.3477556927496523,,36.612831397697626
-10.8,0.0,5,False,pooled_points,114257,1168,12781,91,114257,1168,4.4818613862978814e-101,90907938.0,0.36240473141479534,0.05060776361769648,-0.03816238559142615,0.08877014920912263,-1.3261163534039235,,36.3667862589222
-10.3,0.5,15,False,pooled_points,114030,975,7602,42,114030,975,5.477318283617009e-94,76819235.0,0.3818987805728138,0.07393836830495104,-0.015538155424794198,0.08947652372974524,-4.7585035857581754,,35.616427163581115
-10.8,0.5,3,False,pooled_points,125597,1186,16006,107,125597,1186,3.408729702972551e-99,100999365.0,0.3560780424329155,0.04922680859886519,-0.034398954781740265,0.08362576338060546,-1.4310553594202775,,35.062081682905095
-10.3,0.0,15,False,pooled_points,114030,1055,7602,46,114030,1055,1.9408968808119465e-95,82415259.0,0.37014345189779196,0.07393836830495104,-0.013848875671312655,0.0877872439762637,-5.338943756864766,,35.057025704819445
-10.6,2.0,2,False,pooled_points,165416,1203,19107,117,165416,1203,2.229618807627654e-99,134670878.0,0.3535071214292298,0.05933414546106164,-0.019046691931707826,0.07838083739276946,-3.1151942643796113,,34.87410301772483
-10.7,0.5,8,False,pooled_points,107961,1100,9582,74,107961,1100,5.0427013025576094e-96,80980161.0,0.36379485521286736,0.0602647086251995,-0.026718020342204163,0.08698272896740367,-2.255582855815276,,34.66868082728902
-10.8,0.0,8,False,pooled_points,83892,1027,7717,68,83892,1027,1.9463333394837644e-93,59089515.0,0.3716693336557213,0.0555925091716718,-0.03833175347376461,0.09392426264543641,-1.450299141929966,,34.45775485783526
