# SMACS J0723.3-7327 reconstructed radial profiles
# Source: Liu et al. 2023, A&A 670, A96 (eROSITA best-fit)
# Vikhlinin+2006 analytic models for T(r) and n_e(r)
# Cluster redshift z = 0.388
# Columns:
#   r_kpc         - radius [kpc]
#   n_e_cm3       - electron density [cm^-3]
#   T_keV         - temperature [keV]
#   rho_gas_kg_m3 - gas mass density [kg m^-3]
#   M_gas_Msun    - cumulative gas mass [M_sun]
#   M_HSE_Msun    - hydrostatic equilibrium mass [M_sun]
#   M_star_Msun   - stellar mass estimate (0.02 * M_HSE) [M_sun]
#   M_bar_Msun    - baryonic mass (M_gas + M_star) [M_sun]
#   g_bar_m_s2    - baryonic acceleration [m s^-2]
#   g_tot_m_s2    - total (observed) acceleration [m s^-2]
#   g_BEC_m_s2    - BEC/superfluid prediction [m s^-2]
#   log_g_bar     - log10(g_bar)
#   log_g_tot     - log10(g_tot)
#   log_g_BEC     - log10(g_BEC)
r_kpc,n_e_cm3,T_keV,rho_gas_kg_m3,M_gas_Msun,M_HSE_Msun,M_star_Msun,M_bar_Msun,g_bar_m_s2,g_tot_m_s2,g_BEC_m_s2,log_g_bar,log_g_tot,log_g_BEC
1.49970922e+02,8.82566853e-03,1.01649966e+01,1.72715478e-23,5.01327362e+12,3.78068056e+13,7.56136113e+11,5.76940973e+12,3.57634338e-11,2.34356937e-10,8.50110866e-11,-1.04465608e+01,-9.63012219e+00,-1.00705244e+01
1.58865095e+02,8.33444092e-03,1.03539314e+01,1.63102312e-23,5.67386111e+12,4.16038413e+13,8.32076826e+11,6.50593794e+12,3.59397366e-11,2.29825601e-10,8.52724594e-11,-1.04444251e+01,-9.63860160e+00,-1.00691912e+01
1.68286746e+02,7.85754751e-03,1.05535757e+01,1.53769663e-23,6.41475633e+12,4.62755729e+13,9.25511459e+11,7.34026779e+12,3.61354964e-11,2.27810598e-10,8.55622485e-11,-1.04420660e+01,-9.64242608e+00,-1.00677178e+01
1.78267158e+02,7.39503264e-03,1.07607280e+01,1.44718396e-23,7.24431024e+12,5.19918357e+13,1.03983671e+12,8.28414696e+12,3.63435261e-11,2.28094292e-10,8.58697107e-11,-1.04395729e+01,-9.64188558e+00,-1.00661600e+01
1.88839468e+02,6.94701648e-03,1.09717282e+01,1.35950865e-23,8.17147220e+12,5.89211528e+13,1.17842306e+12,9.34989525e+12,3.65546945e-11,2.30360307e-10,8.61812994e-11,-1.04370568e+01,-9.63759235e+00,-1.00645870e+01
2.00038779e+02,6.51368343e-03,1.11826285e+01,1.27470677e-23,9.20578903e+12,6.72207131e+13,1.34441426e+12,1.05502033e+13,3.67582128e-11,2.34205276e-10,8.64811159e-11,-1.04346456e+01,-9.63040333e+00,-1.00630787e+01
2.11902276e+02,6.09526797e-03,1.13894007e+01,1.19282422e-23,1.03574517e+13,7.70274197e+13,1.54054839e+12,1.18980001e+13,3.69423633e-11,2.39164136e-10,8.67519944e-11,-1.04324753e+01,-9.62130394e+00,-1.00617205e+01
2.24469350e+02,5.69203798e-03,1.15881553e+01,1.11391342e-23,1.16371367e+13,8.84482636e+13,1.76896527e+12,1.34061020e+13,3.70945726e-11,2.44735609e-10,8.69755996e-11,-1.04306896e+01,-9.61130284e+00,-1.00606026e+01
2.37781726e+02,5.30427652e-03,1.17753496e+01,1.03802975e-23,1.30561098e+13,1.01557400e+14,2.03114800e+12,1.50872578e+13,3.72027728e-11,2.50424360e-10,8.71343946e-11,-1.04294247e+01,-9.60132343e+00,-1.00598104e+01
2.51883606e+02,4.93226245e-03,1.19479599e+01,9.65227804e-24,1.46261735e+13,1.16395195e+14,2.32790390e+12,1.69540774e+13,3.72560069e-11,2.55774472e-10,8.72124733e-11,-1.04288037e+01,-9.59214280e+00,-1.00594214e+01
