id	catalogue_id	name	ra	dec	freq	f_sum	err_f_sum	rms	w20	w50	kin_pa	rel	qflag	kflag	n_pix	f_min	f_max	ell_maj	ell_min	ell_pa	ell3s_maj	ell3s_min	ell3s_pa	x	err_x	y	err_y	z	err_z	x_min	x_max	y_min	y_max	z_min	z_max	comments	team_release	dist_h	log_m_hi
32	5843	WALLABY J101140-264210	152.919654680656	-26.7029193724618	1.37536588495624E9	2811.10478888313	379.005221063913	0.001655434722388	697984.2599401	614645.935991382	112.885483674586	0.92748792700539	0.0	0	4355.0	-0.003797947661951	0.007102636154741	5.92480558641008	4.96206302100845	-39.5567006051173	5.18210914632307	4.19060918309124	-3.55247196330576	6160.87401758592	0.276821305142761	2990.58734687296	0.272394689147944	4312.7577876414	0.915953477237655	715.0	730.0	145.0	161.0	738.0	778.0		Hydra TR2	140.24956171592282	9.439036449228533
33	5843	WALLABY J101208-252000	153.036248694593	-25.3335228835447	1.35839013469322E9	4743.42714956714	516.310707557641	0.001836629855465	1318961.33229723	1029787.42115564	68.5142915113353	0.992085361638792	0.0	1	6566.0	-0.006283916998655	0.007810820825398	10.8925498626197	4.1772956748881	75.3572744530628	11.9027217955905	2.84268939832121	71.7523416564219	6104.13074850669	0.371004621727382	3812.44164203243	0.174976865822065	3396.06727343712	1.44806823365566	653.0	681.0	969.0	986.0	1204.0	1282.0		Hydra TR2	195.52361286665757	9.954847050703327
34	5843	WALLABY J101221-254604	153.090414466845	-25.7677901843436	1.37619256689793E9	14056.6895792277	830.163017736139	0.001759531968188	1773020.98826333	1634072.55893855	181.373076448051	1.0	4.0	0	18495.0	-0.006239846348763	0.011062533594668	8.93617489020135	5.42030339401362	4.20490057189306	9.62789206958642	5.47307860195469	5.56879327004259	6073.07559646423	0.130502548568085	3552.22851481265	0.186093231492413	4357.39861249278	1.0577810048997	625.0	644.0	704.0	731.0	751.0	855.0		Hydra TR2	137.5926563832583	10.121429953504226
35	5843	WALLABY J101236-272905	153.151856620245	-27.4848528507126	1.37640961284705E9	3685.43626589025	378.887656320271	0.001606236376493	885058.910239697	677359.836523424	339.942906827178	0.86314822903965	0.0	0	4623.0	-0.004733381327242	0.006506392266601	6.45230397231046	4.5951791282088	-49.0555730769387	6.67958625977875	5.94696501671934	-17.4392038724358	6033.45367368039	0.237253641271922	2522.35847360826	0.227098749907607	4369.11909374518	1.02539711475072	587.0	603.0	797.0	813.0	790.0	846.0		Hydra TR2	136.89561291007385	9.535624354927789
36	5843	WALLABY J101247-275028	153.199753902375	-27.8413264281474	1.40808148673778E9	67348.1235321681	1165.4784655159	0.001706392442067	1646470.16257861	1567392.08247621	319.209935130455	1.0	4.0	2	38759.0	-0.006592240650207	0.024576323106885	21.1872046110281	6.35532218814731	-37.1336974686665	29.3881074774627	8.69249027281326	-35.3534717149272	6006.66221864432	0.103447586226138	2308.63954623919	0.142795938565157	6079.40028384637	0.371090772600763	548.0	587.0	551.0	616.0	1072.0	1177.0		Hydra TR2	37.48486089814162	9.672393695695055
37	5843	WALLABY J101247-291053	153.196184106303	-29.1814749161179	1.37792906683718E9	3661.82768060188	360.690362057451	0.001744206421913	1150828.55080163	1096431.42660693	67.2809218773878	0.995458646180195	0.0	0	3553.0	-0.005312368739396	0.008293682709336	5.74226387129837	4.24440292880538	57.5912469297253	6.27929800502678	3.98917888197112	61.3441690562943	6003.51115464312	0.225445295008043	1504.73093100072	0.202778902543606	4451.16960921215	1.57706459678178	558.0	573.0	897.0	913.0	867.0	933.0		Hydra TR2	132.0220331217917	9.501347125107271
38	5843	WALLABY J101314-271308	153.309125392675	-27.2189354106375	1.3991720197314E9	5304.40375339654	540.544857284497	0.001632874143014	1050345.78256773	916399.34719331	315.748226464937	0.999585939709674	0.0	0	9105.0	-0.006373395677656	0.007959743030369	7.40306636928725	6.18172906280623	81.790791613132	7.18293817096248	6.49657908456021	46.0544537689546	5950.56836256156	0.253788358170924	2682.38955725074	0.228853150158938	5598.28906550102	0.883293238799356	503.0	526.0	955.0	975.0	614.0	677.0		Hydra TR2	64.99469104375532	9.046748729724488
39	5843	WALLABY J101334-273518	153.395245627748	-27.5884053611161	1.4084310732109E9	10197.723939718	533.091712908927	0.001746821448369	373682.982856178	218171.165218491	133.359223693192	1.0	0.0	1	7738.0	-0.005930030718446	0.017701836302877	7.71866283139882	6.80821433716546	-41.6121454249952	8.31582503965052	7.09674370417658	-40.3643072622423	5903.63398115948	0.180994427971156	2460.93038094723	0.1797314508122	6098.27795339491	0.239188061803093	453.0	478.0	731.0	756.0	1128.0	1157.0		Hydra TR2	36.41253617665163	8.827361498070086
40	5843	WALLABY J101348-273147	153.451631889081	-27.5299016010322	1.4081993629083E9	6966.56393087552	524.744745154601	0.001667282254136	745421.476006664	642675.91082008	267.181391546058	0.999999999999999	4.0	0	8230.0	-0.006300160195678	0.012422149069607	8.50902402882247	5.40186761672738	85.126806824455	8.68717442747859	5.02638546727178	84.942787938778	5873.79131525005	0.233382098039951	2496.15871037336	0.189200601375913	6085.76559705412	0.540058397017221	422.0	447.0	769.0	788.0	1105.0	1152.0		Hydra TR2	37.123226967722275	8.678666456840665
41	5843	WALLABY J101357-262550	153.490388232175	-26.4308083724051	1.37546487452437E9	1955.89665909933	324.372317700823	0.001637304033385	475956.808947732	419968.86570853	168.495709695217	0.803980511667076	0.0	0	3261.0	-0.00573970284313	0.007828837260604	5.7163080027755	4.73128204301763	-39.0212378603622	4.54043186309717	3.52582733667326	-43.3163450687393	5855.56757468162	0.331983087419859	3155.66367945695	0.32218414962111	4318.10322432051	0.663169654529267	409.0	427.0	312.0	329.0	750.0	778.0		Hydra TR2	139.93124696636448	9.279531702135445
