recno	WALLABY	Group	DL	r/R200	dv/sigma	log(M*)	log(MHI)	dHI	dopt	dNUV	SFR	f_SFR	SimbadName	_RA	_DE
78	"J103650-260923"	"cluster"	56.2945050931589	0.976683090168801	0.177859912874102	9.2458248324717	9.28297435318582	90.1192213044884	22.5977214994742	32.2125684907311	-0.330506008204688	0	"WALLABY J103650-260923"	159.208	-26.1564
79	"J103651-260227"	"field  "	35.2136380367584	1.05975079984505	2.07987089605289	8.21850744192268	9.09608478569164	120.942151078273	21.8987408089774	38.7751788696423	-1.1609576284387	0	"WALLABY J103651-260227"	159.212	-26.0408
80	"J103653-270311"	"cluster"	56.2945050931589	0.337918739899532	0.336466373955977		9.34080630070172	113.951704736365	40.9152001323555			1	"WALLABY J103653-270311"	159.221	-27.0531
81	"J103655-265412"	"cluster"	56.2945050931589	0.445530148826659	0.786312820817618		9.38352350219943	107.227279815648	32.8982829348283			1	"WALLABY J103655-265412"	159.229	-26.9033
82	"J103702-273359"	"cluster"	56.2945050931589	0.061784191896163	1.36837267422282	10.9702171925277	9.61861940902824	154.746496994946	185.67726453182	147.301131334237	0.338212242783849	0	"WALLABY J103702-273359"	159.258	-27.5664
83	"J103704-252038"	"infall "	55.3262633315526	1.55855169471402	0.095209786775669	9.3060071612949	9.14665354210308	85.143041927836	48.0716489197821	33.356050929185	-0.943640711991616	0	"WALLABY J103704-252038"	159.267	-25.3439
84	"J103721-251319"	"field  "	15.8044369601721	1.64829425654827	4.00787693781144	5.93357931163256	7.32427597173638	25.8306790076419	5.68343736960858		-2.79188811669471	1	"                      "	159.337	-25.2219
85	"J103722-273235"	"cluster"	56.2945050931589	0.107368042551111	1.51282782258663	8.34497935059158	8.77581309465477	48.7253687008206	23.3589686948315	23.6677131516283	-0.890428480559493	0	"WALLABY J103722-273235"	159.342	-27.5431
86	"J103725-251916"	"infall "	55.240624106909	1.57845959002421	0.103632383097753	10.7405025734719	10.3351044720656	371.226369345984	127.355291356168	189.185348864174	0.462859977384954	0	"WALLABY J103725-251916"	159.354	-25.3211
87	"J103737-261641"	"cluster"	56.2945050931589	0.902908771831749	0.035368593076347	9.76164734180476	8.90451693514022	66.6186205243077	52.6861618296391	31.5283255604914	-0.114187813092717	0	"WALLABY J103737-261641"	159.404	-26.2781
