sparc_name,pgc,method,T,D,eD,fD,Inc,eInc,L36,Reff,Rdisk,MHI,RHI,Vflat,eVflat,Q
F579-V1,-1,unresolved,5,89.5,8.95,1,26.0,10.0,11.848,5.76,3.37,2.245,20.96,112.1,13.4,1
F583-1,65467,known,9,35.4,8.85,1,63.0,5.0,0.986,3.74,2.36,2.126,15.65,85.8,3.6,1
F583-4,-1,unresolved,5,53.3,10.7,1,55.0,10.0,1.715,3.31,1.93,0.641,7.8,0.0,0.0,1
IC2574,28868,known,9,3.91,0.2,2,75.0,7.0,1.016,3.18,2.78,1.036,10.81,66.4,2.0,2
IC4202,47368,known,4,100.4,10.0,1,90.0,1.0,179.749,8.55,4.78,12.326,32.13,242.6,11.0,1
KK98-251,72093,known,10,6.8,2.04,1,59.0,5.0,0.085,1.28,1.34,0.115,2.9,33.7,1.6,2
NGC0024,918,known,5,7.3,0.36,2,64.0,3.0,3.889,2.01,1.34,0.676,7.29,106.3,7.9,1
NGC0055,1014,known,9,2.11,0.11,2,77.0,3.0,4.628,3.67,6.11,1.565,10.24,85.6,5.0,2
NGC0100,1520,known,6,13.5,4.05,1,89.0,1.0,3.232,2.81,1.66,1.99,16.36,88.1,6.4,1
NGC0247,2758,known,7,3.7,0.19,2,74.0,3.0,7.332,5.87,3.74,1.746,12.79,104.9,8.0,2
NGC0289,3089,known,4,20.8,5.2,1,46.0,5.0,72.065,2.69,6.74,27.469,49.51,163.0,8.0,2
NGC0300,3238,known,7,2.08,0.1,2,42.0,10.0,2.922,1.77,1.75,0.936,9.2,93.3,7.0,2
NGC0801,7875,known,5,80.7,8.07,1,80.0,1.0,312.57,7.76,8.72,23.201,44.99,220.1,6.2,1
NGC0891,9031,known,3,9.91,0.5,2,90.0,1.0,138.34,3.68,2.55,4.462,18.16,216.1,5.7,1
NGC1003,10049,known,6,11.4,3.42,1,67.0,5.0,6.82,2.76,1.61,5.88,33.33,109.8,4.2,1
NGC1090,10609,known,4,37.0,9.25,1,64.0,3.0,72.045,6.36,3.53,8.783,30.49,164.4,3.7,1
NGC1705,16282,known,11,5.73,0.29,2,80.0,10.0,0.533,0.49,0.39,0.139,2.36,71.9,4.3,3
NGC2366,21102,known,10,3.27,0.16,2,68.0,5.0,0.236,1.08,0.65,0.647,6.94,50.2,3.2,3
NGC2403,21396,known,6,3.16,0.16,2,63.0,3.0,10.041,2.16,1.39,3.199,15.11,131.2,4.9,1
NGC2683,24930,known,3,9.81,0.49,2,80.0,5.0,80.415,3.34,2.18,1.406,13.79,154.0,8.1,2
NGC2841,26512,known,3,14.1,1.4,3,76.0,10.0,188.121,5.51,3.64,9.775,45.12,284.8,8.6,1
NGC2903,27077,known,4,6.6,1.98,1,66.0,3.0,81.863,4.54,2.33,2.552,13.76,184.6,5.6,1
NGC2915,27228,known,11,4.06,0.2,2,56.0,4.0,0.641,0.53,0.55,0.508,7.16,83.5,6.3,2
NGC2955,27684,known,3,97.9,9.8,1,56.0,7.0,319.422,7.22,18.76,28.949,40.34,0.0,0.0,1
NGC2976,27913,known,5,3.58,0.18,2,61.0,10.0,3.371,1.31,1.01,0.172,3.04,85.4,3.3,2
NGC2998,28024,known,5,68.1,10.2,1,58.0,2.0,150.902,7.06,6.2,23.451,43.58,209.9,8.1,1
NGC3109,29128,known,9,1.33,0.07,2,70.0,5.0,0.194,1.64,1.56,0.477,6.0,66.2,2.6,1
NGC3198,30197,known,5,13.8,1.4,3,73.0,3.0,38.279,5.84,3.14,10.869,35.66,150.1,3.9,1
NGC3521,33550,known,4,7.7,2.3,1,75.0,5.0,84.836,2.45,2.4,4.154,18.85,213.7,15.9,1
NGC3726,35676,known,5,18.0,2.5,4,53.0,2.0,70.234,7.52,3.4,6.473,22.2,168.0,6.2,2
NGC3741,35847,known,10,3.21,0.17,2,70.0,4.0,0.028,0.32,0.2,0.182,4.2,50.1,2.1,1
NGC3769,36191,known,3,18.0,2.5,4,70.0,2.0,18.679,2.18,3.38,5.529,22.57,118.6,8.4,2
NGC3877,36827,known,5,18.0,2.5,4,76.0,1.0,72.535,4.39,2.53,1.483,11.47,168.4,5.1,2
NGC3893,36970,known,5,18.0,2.5,4,49.0,2.0,58.525,2.43,2.38,5.799,20.84,174.0,8.9,1
NGC3917,37092,known,6,18.0,2.5,4,79.0,2.0,21.966,5.56,2.63,1.888,14.08,135.9,4.1,1
NGC3949,37290,known,4,18.0,2.5,4,55.0,2.0,38.067,2.39,3.59,3.371,13.72,163.0,7.1,2
NGC3953,37306,known,4,18.0,2.5,4,62.0,1.0,141.301,6.17,4.89,2.832,17.38,220.8,6.1,1
