recno	Galaxy	Type	Dist	PA	eps	Incl	Re	Rmax	Rmax/Re	Vsys	(M/L)dyn	E_(M/L)dyn	e_(M/L)dyn	betaz	E_betaz	e_betaz	CVC	_RA	_DE
197	"UGC 06312"	"Sab"	85	56	0.62	68	13	29	2.2	6295	7.055	0.028	0.025	0.37	0.005	0.006	2	169.50085	7.84487
198	"UGC 07012"	"Scd"	42	10	0.47	58	14	30	2.1	3070	6.506	0.061	0.052	0.289	0.02	0.027	0	180.51318	29.84809
199	"UGC 07145"	"Sbc"	91	152	0.62	69	16	32	2.0	6562	7.018	0.059	0.051	0.744	0.004	0.01	0	182.46227	38.21854
200	"UGC 08107"	"Sa "	115	52	0.62	72	16	33	2.1	8220	12.324	0.039	0.047	0.39	0.006	0.007	2	194.91524	53.34131
201	"UGC 08231"	"Sd "	35	75	0.63	71	19	33	1.7	2482	19.564	0.171	0.17	0.249	0.017	0.023	0	197.15526	54.07445
202	"UGC 08234"	"S0 "	113	134	0.4	55	8	24	3.0	8043	3.166	0.021	0.013	0.565	0.004	0.02	2	197.19378	62.27171
203	"UGC 08733"	"Sdm"	33	195	0.42	64	30	40	1.3	2329	9.708	0.08	0.075	0.528	0.009	0.01	0	207.163	43.41242
204	"UGC 08778"	"Sb "	46	117	0.74	78	15	27	1.8	3235	5.848	0.036	0.029	0.362	0.013	0.015	0	208.02772	38.06695
205	"UGC 08781"	"Sb "	104	161	0.42	59	15	29	1.9	7554	4.789	0.036	0.027	0.289	0.008	0.01	2	208.09475	21.53935
206	"UGC 09476"	"Sbc"	46	130	0.34	49	21	40	1.9	3247	3.754	0.016	0.018	0.111	0.033	0.036	0	220.38316	44.51261
207	"UGC 09537"	"Sb "	122	139	0.76	82	20	40	2.0	8778	6.438	0.04	0.029	0.659	0.003	0.005	1	222.11159	34.99811
208	"UGC 09542"	"Sc "	76	40	0.69	73	21	37	1.8	5412	6.245	0.04	0.037	0.788	0.004	0.008	0	222.25496	42.464
209	"UGC 09665"	"Sb "	37	140	0.76	80	18	33	1.8	2524	6.302	0.05	0.038	0.285	0.025	0.031	0	225.38521	48.3199
210	"UGC 09873"	"Sb "	79	125	0.77	78	21	33	1.6	5587	7.666	0.056	0.054	0.427	0.02	0.019	1	232.46106	42.62897
211	"UGC 09892"	"Sbc"	80	101	0.74	77	16	26	1.6	5632	4.904	0.037	0.028	-0.083	0.046	0.048	0	233.21649	41.19154
212	"UGC 10097"	"E5 "	84	125	0.14	51	14	27	1.9	5912	6.39	0.016	0.015	0.415	0.004	0.005	3	238.93045	47.86734
213	"UGC 10123"	"Sab"	54	53	0.72	79	18	31	1.7	3723	8.337	0.037	0.041	0.476	0.008	0.011	0	239.7615	51.30451
214	"UGC 10205"	"S0a"	92	152	0.41	54	19	35	1.8	6500	8.828	0.019	0.023	0.055	0.008	0.008	2	241.66759	30.09901
215	"UGC 10257"	"Sbc"	54	164	0.76	77	20	38	1.9	3826	6.514	0.04	0.037	0.531	0.016	0.024	0	242.78143	38.25135
216	"UGC 10331"	"Sc "	64	141	0.77	78	19	41	2.2	4447	4.99	0.073	0.103	0.776	0.006	0.038	0	244.33798	59.32016
217	"UGC 10337"	"Sb "	121	56	0.54	72	17	26	1.5	8685	6.969	0.027	0.044	0.869	0.001	0.011	0	244.86926	7.27878
218	"UGC 10384"	"Sb "	69	91	0.76	79	11	35	3.2	4935	6.23	0.042	0.038	0.505	0.013	0.019	0	246.69455	11.58017
219	"UGC 10388"	"Sa "	65	129	0.68	73	11	28	2.5	4600	6.253	0.024	0.019	0.292	0.008	0.009	2	246.76236	16.38221
