recno	Plateifu	MaNGA	RAJ2000	DEJ2000	logMstar	logSFR	VelST1Re	e_VelST1Re	VelST1_3Re	e_VelST1_3Re	VelST2Re	e_VelST2Re	VsigST1Re	VsigST1_3Re	VsigST2Re	VelG1Re	e_VelG1Re	VelG1_3Re	e_VelG1_3Re	VelG2Re	e_VelG2Re	VsigG1Re	VsigG1_3Re	VsigG2Re	Sample	RmaxST	RmaxG
465	"  8157-6103"	"  1-41974"	31.2545881526	14.7134056398	10.394	-0.3	155.651023185629	8.47658732608627	164.265173162508	9.45677387184752			0.722416594271042	0.880814074108831		167.123632034303	8.57062557773198	179.270464060653	8.57062557773198	186.413968214803	8.57062557773198	1.8322265297443305	2.37346575380346	2.90054418205854	3	1.3	2.0
2584	"  9513-6103"	"  1-42899"	29.567641238	14.2966260171	10.777	-1.329	172.460443226213	14.377006321741	147.426580437034	21.5257024281553			0.381386943525656	0.397831032589865											1	1.3	
3585	" 9195-12703"	"  1-41910"	30.1831280251	14.2106205629	9.116	-1.064										63.5384207124865	7.61956739239611	75.8748824856142	7.61956739239611			2.430894751654044	2.52067375798446		2		1.3
3197	"  8157-9102"	"  1-41922"	30.5981057222	14.3484769868	9.729	-0.701										104.785053020003	7.0	103.235181881241	7.0			2.473910462019339	2.66071626501074		2		1.3
417	"  9513-1902"	"  1-41918"	30.7081937163	14.5206085491	9.669	0.285										70.9904417706376	12.927167664084	70.7674824558094	12.927167664084	61.3962380855411	12.927167664084	0.5075462246449916	0.613395234916324	0.711362794252074	2		2.0
1435	"  9513-9101"	"  1-42896"	29.8615119115	14.4915951107	10.341	0.396	118.401968691242	19.5378738404251	126.121482663903	25.7803982799065	149.300967394509	34.8824971973074	0.647245276279724	0.732439748593565	0.767562939626339	148.124997299963	8.94394904261832	157.289284594631	8.94394904261832	143.388448102565	8.94394904261832	1.7075815484221288	2.01290416610037	2.18006720775533	4	2.0	2.0
3492	" 9513-12703"	"  1-42874"	29.176047423	14.5954244733	11.604	-1.68	79.5643540248228	37.0167710060869					0.071663819316743												1	1.0	
2622	" 9195-12702"	"  1-42813"	28.3757033338	14.57094903	11.592	0.723										330.270220004547	8.09912981932915	289.567910736444	8.47177465969897	276.626840836565	11.5058460939458	1.8955073034186498	2.08940628859744	2.51236234946621	2		2.0
2069	"  9195-6104"	" 1-603028"	28.9665870132	14.9402756516	11.09	1.117	151.328724551609	12.0667306693366	162.616980324318	13.4189138589673			0.639227389464123	0.769657259866965		167.497842182545	7.48818120262471	180.630625312716	7.48818120262471			1.82041888261898	2.35463115440215		4	1.3	1.3
1679	"  9195-3703"	" 1-603039"	29.0522287022	14.9066391304	10.413	0.368	45.1922077780938	17.2490546447245					0.142383429791962												1	1.0	
1158	"  8097-3703"	"  1-42801"	28.0953515346	14.5540450233	9.052	-0.929										64.1924990001789	7.69734333767107	66.835846249244	7.69734333767107			2.218115865000043	2.54976470065305		2		1.3
4211	" 9195-12704"	" 1-602964"	28.51532	14.90932	9.397	-0.761										84.9260854914751	20.2478266378684					2.021521035637619			2		1.0
3631	"12511-12704"	"  1-53544"	135.43843	0.52181	9.418	-0.543										101.027143527126	10.4636337564069	126.465289163924	10.4636337564069			2.1203182556231517	2.56889549779637		2		1.3
56	" 11867-1901"	"  1-53664"	135.74611368	0.83102936511	9.533	-0.822	63.5776466695331	41.9218592718058	75.832409865231	46.5938362036074	91.1631175278507	47.9468445927041	0.356003067160524	0.421338336990802	0.529344100997163	77.0498920703886	7.51314208829964	90.5999590220557	7.51314208829964	102.954912518121	7.51314208829964	1.0010621564396927	1.18303190413556	1.53042731691564	3	2.0	2.0
258	" 11867-3702"	"  1-53278"	135.70510525	1.02061777146	10.777	-0.84	155.021889562533	9.73376048433158	192.728807981716	10.2883637686038	221.75945517863	11.7306998851132	0.309399716713732	0.412302058514558	0.633328319089274	130.959132493926	17.2195624379874	133.142764692426	19.64848119189			0.35224734038627226	0.450036445153574		3	2.0	1.3
3364	" 12511-9102"	"  1-53282"	135.477955255	1.17194756299	9.305	-0.764										78.9135383288976	9.46420605123662	98.6386699454467	9.46420605123662			1.9008939843829946	2.33351592838023		2		1.3
3277	" 12511-6104"	"  1-53536"	135.21264097	1.16110632451	9.116	-0.78										81.879030236647	7.0					2.534754521986345			2		1.0
3536	"11867-12703"	"  1-53660"	135.931877088	1.65935186123	11.484	0.762	270.465396209126	23.4826228838427	281.802751541319	24.6143318424994			0.905154844600468	1.0018347504555		265.057877632005	10.3296693361893	265.120275073358	10.3296693361893			2.0760385336390197	2.50702853153144		4	1.3	1.3
1939	" 10512-6104"	"  1-76920"	136.76973698	3.14613747011	9.907	-0.493	120.888306993997	28.0984644035385					0.724433803068449			132.159717784824	10.2462460617545	138.606684875814	10.2462460617545			2.6203645583493387	3.00407479447653		4	1.0	1.3
982	" 10512-3704"	"  1-76931"	136.477273041	3.07847098232	11.412	-1.198	108.843134017946	33.9240548009824	116.888772331836	38.9822480876224	99.3138845162242	50.1691607473931	0.153289376135419	0.169609216344018	0.192253929178875										1	2.0	
2642	" 10512-6102"	"  1-77060"	136.375519471	3.47303038424	10.67	-1.086	106.668360735509	18.088689837174	95.3014084125268	21.1760769183579			0.534947188326915	0.576840808176479		146.511354920913	8.25327574215293	139.135580739716	8.25327574215293			1.4046036514156932	1.46590231673024		3	1.3	1.3
2292	"12511-12701"	"  1-53212"	133.650006846	1.4350303979	10.518	0.142										133.065769078933	9.10244042438908	142.630760703647	9.10244042438908	151.447726916559	9.10244042438908	2.0677413808134655	2.47378662905867	3.24629087840008	2		2.0
2471	"10839-12704"	"  1-76735"	132.736664032	2.33839227479	10.233	0.022										117.516774082598	7.0	130.192375336806	7.0			2.112605623203801	2.34367821303713		2		1.3
1922	" 10840-3704"	"  1-76694"	134.713506361	2.91308119194	10.807	0.286	192.600879907615	11.8483120491806	200.894954536069	14.7367398597624			0.894834558906206	1.02033101750793		196.035931060466	13.6626371108718	230.261205163254	13.6626371108718			1.3216924119181692	1.69603126048067		4	1.3	1.3
1956	" 10512-6103"	"  1-77030"	135.888963841	3.3758393992	10.687	-0.325	166.689576132356	8.41980342575521	190.863911122961	10.2903403589301			0.55892940626354	0.68545911951363		202.234460620572	9.8153091913379	217.644163446615	9.8153091913379			1.6238036938509353	2.3780358742602		3	1.3	1.3
4114	"10512-12701"	" 1-605601"	135.5654	3.16994	11.196	0.334	263.750020877156	13.9682744616886					1.42355594810614			269.663669866337	8.11777943252507					3.494019311709851			4	1.0	1.0
1929	" 10512-6101"	"  1-77016"	135.622449532	3.38500473256	10.872	-1.193	185.676592670656	8.32147570284427	204.178682851355	9.74280298818607			0.463557354050717	0.536913757344426		127.097838329353	16.0802824141792	83.3126449523357	19.0395015299023			0.335431874655849	0.36678779902775		3	1.3	1.3
3710	"10512-12702"	" 1-605611"	136.015436579	3.58471960293	10.748	0.007	140.391113097021	13.3666987807911	161.975935860508	14.2560919350191			0.462123499605258	0.571136373377089		169.36644543779	7.82194512562723	176.226044888713	7.82194512562723			1.3891131846605689	1.52669630842193		3	1.3	1.3
1372	" 10512-9101"	"  1-76996"	135.436308727	3.3857329222	10.655	0.585	151.847759014168	15.4576136939731	173.786390272656	19.292814851395			0.794977099768309	0.938791770114783		172.852388738458	10.2469492046763	189.77794751475	10.2469492046763	180.65724143292	12.2633654591337	1.4646203031909941	1.83994545261014	2.23846833565517	4	1.3	2.0
3295	" 10512-9102"	" 1-605657"	137.15019	3.21709	10.305	0.594	90.9205808479797	13.743710796062	106.014565280915	13.695675194098			0.826099062659571	0.942238517367686											1	1.3	
3707	"10512-12705"	"  1-76911"	136.97899429	3.27271277589	10.259	0.4										141.525685804777	9.85167454884885	151.517884741897	9.85167454884885			2.3874463833901314	2.45656263394575		2		1.3
454	" 10842-3701"	" 1-181056"	140.177024056	4.96070994469	10.8	-2.133	150.656410547179	56.046891324076	170.212454181428	57.7127468872819	228.533803078266	60.6197313884846	0.299804739180395	0.39350867724437	0.530808417262508										1	2.0	
2976	"10512-12704"	"  1-77024"	136.272058301	3.85157518708	11.256	0.253	247.449493811035	16.2826386686228	259.654107009114	20.0872213755539			1.03749220834603	1.21531293021664		252.297272981573	10.9922760559549	268.692027797233	10.9922760559549	280.705508026596	10.9922760559549	2.8672546766064997	3.58422967767957	4.4435832777878	4	1.3	2.0
2811	"10512-12703"	" 1-214751"	136.212574979	5.11587927994	11.056	0.165	211.784779317867	24.2826347829145	207.120177226473	25.2215923526007			0.663488346517815	0.710023841237212		232.52219826562	11.9440059267038	268.722355100535	11.9440059267038	374.882948948101	17.0492080476627	1.3110570307516451	1.30089712211129	1.3721340978322	4	1.3	2.0
3184	" 10511-3704"	"  1-76425"	131.827669591	2.76227753464	10.676	-1.72	118.584828169407	28.2536729341914					0.311969449186937			301.143413607437	11.5479699333888					3.2988789326984924			3	1.0	1.0
11	" 10840-1901"	"  1-76744"	133.278068655	3.81465039044	9.866	-2.681	83.1977331147968	39.3999686448294	98.5750160894509	40.322826545555	133.913321643204	44.335320309522	0.346086737594921	0.470988227991269	0.663699687014612	75.6862039425759	52.9058284825951	73.1439810216721	56.5985004429366			0.4272690463967433	0.484445836519855		3	2.0	1.3
2088	"10511-12704"	" 1-213726"	132.250239832	4.34377684732	10.807	0.489	191.319504926455	13.6452011781558	203.145396667345	18.2169013786549			0.943986449796411	0.993702496267032		207.501525915926	9.11039543396186	211.882941166595	9.11039543396186	221.124216398553	9.11039543396186	2.227128401928035	2.59708138608653	3.30377330807738	4	1.3	2.0
2437	"10840-12702"	" 1-214169"	133.971619306	4.37502180545	10.695	-0.486										182.963278670541	8.84607754044649	207.339011818816	8.84607754044649	210.383968406912	8.84607754044649	1.5753024608123058	2.28616865769589	2.93704322884868	2		2.0
1814	" 10840-3702"	" 1-214335"	133.924936501	4.99479158211	10.742	-1.098	113.913220424243	16.0445573266186	75.4001827908558	24.1523971412574			0.243876024508553	0.244391305664055		185.848137540167	35.8678089909603	245.646529987675	30.7867292938436			0.44689712447523444	0.540873038760084		3	1.3	1.3
3206	"  9511-6103"	" 1-213651"	129.781931769	4.56732012216	10.738	1.27										69.9502219194701	8.1240717519153	75.7402175015836	8.1240717519153			0.6172262106421048	0.698084396469738		2		1.3
1897	" 10842-1901"	" 1-181037"	140.963576504	5.19494607791	10.998	0.645	244.87680665749	64.2256627672815					0.750760534174705			282.698137070451	8.03638967030425					2.236807112546433			4	1.0	1.0
2427	" 10842-6102"	" 1-181172"	140.011912499	5.73558574674	10.977	0.021	215.925446834545	9.04476265951025	234.396670895532	9.86842363916326			0.925214617702225	1.10498793654635		225.974948043193	12.5931182145475	244.857634371387	12.5931182145475			0.9301832891032937	1.41594038435396		3	1.3	1.3
