recno	Galaxy	D	Re	logM*	logSFR	dSFR	Type	Bar	QS	f_QS	NA	f_NA	_RA	_DE
150	"NGC 7550"	71.9	11.2	11.157	-1.067	-2.128	"E4 "	"A "	"nR "	1	"wAGN"	U	348.81708	18.96137
151	"NGC 7562"	51.4	10.5	11.187	-0.979	-2.063	"E4 "	"A "	"fR "	1	"nonA"	S	348.9896	6.68749
152	"NGC 7563"	59.4	7.5	11.026	-1.391	-2.35	"Sa "	"B "	"fR "	1	"nonA"	S	348.98311	13.19619
153	"NGC 7591"	69.9	11.7	10.731	0.703	-0.03	"Sbc"	"B "	"SF "	1	"nonA"	S	349.56778	6.58586
154	"NGC 7608"	50.1	12.4	9.946	0.043	-0.085	"Sbc"	"A "	"SF "	1	"nonA"	S	349.8139	8.35016
155	"NGC 7611"	46.6	9.0	10.652	-0.999	-1.671	"S0 "	"A "	"fR "	1	"nonA"	S	349.90259	8.06321
156	"NGC 7619"	53.6	11.2	11.267	-1.075	-2.22	"E3 "	"A "	"fR "	1	"nonA"	S	350.06052	8.20629
157	"NGC 7623"	53.3	6.8	10.732	-1.353	-2.087	"S0 "	"A "	"fR "	1	"nonA"	S	350.12501	8.39578
158	"NGC 7625"	24.7	10.7	9.963	0.21	0.069	"Sa "	"A "	"SF "	2	"nonA"	S	350.12555	17.2256
159	"NGC 7631"	53.5	13.8	10.507	0.009	-0.551	"Sb "	"A "	"QnR"	1	"nonA"	S	350.36115	8.21761
160	"NGC 7653"	60.7	11.8	10.512	0.471	-0.093	"Sb "	"A "	"cQ "	1	"nonA"	S	351.20565	15.27559
161	"NGC 7671"	58.7	6.4	10.798	-2.01	-2.794	"S0 "	"A "	"fR "	1	"nonA"	S	351.83054	12.46739
162	"NGC 7683"	53.2	9.6	10.972	-1.129	-2.048	"S0 "	"A "	"fR "	1	"nonA"	S	352.26587	11.4451
163	"NGC 7711"	57.8	12.0	10.835	-1.047	-1.86	"E7 "	"A "	"MX "	2	"nonA"	S	353.91418	15.30215
164	"NGC 7716"	37.0	12.3	10.41	-0.231	-0.716	"Sb "	"A "	"cQ "	1	"nonA"	S	354.13107	0.29731
165	"NGC 7722"	57.4	12.9	10.934	0.085	-0.804	"Sab"	"A "	"MX "	2	"nonA"	S	354.67167	15.95462
166	"NGC 7738"	94.2	13.1	11.031	0.716	-0.247	"Sb "	"B "	"MX "	1	"nonA"	S	356.00843	0.5166
167	"NGC 7787"	92.8	11.2	10.573	0.215	-0.396	"Sab"	"AB"	"QnR"	1	"nonA"	S	359.03256	0.54943
168	"NGC 7819"	70.4	12.4	10.068	0.326	0.104	"Sc "	"A "	"SF "	1	"nonA"	S	1.10206	31.47203
169	"NGC 7824"	85.7	9.6	11.045	-0.224	-1.198	"Sab"	"A "	"nR "	1	"sAGN"	U	1.276	6.92014
170	"UGC00005"	101.0	13.0	10.843	0.795	-0.023	"Sbc"	"A "	"SF "	1	"sAGN"	U	0.77355	-1.91387
171	"UGC00029"	122.7	10.4				"E1 "	"A "	"nR "	1	"nonA"	S	1.14056	28.30166
172	"UGC00036"	87.9	11.2	10.897	-0.083	-0.943	"Sab"	"AB"	"MX "	1	"nonA"	S	1.30783	6.772
173	"UGC00148"	59.7	4.5	10.148	0.831	0.547	"Sc "	"A "	"SF "	1	"nonA"	S	3.96364	16.0898
174	"UGC00312"	61.4	15.7	9.851	0.439	0.384	"Sd "	"B "	"SF "	1	"nonA"	S	7.84933	8.46703
175	"UGC00809"	59.6	11.7	9.586	-0.107	0.042	"Scd"	"A "	"SF "	1	"nonA"	S	18.96605	33.81079
176	"UGC00987"	65.8	9.8	10.724	-0.303	-1.03	"Sa "	"AB"	"SF "	1	"sAGN"	S	21.38107	32.13625
177	"UGC01057"	88.7	10.8	10.258	0.328	-0.04	"Sc "	"AB"	"SF "	1	"nonA"	S	22.22264	13.79257
178	"UGC01271"	70.8	6.1	10.772	-0.724	-1.487	"S0a"	"B "	"fR "	1	"nonA"	S	27.25026	13.21111
179	"UGC02222"	70.6	10.3	10.696	-1.237	-1.942	"S0a"	"AB"	"fR "	1	"nonA"	S	41.29032	32.98972
180	"UGC02229"	100.5	16.3	10.918	-0.544	-1.42	"S0a"	"A "	"nR "	1	"nonA"	S	41.36483	0.91434
181	"UGC02403"	56.8	12.3	10.395	0.153	-0.32	"Sb "	"B "	"SF "	1	"nonA"	S	43.98868	0.69254
182	"UGC03253"	58.8	19.2	10.36	-0.181	-0.628	"Sb "	"B "	"QnR"	1	"nonA"	S	79.92344	84.05253
183	"UGC03539"	46.7	19.2	9.654	-0.072	0.025	"Sc "	"AB"	"SF "	1	"nonA"	S	102.22522	66.26136
184	"UGC03995"	64.4	18.0	10.933	-0.003	-0.891	"Sb "	"B "	"QnR"	2	"sAGN"	S	116.03803	29.24744
185	"UGC04029"	60.1	17.9	10.25	0.148	-0.214	"Sc "	"AB"	"SF "	1	"nonA"	S	117.07914	34.33215
186	"UGC04132"	71.0	14.3	10.748	0.893	0.147	"Sbc"	"AB"	"SF "	1	"nonA"	S	119.80436	32.91467
187	"UGC04145"	62.0	8.6	10.468	0.509	-0.021	"Sa "	"AB"	"MX "	1	"sAGN"	S	119.91721	15.38684
188	"UGC04197"	61.1	15.6	10.497	-0.342	-0.894	"Sab"	"AB"	"cQ "	1	"nonA"	S	120.85629	10.05062
