recno	ID	eps	PA	Incl	Reff	Type	M*	rMAG	C90/50	u-r	SFR	l0_5Re	lRe	l2Re	lRe90	(V/sig)e	SimbadName	_RA	_DE
233	865	0.326	178.5	50.6	12	"S0 "	12.39	-22.1	3.42	2.87	0.76	0.26	0.38	0.57	0.42	0.36	"UGC11228"	276.19279	41.49272
234	867	0.716	119.0	77.9	9	"Sab"	2.42	-20.46	2.94	2.65	0.1	0.45	0.59	0.72	0.59	0.63	"NGC6762"	286.4045	63.93408
235	868	0.638	159.5	73.4	17	"Sb "	4.79	-21.69	2.18	2.56	2.64	0.77	0.85		0.86	1.48	"MCG-02-51-004"	303.91625	-13.62189
236	869	0.256	131.1	43.9	20	"Sb "	8.77	-22.39	2.12	2.91	2.13	0.54	0.74		0.8	0.95	"NGC6941"	309.09779	-4.61872
237	870	0.36	127.1	53.0	13	"S0 "	24.49	-21.91	2.96	2.89	0.0	0.34	0.51	0.68	0.55	0.54	"NGC6945"	309.7525	-4.97256
238	871	0.575	126.8	69.1	18	"Sb "	10.79	-22.15	2.41	2.85	1.21	0.73	0.83		0.83	1.31	"NGC6978"	313.14762	-5.71111
239	872	0.217	63.5	40.4	19	"Sab"	3.7	-21.38	2.12	3.16	0.29	0.45	0.62		0.7	0.71	"UGC11649"	313.86512	-1.22525
240	873	0.456	57.3	60.2	16	"Sb "	12.39	-22.56	2.51	3.76	2.04	0.49	0.57		0.59	0.68	"VV 476a"	316.92287	3.85544
241	874	0.325	39.9	50.1	13	"S0a"	33.65	-22.73	3.27	3.21	0.51	0.32	0.38	0.51	0.42	0.39	"NGC7025"	316.94721	16.33586
242	876	0.45	107.7	60.1	18	"Sbc"	6.18	-21.83	2.04	3.07	1.82	0.71	0.83		0.85	1.49	"NGC7047"	319.11512	-0.8265
243	877	0.61	37.1	71.6	17	"Sab"	6.95	-21.84		3.31	2.5	0.5	0.6	0.65	0.6	0.68	"UGC11717"	319.64742	19.71867
244	878	0.779	32.1	80.6	24	"Scd"	0.11	-18.77	2.29	1.72	0.35	0.47	0.57		0.57	0.69	"MCG-01-54-016"	321.49917	-3.80986
245	881	0.3	18.5	47.8	17	"E3 "	27.86	-23.05	3.27	2.93	0.15	0.35	0.38		0.43	0.39	"NGC7194"	330.87892	12.63678
246	885	0.739	47.4	79.1	15	"Sc "	0.1	-18.41	2.67	1.67	0.17	0.18	0.41	0.51	0.41	0.44	"UGC12054"	337.38525	7.72603
247	886	0.473	9.9	61.7	12	"Sa "	11.72	-22.45	3.06	2.9	2.76	0.51	0.64	0.76	0.66	0.72	"NGC7311"	338.52817	5.57031
248	887	0.324	14.4	49.8	15	"Sbc"	8.53	-22.48	2.39	2.59	5.2	0.6	0.76	0.82	0.8	1.12	"NGC7321"	339.11675	21.62178
249	888	0.107	0.3	35.4	36	"E1 "	23.39	-23.47	3.05	3.5	0.23	0.06	0.06		0.09	0.06	"UGC12127"	339.62258	35.32967
250	889	0.32	65.0	49.5	12	"Sab"	7.62	-22.04	3.11	2.51	4.37	0.51	0.61	0.62	0.65	0.75	"NGC7364"	341.10154	-0.16211
251	890	0.561	159.2	68.6	12	"Sb "	4.68	-21.56	2.83	2.75	0.81	0.46	0.66	0.78	0.67	0.78	"UGC12185"	341.85442	31.37356
252	892	0.772	70.8	80.4	23	"Sb "	2.32	-20.96	3.11	3.23	2.05	0.68	0.75		0.75	0.98	"VV488"	344.212	-8.96753
