recno	Name	ID	z	PA	eps	Type	M*	rMAG	Reff	Rmax	SimbadName	_RA	_DE
180	"NGC 7025"	874	0.017	39	0.32	"S0a"	33.65	-22.73	13	31	"NGC 7025"	316.9472	16.33586
181	"NGC 7047"	876	0.019	107	0.45	"Sbc"	6.18	-21.83	18	29	"NGC 7047"	319.11514	-0.8265
182	"NGC 7194"	881	0.027	18	0.3	"E3 "	27.86	-23.05	17	22	"NGC 7194"	330.87887	12.63678
183	"NGC 7311"	886	0.015	9	0.47	"Sa "	11.72	-22.45	12	37	"NGC 7311"	338.52817	5.57031
184	"NGC 7321"	887	0.024	14	0.32	"Sbc"	8.53	-22.48	15	32	"NGC 7321"	339.11679	21.62184
185	"NGC 7364"	889	0.016	65	0.32	"Sab"	7.62	-22.04	12	32	"NGC 7364"	341.1015	-0.162
186	"NGC 7436B"	893	0.025	41	0.15	"E2 "	82.04	-23.5	27	27	"NGC 7436B"	344.48962	26.15002
187	"NGC 7466"	896	0.025	25	0.62	"Sbc"	5.6	-21.86	13	31	"NGC 7466"	345.51431	27.0526
188	"NGC 7489"	898	0.021	160	0.47	"Sbc"	3.17	-22.07	20	39	"NGC 7489"	346.88632	22.99797
189	"NGC 7549"	901	0.016	16	0.6	"Sbc"	3.97	-21.75	20	34	"NGC 7549"	348.82202	19.04164
190	"NGC 7550"	900	0.017	154	0.09	"E4 "	27.04	-22.89	24	25	"NGC 7550"	348.81708	18.96137
191	"NGC 7562"	903	0.012	83	0.32	"E4 "	17.66	-22.54	20	36	"NGC 7562"	348.9896	6.68749
192	"NGC 7563"	902	0.014	149	0.47	"Sa "	9.18	-21.54	9	31	"NGC 7563"	348.98312	13.19629
193	"NGC 7591"	904	0.017	150	0.46	"Sbc"	5.75	-21.91	16	33	"NGC 7591"	349.56781	6.58577
194	"NGC 7608"	907	0.012	18	0.73	"Sbc"	1.24	-20.0	20	33	"NGC 7608"	349.8139	8.35016
195	"NGC 7611"	908	0.011	134	0.55	"S0 "	7.93	-21.32	11	21	"NGC 7611"	349.90259	8.06321
196	"NGC 7619"	911	0.013	50	0.17	"E3 "	8.79	-22.69	35	34	"NGC 7619"	350.06052	8.20629
197	"NGC 7623"	912	0.012	7	0.3	"S0 "	9.57	-21.47	10	31	"NGC 7623"	350.12485	8.39572
198	"NGC 7625"	913	0.005	10	0.04	"Sa "	1.33	-20.26	14	34	"NGC 7625"	350.12555	17.2256
199	"NGC 7631"	914	0.013	76	0.62	"Sb "	3.38	-21.1	17	33	"NGC 7631"	350.36115	8.21761
200	"NGC 7653"	915	0.014	-11	0.18	"Sb "	3.16	-21.58	12	38	"NGC 7653"	351.20562	15.2756
201	"NGC 7671"	916	0.013	133	0.37	"S0 "	9.04	-21.76	11	26	"NGC 7671"	351.83054	12.46739
202	"NGC 7683"	917	0.012	138	0.48	"S0 "	10.45	-21.74	14	33	"NGC 7683"	352.26587	11.4451
203	"NGC 7684"	919	0.017	22	0.66	"S0 "	9.68	-21.69	9	38	"NGC 7684"	352.63342	0.08114
204	"NGC 7691"	920	0.013	171	0.21	"Sbc"	1.64	-21.34	28	34	"NGC 7691"	353.10172	15.84779
205	"NGC 7711"	923	0.014	92	0.55	"E7 "	11.3	-22.02	15	42	"NGC 7711"	353.91418	15.30215
206	"NGC 7716"	924	0.009	31	0.19	"Sb "	2.45	-21.04	21	38	"NGC 7716"	354.13107	0.29731
207	"NGC 7722"	925	0.013	148	0.27	"Sab"	17.58	-22.05	21	24	"NGC 7722"	354.67163	15.95485
