galaxy,source,R_m,R_kpc,g_dm,sigma_gdm,rho_dm,sigma_rho_dm,M_dm_enc,cs2,sigma_cs2,xi_eff,X_TF,g_star,log_gbar,env_dense,logMh,sigma_log_gobs,T
382-021,Catinella2005,3.1460773222e+20,10.194677,1.2850035103190273e-10,3.4028960971374296e-11,5.684071230696381e-22,1.449553034564724e-22,1.905710365466744e+41,16312191832.969793,4320821236.642753,3.255599148534343e+20,0.9663589338436677,5.0105037778724915e-11,-10.714768,field,11.0,0.1,
382-021,Catinella2005,3.8019726762e+20,12.320067,1.0801580559050141e-10,2.8373224129000815e-11,3.4202990717342577e-22,8.609613999164016e-23,2.3394786674450553e+41,15650533836.937363,4111991662.965793,3.607131896965637e+20,1.0540154296543094,4.3387750390005925e-11,-10.817941,field,11.0,0.1,
382-021,Catinella2005,4.4578677216e+20,14.445456,9.127630347492677e-11,2.381604754824519e-11,2.3290461595380034e-22,5.814355930773378e-23,2.7178544574557365e+41,14187137556.362806,3702547282.0416875,3.8879043893700605e+20,1.1465991123105495,3.6490448672431174e-11,-10.915228,field,11.0,0.1,
384-060,Catinella2005,2.586660512e+19,0.838192,3.775598801685413e-11,1.3514210792554762e-11,1.899420712406783e-20,4.942798843522923e-21,3.785109986701851e+38,1456232259.9775908,521299227.6405191,1.4509141960400962e+19,1.7827797943252859,1.0036653193910494e-10,-10.679117,field,11.0,0.1,
384-060,Catinella2005,1.0089405431999999e+20,3.269412,7.219876124661403e-11,1.9194494921394494e-11,1.5210129628521112e-21,3.827779250643163e-22,1.101221525630773e+40,3340465613.7999315,888299768.5851958,7.825999649703852e+19,1.289216187529704,4.268420346691863e-11,-10.952263,field,11.0,0.1,
384-060,Catinella2005,1.7592150352e+20,5.700632,6.365531701010108e-11,1.6120321116727792e-11,6.796033989009513e-22,1.6399316543596414e-22,2.951795995027797e+40,4901917796.527104,1241888936.8613274,1.2812847221576578e+20,1.3730086722937873,3.8257833811304433e-11,-11.196929,field,11.0,0.1,
384-060,Catinella2005,2.5094895272000002e+20,8.131852,5.519033811016394e-11,1.3598552700757172e-11,4.221002633034609e-22,9.931046602070801e-23,5.207720021186849e+40,12663520267.826824,3125320656.0823264,1.701869643984742e+20,1.4745486154417236,7.44094608690274e-11,-11.412578,field,11.0,0.1,
384-060,Catinella2005,3.2597640192e+20,10.563072,4.961579992332854e-11,1.2002084738573975e-11,2.7626956883501164e-22,6.440307200404525e-23,7.899618510871512e+40,1116906225102.6665,1167179191726.3318,2.0960688192732856e+20,1.5551798630019082,5.328576117505062e-09,-11.60057,field,11.0,0.1,
384-064,Catinella2005,2.930885296e+19,0.949736,2.1313461172515932e-11,1.5849504470732163e-11,8.75658202049233e-21,2.8221874284288256e-21,2.7432502282709033e+38,714501230.0565759,532307225.40316516,1.2351940476257165e+19,2.3728136495101575,5.784526175704833e-11,-10.323123,field,11.0,0.1,
384-064,Catinella2005,5.178394408e+19,1.678028,5.401724237554069e-11,2.057418727736221e-11,3.67166682522532e-21,1.0881922699751448e-21,2.1703833898305252e+39,2080229230.3114452,797838096.8408076,3.4743271223515263e+19,1.4904740473876597,5.987430535624076e-11,-10.451791,field,11.0,0.1,
384-064,Catinella2005,7.42590352e+19,2.40632,6.968073675940738e-11,2.2182254755123103e-11,2.6283178592273815e-21,7.082624714372496e-22,5.757383203908633e+39,3819962770.4514904,1227999534.124135,5.658678843370171e+19,1.3123034060680696,6.750626561758388e-11,-10.574212,field,11.0,0.1,
384-064,Catinella2005,9.673412632e+19,3.134612,7.60591227309774e-11,2.2212154657910155e-11,2.0455634007511742e-21,5.229196473705978e-22,1.06641080498421e+40,7233084079.303835,2136195911.89659,7.701312503108706e+19,1.2560732509030426,9.392014772006893e-11,-10.69022,field,11.0,0.1,
384-064,Catinella2005,1.192092483e+20,3.862905,7.746561653337806e-11,2.1488578571986e-11,1.5104804681495295e-21,3.790766760475436e-22,1.6494633804447814e+40,11644478294.828415,3268765749.3607244,9.57797760537529e+19,1.2446181564790688,1.2157554313233491e-10,-10.799749,field,11.0,0.1,
385-037,Catinella2005,1.543e+19,0.5,3.563683308724216e-10,9.372785728008726e-11,8.11874913627569e-20,2.1532210921570864e-20,1.2712903568913307e+39,10098095801.60348,2656148893.5207973,2.659039902216077e+19,0.5802846353355001,3.7976473362387683e-10,-10.295107,field,11.0,0.1,
385-037,Catinella2005,9.309486824000001e+19,3.016684,1.613896589216283e-10,4.249586646807301e-11,2.3526271103987707e-21,6.078868316649545e-22,2.0957572858196246e+40,5511556855.30315,1451449497.1415412,1.0796250940936308e+20,0.8622888514661213,5.105065531966191e-11,-10.63512,field,11.0,0.1,
385-037,Catinella2005,1.7075973648000002e+20,5.533368,9.401904920444396e-11,2.435054516309494e-11,7.719492881982107e-22,1.9040663588122433e-22,4.1077178427732897e+40,5445694060.787423,1410849565.6590693,1.5114813066070026e+20,1.1297508988935112,3.602885485240968e-11,-10.930553,field,11.0,0.1,
385-037,Catinella2005,2.4842463558e+20,8.050053,6.928204375443314e-11,1.7469186795442188e-11,3.990771133017228e-22,9.455993546738715e-23,6.406543967071777e+40,13202520367.849302,3338112067.5343804,1.8876191890897256e+20,1.3160739041850853,6.99427111366462e-11,-11.1814,field,11.0,0.1,
385-072,Catinella2005,2.144017016e+19,0.694756,1.703277319866578e-11,5.53533218408901e-12,5.2705667317059445e-21,1.3688161113845579e-21,1.1731555968938192e+38,391201114.38792086,127233450.46373172,8.077561747246375e+18,2.6542873741954263,4.843059411106087e-11,-11.154476,field,11.0,0.1,
385-072,Catinella2005,3.81742829e+19,1.237015,2.655082473104695e-11,7.281547530038778e-12,2.0943291263851194e-21,5.276320750926639e-22,5.7974043062674775e+38,700932656.952657,192447114.38007808,1.795640005217015e+19,2.125942994647548,3.903525511328451e-11,-11.294775,field,11.0,0.1,
385-072,Catinella2005,5.490839564e+19,1.779274,3.066749641891482e-11,7.92190607051303e-12,1.4297132989428257e-21,3.476958279236568e-22,1.3853822835950578e+39,1154716145.2453077,298681726.7647787,2.775794384903388e+19,1.9781146593071988,4.159948415219155e-11,-11.427488,field,11.0,0.1,
385-072,Catinella2005,7.164250838e+19,2.321533,3.192512740669147e-11,7.996366456557716e-12,1.0850072120035941e-21,2.586681845394781e-22,2.4552063752114616e+39,2095145846.9793956,525626904.29473925,3.695272582205686e+19,1.938761127527892,5.6698005366868386e-11,-11.552431,field,11.0,0.1,
385-072,Catinella2005,8.837662112e+19,2.863792,3.171713090008363e-11,7.795925652062984e-12,7.935798557003574e-22,1.8786935042148097e-22,3.711782149204961e+39,3311712679.6176233,815618696.2373961,4.54353332255433e+19,1.9451078014833514,7.288848665812824e-11,-11.669557,field,11.0,0.1,
385-093,Catinella2005,1.83885482e+19,0.59587,9.12744633649428e-11,4.344979069297967e-11,7.071872645484916e-20,2.0912043054882787e-20,4.624427454750389e+38,2449806622.398233,1166374501.5128462,1.6037307762683677e+19,1.1466106700768874,1.5275672567053632e-10,-10.011327,field,11.0,0.1,
385-093,Catinella2005,7.523927223999999e+19,2.438084,1.8461214060758943e-10,5.572341044103583e-11,4.74697538864514e-21,1.3421668529197673e-21,1.5658971295285032e+40,5929630478.571641,1790634339.2609408,9.332201170531897e+19,0.8062328583055145,6.35394626649875e-11,-10.241152,field,11.0,0.1,
385-093,Catinella2005,1.3208999628e+20,4.280298,1.4846959669995895e-10,4.232390088725085e-11,1.8794196915624927e-21,4.958497497829931e-22,3.8814248534806334e+40,7861415238.983091,2243131284.142431,1.4692580177346247e+20,0.8990251860844901,5.3506022387437526e-11,-10.451724,field,11.0,0.1,
385-093,Catinella2005,1.8894068946e+20,6.122511,1.2047875996564873e-10,3.2987445726931427e-11,1.0843836462377403e-21,2.718595808631166e-22,6.444293001120677e+40,18150164033.994347,4993642256.963385,1.8931721943491078e+20,0.9980111160726178,9.587170194116739e-11,-10.642372,field,11.0,0.1,
385-093,Catinella2005,2.4579141349999998e+20,7.964725,1.0296389283656077e-10,2.7247313503470013e-11,6.897572645739456e-22,1.6936246405029832e-22,9.320348808348546e+40,200359803537.726,79588586722.32,2.2767668587077265e+20,1.079563384190813,8.800189741493713e-10,-10.813335,field,11.0,0.1,
385-094,Catinella2005,1.543e+19,0.5,1.978784573263018e-11,4.8891086506853446e-12,6.638645632708066e-21,1.583086687482238e-21,7.059015991112801e+37,351217772.84594214,86780074.68802004,6.265771615470757e+18,2.4625857670748696,5.6053395240061687e-11,-11.840047,field,11.0,0.1,
385-094,Catinella2005,4.008825096e+19,1.299036,2.2484966514543855e-11,5.384541006218276e-12,1.1693646829896372e-21,2.7649858188306396e-22,5.414274367971633e+38,470087285.3657884,112576959.63771242,1.7352921735700752e+19,2.3101729824277997,2.708980611597308e-11,-12.045855,field,11.0,0.1,
385-094,Catinella2005,6.474650192000001e+19,2.098072,1.9703411450801684e-11,4.6707399574551615e-12,5.907824133777776e-22,1.3817347352597048e-22,1.237621494450404e+39,639449667.2124071,151590284.49518698,2.6235926154102116e+19,2.4678565391478116,2.4373054850683287e-11,-12.235559,field,11.0,0.1,
385-094,Catinella2005,8.940472202e+19,2.897107,1.7473864977589913e-11,4.11335022753331e-12,3.8457648812445876e-22,8.934141047228176e-23,2.0927805366611923e+39,1266710105.7423642,298217617.57437444,3.411648831781684e+19,2.6205722343735385,3.712897101079548e-11,-12.408726,field,11.0,0.1,
385-094,Catinella2005,1.1406297298e+20,3.696143,1.606641836566636e-11,3.762042423847437e-12,2.592306093990592e-22,6.007263651359914e-23,3.1320035338387457e+39,3039737506.6431365,712102519.6468738,4.173626678805036e+19,2.732946230175472,7.283204130546369e-11,-12.565552,field,11.0,0.1,
385-135,Catinella2005,2.4053796139999998e+19,0.779449,4.92842588113987e-12,4.260344208198224e-11,2.6371151431936048e-20,1.0358663851975394e-20,4.272570908569676e+37,130698613.46238479,1129836591.8645458,4.874691293114025e+18,4.934424498629959,2.6811669827586677e-11,-9.744496,field,11.0,0.1,
385-135,Catinella2005,4.869655538e+19,1.577983,1.0948392753208097e-10,5.544618742774502e-11,8.142789660184137e-21,2.8650236460364627e-21,3.8900989642546556e+39,3374834376.4871,1718845787.805125,4.651390516773414e+19,1.0469246820793694,7.255538670247284e-11,-9.881683,field,11.0,0.1,
385-135,Catinella2005,7.333934548e+19,2.376518,1.4573116531968601e-10,5.595484392507943e-11,5.0965167981249636e-21,1.5608402061175459e-21,1.1744655839086362e+40,6652208607.532203,2582624264.9403453,8.082070334494661e+19,0.9074326558008804,8.230822465303549e-11,-10.011987,field,11.0,0.1,
385-135,Catinella2005,9.798213558000001e+19,3.175053,1.5295517044473913e-10,5.208560207702499e-11,3.6993339338859125e-21,1.0412458972795033e-21,2.200248643250571e+40,13448827121.420166,4667737266.723755,1.1062119840946063e+20,0.8857446582464461,1.2157549651233922e-10,-10.135194,field,11.0,0.1,
385-135,Catinella2005,1.2262489482e+20,3.973587,1.483793324003351e-10,4.707796575971234e-11,2.6313311681199905e-21,7.180425441638873e-22,3.343062578382545e+40,24300182900.384502,7977791978.214183,1.3635615023449042e+20,0.899298598626634,1.7821112475378413e-10,-10.25121,field,11.0,0.1,
385-156,Catinella2005,3.116313778e+19,1.009823,1.0514183719750627e-10,3.9801797764814604e-11,3.719900182012896e-20,1.035344899962704e-20,1.5299305566526006e+39,4132429952.7014775,1564443521.558328,2.9170128178068648e+19,1.0683236491031185,1.4166649962849376e-10,-10.169314,field,11.0,0.1,
385-156,Catinella2005,1.0725062798e+20,3.475393,1.7927333079521617e-10,5.11847620546543e-11,3.332143391506801e-21,9.0642315415294e-22,3.089791490185889e+40,8302127943.657272,2370739840.2272396,1.3108924569894049e+20,0.8181497071568461,6.333187668745868e-11,-10.366337,field,11.0,0.1,
385-156,Catinella2005,1.8333814904e+20,5.940964,1.4765099668639756e-10,4.049633203783994e-11,1.3014859939767519e-21,3.401818084642379e-22,7.436282251737563e+40,11735027655.857613,3220557423.80572,2.0336696664752056e+20,0.9015139088825823,5.770370601139458e-11,-10.549407,field,11.0,0.1,
385-156,Catinella2005,2.5942567009999998e+20,8.406535,1.1726818518457466e-10,3.1409765113650537e-11,6.926028406324845e-22,1.7507287092818555e-22,1.1825510450881756e+41,16326459726.346722,4380402920.03811,2.5645574138823128e+20,1.0115806676648846,6.366189985831192e-11,-10.717997,field,11.0,0.1,
385-156,Catinella2005,3.3551319116e+20,10.872106,9.613861175985192e-11,2.5228108417426165e-11,4.12979387251312e-22,1.0084675778874593e-22,1.6215518639081634e+41,16484362374.342817,4332024508.877907,3.003086903466038e+20,1.117227712500643,5.489139310393333e-11,-10.872064,field,11.0,0.1,
385-156,Catinella2005,4.1160071222e+20,13.337677,8.159082257298145e-11,2.102658236361045e-11,2.757271456965123e-22,6.616928063278421e-23,2.0711299285196157e+41,17290816658.60704,4463462917.63678,3.393955551533234e+20,1.2127463249601416,5.0945913687042363e-11,-11.012045,field,11.0,0.1,
386-007,Catinella2005,2.7117021460000002e+19,0.878711,6.207583813978641e-11,2.4117022507875874e-11,2.1788017444973547e-20,6.037544966376942e-21,6.839437092168884e+38,1764707451.0733514,685745216.7007946,1.950350463231654e+19,1.3903666018602712,9.048155623011982e-11,-10.369948,field,11.0,0.1,
386-007,Catinella2005,6.570621706e+19,2.129171,1.0936539887443209e-10,3.1998284003360406e-11,4.176320228339685e-21,1.124775473145994e-21,7.074677821104145e+39,3636595331.9315443,1064439170.7781789,6.2727186940784206e+19,1.0474918494595982,5.797478747715193e-11,-10.528688,field,11.0,0.1,
386-007,Catinella2005,1.0429541266e+20,3.379631,1.0963887564871849e-10,3.0074934398452905e-11,2.026973256695414e-21,5.229853080926334e-22,1.786935120057225e+40,5518323978.692743,1514796469.7941678,9.969121070946157e+19,1.0461846327050521,5.5354167528120974e-11,-10.6783,field,11.0,0.1,
386-007,Catinella2005,1.4288463912000001e+20,4.630092,9.852247460364908e-11,2.6183017059898087e-11,1.2767666229089413e-21,3.1943453876010593e-22,3.013840008181517e+40,10196136016.628056,2714765284.7908516,1.2946804050486567e+20,1.1036286527765138,7.875407688930662e-11,-10.818473,field,11.0,0.1,
386-007,Catinella2005,1.8147383471999998e+20,5.880552,8.635450608826208e-11,2.2472774228639054e-11,8.525103710067712e-22,2.1067112481779984e-22,4.2611501236103682e+40,18937283546.890034,4959213087.87655,1.539451090621145e+20,1.1788216970685184,1.2301321985649527e-10,-10.949098,field,11.0,0.1,
386-010,Catinella2005,2.193355984e+19,0.710744,1.9769274986651884e-10,7.182103984955316e-11,8.60197495418008e-20,2.3742092683415473e-20,1.4250259985088123e+39,6055531205.12059,2199959650.649844,2.8152299364421095e+19,0.7791036730633681,2.1509899162174925e-10,-9.94225,field,11.0,0.1,
386-010,Catinella2005,9.836773128000001e+19,3.187548,2.614742259346181e-10,7.359167513605624e-11,3.8442337885599444e-21,1.0540917641019417e-21,3.790949453727192e+40,9107273540.43642,2563278974.902989,1.4520329614651567e+20,0.6774483354754096,6.272084575302502e-11,-10.235597,field,11.0,0.1,
386-010,Catinella2005,1.7480187186e+20,5.664351,1.5982466490768126e-10,4.414887981046965e-11,9.575103508583083e-22,2.5680531004301843e-22,7.317281419571592e+40,8315468026.056166,2297258548.7481356,2.0173319053108406e+20,0.8665003086493378,4.1220128448694104e-11,-10.496053,field,11.0,0.1,
386-010,Catinella2005,2.5123604329999997e+20,8.141155,1.0178144928296488e-10,2.7791992806909913e-11,3.2720637028357207e-22,8.560001346007206e-23,9.626010220884223e+40,7270802152.570459,1986424268.6776993,2.3137990443961293e+20,1.0858161771156285,3.1423654401534436e-11,-10.723133,field,11.0,0.1,
386-010,Catinella2005,3.2767018388e+20,10.617958,6.880863996714761e-11,1.8619571780390644e-11,1.0256176666980686e-22,2.576059782686166e-23,1.1069566695863847e+41,5035172459.229578,1364312317.0471716,2.4812343723805986e+20,1.3205934414233498,2.0293014296745478e-11,-10.918828,field,11.0,0.1,
386-010,Catinella2005,4.0410435531999995e+20,13.094762,4.825183178198979e-11,1.299543103078571e-11,3.808586965993842e-23,8.830456710184191e-24,1.180632312339377e+41,3711712380.970085,1001602526.5966597,2.562476024693207e+20,1.5770073609503583,1.44848667663709e-11,-11.086896,field,11.0,0.1,
386-011,Catinella2005,2.531097082e+19,0.820187,7.462668272797376e-11,6.217598708357493e-11,6.090136847393729e-20,1.9626124137310936e-20,7.163504548103964e+38,2384889511.296864,1987181685.2349217,1.99602165473486e+19,1.268070953035936,1.194821461801054e-10,-9.709075,field,11.0,0.1,
386-011,Catinella2005,8.781700587999999e+19,2.845658,2.2652962829182258e-10,7.850904394324128e-11,5.4104126176333055e-21,1.661072942562593e-21,2.61755648099798e+40,8580026088.393824,2975608513.8876667,1.2065644047660184e+20,0.7278269235617787,7.111121507067577e-11,-9.941457,field,11.0,0.1,
386-011,Catinella2005,1.5032304094e+20,4.871129,1.9411124286633603e-10,6.085786166736517e-11,2.0861225708294684e-21,5.878188773527151e-22,6.572272976575491e+40,11677271678.041996,3666862567.220175,1.911878435938175e+20,0.7862583630545276,6.107747991996082e-11,-10.153718,field,11.0,0.1,
386-011,Catinella2005,2.1282907600000002e+20,6.8966,1.5611888995612897e-10,4.63459393218883e-11,1.1602763868390982e-21,3.0368981934203398e-22,1.0595737035185159e+41,22810998915.840103,6823185879.791772,2.4275493296193752e+20,0.8767240006338833,9.396719002788185e-11,-10.345256,field,11.0,0.1,
386-011,Catinella2005,2.7533511106e+20,8.922071,1.2850012314138271e-10,3.6598871016112033e-11,7.28987484127964e-22,1.8457498018828918e-22,1.4596224512913568e+41,65744799943.03123,20255927143.764927,2.8491987528541123e+20,0.9663597907453457,2.3074838102176286e-10,-10.516459,field,11.0,0.1,
388-065,Catinella2005,3.1090339039999996e+19,1.007464,7.756058985264313e-11,2.2331540787614776e-11,2.328701694925682e-20,5.884665326661869e-21,1.1233260156367162e+39,3096621423.576367,891611138.6577145,2.4995129239446237e+19,1.243855902570592,1.2388899428811163e-10,-10.71166,field,11.0,0.1,
388-065,Catinella2005,1.1481142056000001e+20,3.720396,1.0958545463069882e-10,2.7974265261967995e-11,1.763274115326346e-21,4.409245307639654e-22,2.1643968458917338e+40,5180988906.909491,1322618964.2204633,1.0971624214871071e+20,1.0464396001130192,4.7221713079519405e-11,-10.924262,field,11.0,0.1,
388-065,Catinella2005,1.9853247122e+20,6.433327,8.438866285141401e-11,2.1175939558059035e-11,6.269101730862993e-22,1.537482577323829e-22,4.983804525533605e+40,6316196833.982703,1585078886.8866706,1.6648801609377995e+20,1.1924730432739972,3.7937846712191545e-11,-11.120487,field,11.0,0.1,
388-065,Catinella2005,2.8225355274e+20,9.146259,6.449663447576914e-11,1.60056268877528e-11,3.2857515490478264e-22,7.917825684959872e-23,7.698917840527167e+40,11579511400.306835,2874818979.0085945,2.069270758578134e+20,1.3640242658913615,5.5959382561726766e-11,-11.299736,field,11.0,0.1,
388-065,Catinella2005,3.6597463425999995e+20,11.859191,5.153970851607784e-11,1.2662040220253472e-11,2.0091511086980041e-22,4.802126666849875e-23,1.0343266784804084e+41,30779116536.28379,7595047752.141356,2.3984537123214485e+20,1.5258774116836107,1.283289995473495e-10,-11.462076,field,11.0,0.1,
388-074,Catinella2005,2.4153720820000002e+19,0.782687,1.232071415506431e-10,3.6412096807167955e-11,4.9420606733745295e-20,1.2871735014611812e-20,1.077005110351644e+39,4349614586.335584,1285498360.878677,2.4474360915195298e+19,0.9868989390037056,1.7772127335243536e-10,-10.456819,field,11.0,0.1,
388-074,Catinella2005,1.0711669558e+20,3.471053,1.6574340287617863e-10,4.315664633691682e-11,2.5996771264724564e-21,6.687183550725907e-22,2.849471924514441e+40,6976290470.658074,1816580510.716393,1.258880972140515e+20,0.8508881931694153,5.541660113263979e-11,-10.66387,field,11.0,0.1,
388-074,Catinella2005,1.9007963948e+20,6.159418,1.170542367479553e-10,3.01625245708226e-11,8.807513647952713e-22,2.214153223517171e-22,6.336831138236569e+40,8005178930.834377,2062979116.4863665,1.8773210304533882e+20,1.0125047149452868,4.264150244404955e-11,-10.855739,field,11.0,0.1,
388-074,Catinella2005,2.7304261424e+20,8.847784,8.718541075126124e-11,2.2215172440087906e-11,4.535730847770146e-22,1.1168974240127423e-22,9.739092316237798e+40,15890835176.583975,4051530961.694724,2.327350104707266e+20,1.1731909766723443,6.827866226247349e-11,-11.031804,field,11.0,0.1,
388-074,Catinella2005,3.56005589e+20,11.53615,6.97767723708884e-11,1.7546467192158518e-11,2.746683800334444e-22,6.698903336587323e-23,1.3250684286532275e+41,75957606991.99069,19490581727.550846,2.7146986776975878e+20,1.311400016232882,2.798012450369353e-10,-11.192021,field,11.0,0.1,
389-026,Catinella2005,3.5401882219999998e+19,1.147177,2.5625196229651794e-11,1.7486290485769802e-11,1.1429102499995828e-20,3.289672329317592e-21,4.8120895777223485e+38,978074183.9774288,667602122.2760311,1.6359473769480624e+19,2.163998837544756,5.978640864366143e-11,-10.298287,field,11.0,0.1,
389-026,Catinella2005,8.239718752e+19,2.670032,7.19370688843588e-11,2.34474537937886e-11,2.4930026240799967e-21,6.802822001707297e-22,7.317981582303957e+39,3213334303.4488125,1048705608.5521903,6.379668818487407e+19,1.2915590113584616,5.036835602088011e-11,-10.524417,field,11.0,0.1,
389-026,Catinella2005,1.2939249282e+20,4.192887,8.001645238061261e-11,2.271232994933337e-11,1.3217432343511822e-21,3.350810375170518e-22,2.007295217971261e+40,5420487142.602177,1542078901.9479527,1.0565939098797685e+20,1.2246189535081058,5.130151794286778e-11,-10.729975,field,11.0,0.1,
389-026,Catinella2005,1.7638776726000003e+20,5.715741,7.610249263992195e-11,2.0325521098628885e-11,8.78504836503957e-22,2.1218038866223444e-22,3.547722197220656e+40,10663593349.151789,2863099133.123329,1.4046796178088278e+20,1.2557152892639594,7.591477240757592e-11,-10.914705,field,11.0,0.1,
389-026,Catinella2005,2.2338307256e+20,7.238596,6.92071664305427e-11,1.785363651670314e-11,5.998861707274721e-22,1.4222855618760611e-22,5.174464196317805e+40,20820051758.840256,5455914832.276811,1.6964269815857345e+20,1.3167856617748013,1.2272884117522536e-10,-11.079345,field,11.0,0.1,
389-029,Catinella2005,3.7932803400000004e+19,1.22919,6.464069700424711e-11,2.1547390813435797e-11,1.6100946054489802e-20,4.301815973272354e-21,1.3936371304623398e+39,2817344569.286573,939219902.0381205,2.7840519344871027e+19,1.3625034407624386,1.0119583382720207e-10,-10.538525,field,11.0,0.1,
389-029,Catinella2005,1.0411429532e+20,3.373762,1.0751840846231732e-10,2.951682827974503e-11,2.4196090816916175e-21,6.333073206918651e-22,1.7462939638507605e+40,5491410938.57038,1507799490.381874,9.855102703143168e+19,1.056450637361638,5.5721498841599697e-11,-10.684627,field,11.0,0.1,
389-029,Catinella2005,1.7029578724e+20,5.518334,1.0229707591386719e-10,2.701361392540129e-11,1.1446047876307185e-21,2.907112506710747e-22,4.445133685352791e+40,8760873662.275726,2314558274.6601067,1.5723343107209665e+20,1.0830762012813537,5.571889898057736e-11,-10.823285,field,11.0,0.1,
389-029,Catinella2005,2.3647727916000002e+20,7.662906,8.955224484543441e-11,2.3178732781435802e-11,6.782288797521586e-22,1.6855864981762646e-22,7.503590318898607e+40,13177957437.784145,3414674877.5004573,2.0428526172228157e+20,1.1575836512449065,6.45076268678604e-11,-10.954219,field,11.0,0.1,
389-029,Catinella2005,3.0265880194e+20,9.807479,7.804869868992878e-11,1.9898607639969032e-11,4.327929376778725e-22,1.0543973823392467e-22,1.0712382746502033e+41,12997066026.250982,3316607216.2695985,2.4408748849909426e+20,1.2399603265249832,5.324757162348045e-11,-11.077282,field,11.0,0.1,
389-029,Catinella2005,3.6884029386e+20,11.952051,6.902490889349119e-11,1.7371794718975526e-11,3.050497429347199e-22,7.300577578165495e-23,1.4070073252169982e+41,13851796066.643713,3488711600.131447,2.7973747944126477e+20,1.318522975886911,4.951712617955476e-11,-11.192476,field,11.0,0.1,
389-029,Catinella2005,4.3502178578e+20,14.096623,6.212586026209078e-11,1.545918835626457e-11,2.243940800856421e-22,5.32500507272641e-23,1.761603753080938e+41,14090794481.905094,3508647192.7621074,3.130088317186138e+20,1.3898067456801746,4.5017242499318123e-11,-11.299942,field,11.0,0.1,
390-041,Catinella2005,4.086475028e+19,1.324198,7.628073913787662e-11,2.5692045868646558e-11,1.6996283280422116e-20,4.586626226606448e-21,1.908650405591526e+39,3473965056.1806507,1170157683.0544698,3.258109473160502e+19,1.254247305581156,1.0662517895111608e-10,-10.452245,field,11.0,0.1,
390-041,Catinella2005,1.0737008704e+20,3.479264,1.2516063800345932e-10,3.480388209268663e-11,2.764889675338046e-21,7.322215583300656e-22,2.1619625976695995e+40,6648956738.787436,1849183160.9372072,1.0965452710234579e+20,0.9791669334343706,6.063549690549162e-11,-10.585182,field,11.0,0.1,
390-041,Catinella2005,1.7387545466000002e+20,5.634331,1.201505749492664e-10,3.2134510495778496e-11,1.3210682838256093e-21,3.4014722635732892e-22,5.442722701978086e+40,10487325815.589737,2806042202.0557265,1.7398450915958424e+20,0.9993731941992365,6.027735380723132e-11,-10.712023,field,11.0,0.1,
390-041,Catinella2005,2.4038079142e+20,7.789397,1.0549662785025097e-10,2.767736165952604e-11,7.813440065539396e-22,1.971128281269685e-22,9.133808394598878e+40,15205337374.490484,3993079681.7513413,2.2538677354263885e+20,1.066525722169427,6.746330823008088e-11,-10.832546,field,11.0,0.1,
390-041,Catinella2005,3.0688615903999997e+20,9.944464,9.171779584906106e-11,2.3722567371761403e-11,4.913706291643175e-22,1.2152816267705425e-22,1.2942614334844223e+41,15017064109.79535,3887864507.7816525,2.6829555852757847e+20,1.1438361511618342,5.597209358294958e-11,-10.946614,field,11.0,0.1,
390-041,Catinella2005,3.733914958e+20,12.09953,8.063887362735913e-11,2.0600259382327632e-11,3.410552000738146e-22,8.280927723386898e-23,1.6845623710626724e+41,16293093676.500177,4167226925.292111,3.060878041846854e+20,1.2198836108305229,5.323013022325238e-11,-11.054191,field,11.0,0.1,
390-041,Catinella2005,4.3989686342000004e+20,14.254597,7.202667219825295e-11,1.8194942551977245e-11,2.554741699163228e-22,6.111131098798717e-23,2.088376887812106e+41,17671398397.575382,4469024992.895239,3.4080575295000025e+20,1.2907553925139799,5.1851819532424266e-11,-11.155339,field,11.0,0.1,
390-041,Catinella2005,5.0640220017999997e+20,16.409663,6.531453831837337e-11,1.633344102263045e-11,2.0107164590175185e-22,4.7494795565412825e-23,2.5096596421614363e+41,18845925044.40642,4716359669.206103,3.7360260138933525e+20,1.3554568364803028,5.044377360950676e-11,-11.25021,field,11.0,0.1,
390-041,Catinella2005,5.7290756780000005e+20,18.56473,6.000467955527671e-11,1.4871394301453162e-11,1.6021132758862405e-22,3.760791142172326e-23,2.950992030656648e+41,19255828285.81745,4775050238.582708,4.051226235413428e+20,1.414158416510982,4.7530863908547904e-11,-11.339043,field,11.0,0.1,
390-060,Catinella2005,2.1286308371999998e+20,6.897702,4.522239334141684e-12,1.9376738966053832e-11,8.574505703550503e-22,3.0540111110805003e-22,3.070209701487254e+39,1266546423.4530292,5432290924.125841,4.132249140170311e+19,5.151264517202533,3.065029189892525e-11,-10.098924,field,11.0,0.1,
390-060,Catinella2005,2.6333507662e+20,8.533217,2.5903283037990193e-11,2.0941929281717667e-11,6.641265434930896e-22,2.1824391080143334e-22,2.691448238300773e+40,8075291381.867529,6714106712.483871,1.223476111414364e+20,2.152351600192497,6.600285290844234e-11,-10.186777,field,11.0,0.1,
390-060,Catinella2005,3.1380706952e+20,10.168732,4.1479563977284634e-11,2.1887173908703205e-11,6.1839417041010455e-22,1.8092982715906268e-22,6.120310092492467e+40,19038564496.07613,11019794227.866282,1.844969501945193e+20,1.700879441037622,1.0319175724044946e-10,-10.271036,field,11.0,0.1,
