galaxy,source,R_m,R_kpc,g_dm,sigma_gdm,rho_dm,sigma_rho_dm,M_dm_enc,cs2,sigma_cs2,xi_eff,X_TF,g_star,log_gbar,env_dense,logMh,sigma_log_gobs,T
UGC11557,SPARC,1.9485565651999998e+20,6.314182,2.783793162637261e-11,5.8115070860969475e-12,2.3766101494681404e-22,3.9472788605620624e-23,1.5837141485851543e+40,175412243786.40305,69042991459.90756,9.385142614640671e+19,2.0762141239710976,1.869041856782898e-09,-11.055051,field,11.0,0.06887,8.0
UGC11820,SPARC,1.1691335688000001e+20,3.788508,8.826734865461882e-12,2.3212948853704705e-12,6.314492829729669e-22,9.510562112567886e-23,1.807765692049816e+39,382613066.4915784,165311727.24547198,3.170834305134385e+19,3.6871481013904646,1.2066637032153676e-11,-11.67027,field,11.0,0.091954,9.0
UGC11820,SPARC,1.4947152096e+20,4.843536,1.0761670951178248e-11,4.667993087401687e-12,8.49015024628334e-22,4.1564604567077516e-23,3.6025532929232586e+39,210267034.21259728,113266674.01984741,4.476181471314755e+19,3.3392641008385406,4.697464469661842e-12,-11.647656,field,11.0,0.155795,9.0
UGC11820,SPARC,7.7843581586e+20,25.224751,2.3290530780791796e-12,1.502033648460957e-13,2.5255782647664753e-25,1.4812381557992011e-25,2.1146514912051241e+40,328210858.5931336,34359357.9253718,1.0844808301787772e+20,7.177958283796261,3.0264330125506036e-12,-11.649316,field,11.0,0.01427,9.0
UGC11820,SPARC,1.17061358354e+21,37.933039,5.167931034298071e-13,1.4533063544196137e-13,9.179609969169093e-26,9.187685288551884e-26,1.0611032033049446e+40,108602821.5808284,30898940.134809997,7.682123609858366e+19,15.23815084201154,1.4137083324389607e-12,-11.447526,field,11.0,0.01545,9.0
UGC11914,SPARC,1.38322235e+19,0.448225,1.4972472010762458e-10,1.7464007150710685e-10,1.2504621852748761e-19,3.1934755336448555e-20,4.292312200967697e+38,550009677.5569743,648988261.1307707,1.5450698913333555e+19,0.8952490484468083,3.559772154270187e-11,-8.385141,field,11.0,0.017765,2.0
UGC11914,SPARC,1.549209032e+19,0.502012,2.664131210399401e-10,1.1922694573833725e-10,9.234296412909244e-20,1.0399826318634701e-20,9.580528090930135e+38,1097715008.5531387,491486868.77515495,2.308326314288986e+19,0.6711395275486385,4.755458540493476e-11,-8.412771,field,11.0,0.012531,2.0
UGC11914,SPARC,1.7151957140000002e+19,0.555799,3.179931354577366e-10,8.738696165428296e-11,5.895964241684189e-20,1.5902154945391636e-20,1.4017123771310766e+39,1681177275.010434,1078699525.9272876,2.7921061949976048e+19,0.6143017472161267,6.021179559797782e-11,-8.433621,field,11.0,0.009482,2.0
UGC11914,SPARC,1.899624332e+19,0.615562,3.0662198905296164e-10,1.0763146495413482e-10,4.0988882141364096e-20,2.1598043026274424e-20,1.6578778979472664e+39,2932433597.494727,5974180353.455441,3.0365382003881845e+19,0.6255888141822672,9.657160239643457e-11,-8.455563,field,11.0,0.01227,2.0
UGC11914,SPARC,2.0656110139999998e+19,0.669349,3.1645440291107216e-10,1.435278896588788e-10,4.0879030815483605e-20,3.829245905777782e-20,2.0231217609069314e+39,7063924760.13683,15134612819.691114,3.3543894914341786e+19,0.6157934310475204,2.1058749373545855e-10,-8.475598,field,11.0,0.017024,2.0
UGC11914,SPARC,2.231597696e+19,0.723136,3.2289713226647904e-10,1.257374340375348e-10,3.823663845244581e-20,4.368265444391363e-20,2.409404928352227e+39,3285332159.0701694,1669814510.9946117,3.6606429867605185e+19,0.6096190489132757,8.974740697064042e-11,-8.496125,field,11.0,0.015542,2.0
UGC11914,SPARC,2.3975843780000002e+19,0.776923,3.276159660947978e-10,2.3692722822135555e-10,2.9125280444675595e-20,1.179304944455129e-20,2.821802777961095e+39,1926045871.5508466,1743876806.569393,3.961556064237085e+19,0.6052127848559746,4.861841761973811e-11,-8.517589,field,11.0,0.030584,2.0
UGC11914,SPARC,2.6004580180000002e+19,0.842663,3.1182799514448613e-10,1.4547352223664088e-10,1.961329164462823e-20,2.203762630543575e-20,3.15957445509813e+39,1699820445.0494237,1902256101.27592,4.191956575129418e+19,0.6203446937948579,4.0549571890470866e-11,-8.544248,field,11.0,0.019944,2.0
UGC11914,SPARC,2.7664447e+19,0.89645,3.021964836039214e-10,7.439015547540345e-11,1.4512176985527948e-20,5.1428476472734734e-21,3.46535068552542e+39,2598316789.663741,12064448946.789307,4.3901167861455815e+19,0.6301528717255089,5.91855961067724e-11,-8.565883,field,11.0,0.0107,2.0
UGC11914,SPARC,2.9324313819999998e+19,0.950237,2.805635421051504e-10,1.2125491892282653e-10,1.2707059692144156e-20,3.666779088326838e-20,3.614937147257174e+39,4923795195.790309,15195244630.324009,4.4838683560063754e+19,0.6539958690071387,1.098113237244048e-10,-8.587095,field,11.0,0.01836,2.0
UGC11914,SPARC,3.098418064e+19,1.004024,2.6847990924817564e-10,1.9161066012753002e-10,1.283197044472097e-20,3.2763790960784136e-20,3.8619408869383786e+39,1195991315.7705033,1119008563.5344079,4.634525639105072e+19,0.6685512834056313,2.5806121465355608e-11,-8.608214,field,11.0,0.030445,2.0
UGC11914,SPARC,3.2828466820000002e+19,1.063787,2.601088488462128e-10,1.531789981844961e-10,7.21361097011075e-21,4.306044640516145e-21,4.200201499449754e+39,697040523.0567919,1023860728.2514733,4.833230873108903e+19,0.679224056989514,1.442183378689773e-11,-8.631267,field,11.0,0.025611,2.0
UGC11914,SPARC,6.897666728000001e+19,2.235148,8.577992329024545e-11,1.5918866838304025e-10,1.1029996473132893e-20,1.7929219438789355e-20,6.115104246212531e+39,9310789719.858719,530818234905.40717,5.831824024209923e+19,1.1827631799871523,1.596548469433646e-10,-8.939125,field,11.0,0.055923,2.0
