name,ra,dec,Vsys,D_use,dist_source,sigma_D_dex,Inc,n_pts,n_gas_dom,rms_all,rms_gas,env_class,env_dense,logMh,team_release
WALLABY J131035-214450,197.646017,-21.747439,2955.6,41.13,CF4,0.0625,65.4,5,5,0.0266,0.0266,field,field,11.0,NGC5044 TR3
WALLABY J130213-145817,195.555229,-14.971501,4855.7,68.12,CF4,0.0515,42.1,8,8,0.3323,0.3323,field,field,11.0,NGC5044 TR3
WALLABY J133314-160715,203.308504,-16.121087,6116.8,84.47,CF4,0.0478,64.0,7,7,0.1960,0.1960,field,field,11.0,NGC5044 TR3
WALLABY J130947-101916,197.448170,-10.321176,1211.1,19.15,CF4,0.0884,48.4,6,6,0.1111,0.1111,field,field,11.0,NGC5044 TR3
WALLABY J130225-174046,195.608220,-17.679477,4647.7,66.41,CF4,0.0519,82.2,8,8,0.1976,0.1976,field,field,11.0,NGC5044 TR3
WALLABY J131702-104612,199.258850,-10.770257,2831.1,40.74,CF4,0.0627,62.9,5,5,0.1437,0.1437,field,field,11.0,NGC5044 TR3
WALLABY J130203-145302,195.514942,-14.884083,1350.0,21.16,CF4,0.0842,55.8,6,6,0.1156,0.1156,field,field,11.0,NGC5044 TR3
WALLABY J133103-150604,202.764478,-15.101250,4218.9,60.50,CF4,0.0537,71.4,5,5,0.0227,0.0227,field,field,11.0,NGC5044 TR3
WALLABY J125939-145813,194.914351,-14.970294,4945.9,69.46,CF4,0.0511,77.2,6,6,0.1929,0.1929,field,field,11.0,NGC5044 TR3
WALLABY J132529-201001,201.374235,-20.167500,8072.1,112.83,CF4,0.0436,69.8,4,4,0.0738,0.0738,field,field,11.0,NGC5044 TR3
WALLABY J130235-113803,195.649880,-11.634255,3483.1,50.07,CF4,0.0577,65.3,6,6,0.0631,0.0631,field,field,11.0,NGC5044 TR3
WALLABY J125956-192430,194.983337,-19.408434,830.1,10.44,CF4,0.1217,64.5,7,7,0.0900,0.0900,field,field,11.0,NGC5044 TR3
WALLABY J130223-122031,195.599000,-12.341988,5130.1,70.93,CF4,0.0507,52.0,4,4,0.1556,0.1556,field,field,11.0,NGC5044 TR3
WALLABY J130148-114530,195.453465,-11.758563,5934.1,82.02,CF4,0.0482,66.4,4,4,0.1075,0.1075,field,field,11.0,NGC5044 TR3
WALLABY J130815-210002,197.063408,-21.000732,1638.1,24.45,CF4,0.0786,78.5,6,6,0.0737,0.0737,field,field,11.0,NGC5044 TR3
WALLABY J133138-232047,202.911717,-23.346660,7502.6,106.66,CF4,0.0443,57.6,4,4,0.0315,0.0315,field,field,11.0,NGC5044 TR3
WALLABY J131739-213708,199.415309,-21.619138,2926.9,40.55,CF4,0.0628,44.1,4,4,0.0815,0.0815,field,field,11.0,NGC5044 TR3
WALLABY J133103-160750,202.764990,-16.130719,5836.5,79.73,CF4,0.0487,70.9,6,6,0.1842,0.1842,field,field,11.0,NGC5044 TR3
