sparc_galaxy,analog_rank,eagle_galaxy_id,match_distance,eagle_log_Mstar,eagle_log_Rhalf,eagle_Vflat
NGC3972,2,11581939,0.0179,9.862,0.569,130.8
NGC3972,3,9385840,0.0221,9.833,0.566,135.7
NGC3972,4,10419778,0.0244,9.839,0.570,128.7
NGC3972,5,11175822,0.0246,9.844,0.571,127.2
NGC4088,1,17514526,0.0205,10.709,0.639,233.0
NGC4088,2,18188054,0.0358,10.715,0.648,237.3
NGC4088,3,18345325,0.0370,10.770,0.634,242.7
NGC4088,4,17542160,0.0532,10.748,0.654,250.5
NGC4088,5,15904404,0.0533,10.747,0.619,233.0
NGC4100,1,9029372,0.0258,10.496,0.562,194.4
NGC4100,2,9400186,0.0315,10.491,0.548,199.0
NGC4100,3,9051080,0.0504,10.423,0.565,180.8
NGC4100,4,9370937,0.0514,10.439,0.571,185.4
NGC4100,5,9244411,0.0536,10.526,0.565,190.0
NGC4157,1,16975467,0.0263,10.751,0.593,231.0
NGC4157,2,17382930,0.0338,10.758,0.594,237.6
NGC4157,3,18038631,0.0391,10.728,0.604,234.1
NGC4157,4,16185808,0.0605,10.657,0.588,261.7
NGC4157,5,18310326,0.0698,10.646,0.593,212.5
NGC4183,1,11310647,0.0058,9.740,0.671,129.7
NGC4183,2,11287252,0.0099,9.745,0.670,120.8
NGC4183,3,11740129,0.0117,9.737,0.674,114.1
NGC4183,4,10893680,0.0135,9.745,0.667,129.1
NGC4183,5,11258116,0.0136,9.747,0.672,119.7
NGC4559,1,3423392,0.0108,9.993,0.550,125.8
NGC4559,2,11154459,0.0157,9.977,0.552,148.2
NGC4559,3,9959733,0.0198,10.007,0.549,144.5
NGC4559,4,9995575,0.0261,9.958,0.547,136.3
NGC4559,5,10236269,0.0269,9.957,0.546,138.2
NGC5005,1,14681034,0.0318,10.917,1.198,346.1
NGC5005,2,14829298,0.0498,10.957,1.183,299.3
NGC5005,3,16069544,0.0785,10.871,1.191,242.0
NGC5005,4,14007135,0.0933,10.997,1.172,321.7
NGC5005,5,20429477,0.1149,11.055,1.222,318.6
NGC5033,1,16996937,0.0056,10.748,0.938,207.4
NGC5033,2,17147637,0.0152,10.740,0.932,231.4
NGC5033,3,16653664,0.0160,10.759,0.939,258.8
NGC5033,4,15841583,0.0214,10.722,0.941,245.2
NGC5033,5,16925427,0.0232,10.746,0.945,240.4
