galaxy,galaxy_key,source,n_points,sigma_res,mean_res,median_res,mean_log_gbar,env_dense,logMh
1437/N753,1437/N753,Vogt2004,1,0.0,-0.137206,-0.137206,-10.205629,dense,14.0
1456/I178,1456/I178,Vogt2004,1,0.0,-0.277763,-0.277763,-10.233164,dense,14.0
1459/522-096,1459/522-096,Vogt2004,1,0.0,-0.19741,-0.19741,-9.999587,dense,14.0
150-053,150-053,Catinella2005,11,0.054319,0.376483,0.350151,-10.290534,field,11.0
150046/421-007,150046/421-007,Vogt2004,1,0.0,-0.126447,-0.126447,-9.697432,dense,14.3
150059/421-011,150059/421-011,Vogt2004,1,0.0,-0.073749,-0.073749,-10.138287,dense,14.3
150063/421-013,150063/421-013,Vogt2004,1,0.0,-0.062601,-0.062601,-10.333643,dense,14.3
150110,150110,Vogt2004,1,0.0,0.247363,0.247363,-10.943555,dense,14.3
150118,150118,Vogt2004,1,0.0,-0.195153,-0.195153,-10.005529,dense,14.3
150138/421-025,150138/421-025,Vogt2004,1,0.0,0.316876,0.316876,-10.778032,dense,14.3
150149/421-033,150149/421-033,Vogt2004,1,0.0,-0.369522,-0.369522,-10.485347,dense,14.3
150203,150203,Vogt2004,1,0.0,0.127876,0.127876,-11.217066,dense,14.3
180141/119-019,180141/119-019,Vogt2004,1,0.0,-0.231063,-0.231063,-10.334819,dense,13.8
180209/119-059,180209/119-059,Vogt2004,1,0.0,-0.291338,-0.291338,-10.496961,dense,13.8
180597/F729,180597/F729,Vogt2004,1,0.0,0.315382,0.315382,-10.781651,dense,13.8
180598,180598,Vogt2004,1,0.0,-0.328569,-0.328569,-10.539094,dense,13.8
180599,180599,Vogt2004,1,0.0,-0.358844,-0.358844,-10.434952,dense,13.8
180814,180814,Catinella2005,5,0.068664,0.471295,0.50082,-10.920981,field,11.0
190185/181-012,190185/181-012,Vogt2004,1,0.0,-0.342806,-0.342806,-10.414346,dense,14.0
190203/N2825,190203/N2825,Vogt2004,1,0.0,0.318361,0.318361,-10.774432,dense,14.0
190224/181-030,190224/181-030,Vogt2004,1,0.0,-0.231092,-0.231092,-10.143261,dense,14.0
190293/181-045,190293/181-045,Vogt2004,1,0.0,-0.197441,-0.197441,-10.063885,dense,14.0
190809,190809,Catinella2005,5,0.114977,0.259252,0.320199,-10.280556,field,11.0
190864,190864,Catinella2005,5,0.090935,0.376995,0.426912,-12.424874,field,11.0
190867,190867,Catinella2005,7,0.108267,0.273877,0.329235,-10.469185,field,11.0
