galaxy,galaxy_key,source,n_points,sigma_res,mean_res,median_res,mean_log_gbar,env_dense,logMh
KK98-251,KK98-251,SPARC,15,0.141169,0.014661,0.01909,-11.302063,field,9.5
LSBCF563-1,LSBCF563-1,deBlok2002,8,0.156737,0.187098,0.165678,-11.519726,field,11.0
M+004027,M+004027,Catinella2005,5,0.129923,0.302413,0.367919,-11.690362,field,11.0
M+008065,M+008065,Catinella2005,5,0.142089,0.22978,0.288722,-11.372745,field,11.0
M+012059,M+012059,Catinella2005,5,0.22217,0.196964,0.265234,-11.933384,field,11.0
M+055011,M+055011,Catinella2005,5,0.103284,0.339352,0.378193,-10.826058,field,11.0
M+631092,M+631092,Catinella2005,7,0.068977,0.40018,0.397721,-10.526618,field,11.0
M+632004,M+632004,Catinella2005,5,0.152813,0.213984,0.272477,-11.994175,field,11.0
M+632024,M+632024,Catinella2005,5,0.105091,0.310524,0.36865,-10.613021,field,11.0
M+648005,M+648005,Catinella2005,11,0.16641,-0.112229,-0.077929,-9.997729,field,11.0
M+720074,M+720074,Catinella2005,5,0.136008,0.283728,0.344325,-11.578441,field,11.0
M+731023,M+731023,Catinella2005,5,0.151706,0.225982,0.285635,-11.28006,field,11.0
M+913011,M+913011,Catinella2005,18,0.09873,0.520391,0.495082,-11.274158,field,11.0
M-103075,M-103075,Catinella2005,5,0.118793,0.040851,0.077066,-10.254573,field,11.0
M-103083,M-103083,Catinella2005,9,0.059494,0.36496,0.37215,-10.51644,field,11.0
M-105017,M-105017,Catinella2005,5,0.056978,0.407989,0.43199,-11.513883,field,11.0
M-106077,M-106077,Catinella2005,9,0.066169,0.387397,0.403537,-11.164576,field,11.0
M-106078,M-106078,Catinella2005,11,0.057532,0.384068,0.390357,-10.711852,field,11.0
M-123021,M-123021,Catinella2005,9,0.06797,0.437725,0.397878,-10.907238,field,11.0
M-124007,M-124007,Catinella2005,9,0.116193,0.278,0.327777,-11.114452,field,11.0
M-127007,M-127007,Catinella2005,6,0.157265,0.253634,0.307225,-11.298466,field,11.0
M-131002,M-131002,Catinella2005,6,0.13026,0.235897,0.286867,-11.007045,field,11.0
M-132035,M-132035,Catinella2005,5,0.074578,0.371331,0.390172,-10.84701,field,11.0
M-133072,M-133072,Catinella2005,6,0.08899,0.250341,0.289607,-11.118619,field,11.0
M-134010,M-134010,Catinella2005,5,0.103177,0.308413,0.3572,-10.820301,field,11.0
M-139005,M-139005,Catinella2005,5,0.061399,-0.035641,-0.021169,-10.501474,field,11.0
M-153012,M-153012,Catinella2005,15,0.133092,0.267509,0.318558,-10.842783,field,11.0
M-156002,M-156002,Catinella2005,7,0.060464,0.429455,0.425268,-11.486973,field,11.0
M-160005,M-160005,Catinella2005,6,0.163572,0.206011,0.256295,-11.89643,field,11.0
M-202038,M-202038,Catinella2005,5,0.115409,0.280678,0.340325,-10.606594,field,11.0
M-202082,M-202082,Catinella2005,7,0.074273,0.487412,0.464651,-11.491803,field,11.0
M-203006,M-203006,Catinella2005,5,0.145124,0.243811,0.3032,-11.44946,field,11.0
M-203014,M-203014,Catinella2005,5,0.147776,0.09796,0.140357,-10.840816,field,11.0
M-203015,M-203015,Catinella2005,7,0.059182,0.418033,0.389999,-10.606618,field,11.0
M-207032,M-207032,Catinella2005,6,0.063338,0.511177,0.490815,-12.527759,field,11.0
M-209029,M-209029,Catinella2005,5,0.078352,0.375742,0.407463,-11.165497,field,11.0
M-213013,M-213013,Catinella2005,5,0.136704,0.174399,0.221798,-10.952323,field,11.0
M-222023,M-222023,Catinella2005,5,0.101259,0.277098,0.325332,-10.43554,field,11.0
M-226012,M-226012,Catinella2005,15,0.101777,0.442275,0.416147,-11.502752,field,11.0
M-231017,M-231017,Catinella2005,7,0.083197,0.07299,0.108371,-10.481846,field,11.0
M-233068,M-233068,Catinella2005,13,0.214483,0.534808,0.433351,-10.90129,field,11.0
M-234055,M-234055,Catinella2005,10,0.178708,0.305083,0.35446,-11.322767,field,11.0
M-234061,M-234061,Catinella2005,5,0.081507,0.387063,0.416076,-11.661653,field,11.0
M-237006,M-237006,Catinella2005,5,0.104412,0.322801,0.382906,-11.674232,field,11.0
M-238015,M-238015,Catinella2005,5,0.095459,0.355615,0.400069,-11.437586,field,11.0
M-254005,M-254005,Catinella2005,8,0.086328,0.294605,0.328271,-10.267382,field,11.0
M-259004,M-259004,Catinella2005,11,0.082348,-0.446764,-0.43998,-9.718226,field,11.0
M-305008,M-305008,Catinella2005,7,0.134208,-0.014936,0.032033,-10.482231,field,11.0
M-307047,M-307047,Catinella2005,5,0.078595,0.390842,0.414655,-11.710079,field,11.0
M-308018,M-308018,Catinella2005,5,0.090809,0.235657,0.289482,-10.485481,field,11.0
M-313058,M-313058,Catinella2005,5,0.087935,0.379172,0.415518,-11.277742,field,11.0
M-334041,M-334041,Catinella2005,5,0.158768,0.234096,0.297879,-11.082267,dense,13.5
M-335003,M-335003,Catinella2005,5,0.066957,0.483699,0.462901,-12.358493,field,11.0
M-335004,M-335004,Catinella2005,12,0.200553,0.442756,0.353706,-10.298791,field,11.0
M-357001,M-357001,Catinella2005,6,0.08071,0.36952,0.400316,-11.051175,field,11.0
M-357018,M-357018,Catinella2005,5,0.104385,0.344294,0.401949,-11.715863,field,11.0
M1012054,M1012054,Catinella2005,11,0.153582,-0.199073,-0.174408,-10.08384,field,11.0
M1024079,M1024079,Catinella2005,5,0.116667,0.303242,0.362753,-11.451538,field,11.0
M1120021,M1120021,Catinella2005,10,0.076616,0.354856,0.385087,-10.946143,field,11.0
M1213030,M1213030,Catinella2005,12,0.108834,0.190134,0.242849,-10.402343,field,11.0
N 1024,N1024,Catinella2005,11,0.125687,0.422742,0.386067,-10.543201,field,11.0
N 1030,N1030,Catinella2005,10,0.058948,0.409376,0.425985,-10.566263,field,11.0
N 1037,N1037,Catinella2005,14,0.129109,0.467823,0.408105,-10.967671,field,11.0
N 1080,N1080,Catinella2005,7,0.060667,0.437771,0.441188,-12.036951,field,11.0
N 1081,N1081,Catinella2005,6,0.077805,0.349283,0.373367,-10.905379,field,11.0
N 1242,N1242,Catinella2005,5,0.079715,0.377172,0.407454,-10.778634,field,11.0
N 1247,N1247,Catinella2005,11,0.103536,0.435436,0.383657,-10.442392,field,11.0
N 1324,N1324,Catinella2005,9,0.076166,0.415778,0.38737,-10.285134,field,11.0
N 1337,N1337,Catinella2005,5,0.069125,0.401377,0.41567,-11.241093,field,11.0
N 1418,N1418,Catinella2005,5,0.096896,0.35311,0.400472,-11.171852,field,11.0
N 1586,N1586,Catinella2005,5,0.075968,0.368474,0.387136,-10.927433,field,11.0
N 1618,N1618,Catinella2005,8,0.169397,0.633116,0.579295,-11.256389,field,11.0
N 1622,N1622,Catinella2005,15,0.147692,0.475362,0.415173,-10.742414,field,11.0
N 1628,N1628,Catinella2005,6,0.156877,0.173401,0.231332,-10.404202,field,11.0
N 217,N217,Catinella2005,8,0.165688,0.432232,0.345787,-10.170098,field,11.0
N 2410,N2410,Catinella2005,10,0.265472,0.543338,0.419784,-10.718176,field,11.0
N 2523,N2523,Catinella2005,5,0.074947,0.413157,0.443724,-10.775023,field,11.0
N 2550,N2550,Catinella2005,5,0.116537,0.183515,0.233104,-10.483889,field,11.0
N 2590,N2590,Catinella2005,6,0.129239,0.467612,0.407268,-10.338407,field,11.0
N 268,N268,Catinella2005,6,0.094183,0.355793,0.400615,-11.417231,field,11.0
N 2708,N2708,Catinella2005,5,0.077102,0.333784,0.372105,-10.156159,field,11.0
N 2713,N2713,Catinella2005,11,0.169305,0.519214,0.454774,-10.30434,field,11.0
N 2758,N2758,Catinella2005,5,0.168841,0.389991,0.342648,-11.547466,field,11.0
N 280,N280,Catinella2005,14,0.175595,0.640951,0.585311,-10.995453,field,11.0
N 2841,N2841,Catinella2005,5,0.071968,0.17966,0.204559,-9.42784,field,11.0
N 2862,N2862,Catinella2005,9,0.138236,0.170075,0.230047,-10.104262,field,11.0
N 2998,N2998,Catinella2005,11,0.046772,0.405812,0.398542,-10.883734,field,11.0
N 3145,N3145,Catinella2005,10,0.154086,0.459012,0.374559,-10.603813,field,11.0
N 325,N325,Catinella2005,5,0.086033,0.349814,0.387622,-10.584484,field,11.0
N 329,N329,Catinella2005,5,0.053018,0.391694,0.368439,-10.378182,field,11.0
N 353,N353,Catinella2005,5,0.107928,0.270896,0.331434,-10.229488,field,11.0
N 3769,N3769,Catinella2005,5,0.08828,0.471453,0.436622,-10.680092,dense,12.8
N 3907b,N3907B,Catinella2005,6,0.16691,0.017098,0.061068,-10.098842,field,11.0
N 3917,N3917,Catinella2005,5,0.146368,0.26806,0.33152,-10.875489,dense,12.8
N 3949,N3949,Catinella2005,5,0.039177,0.311724,0.323784,-10.161369,dense,12.8
N 4050,N4050,Catinella2005,5,0.132909,0.101772,0.142513,-10.453261,field,11.0
N 4079,N4079,Catinella2005,6,0.064344,0.41087,0.413187,-10.577165,field,11.0
N 4129,N4129,Catinella2005,5,0.154959,0.192477,0.270857,-10.519827,field,11.0
N 4226,N4226,Catinella2005,5,0.086738,0.309444,0.347669,-10.079668,field,11.0
N 4357,N4357,Catinella2005,7,0.063798,0.499617,0.505053,-10.788061,field,11.0
N 4428,N4428,Catinella2005,5,0.053006,0.430238,0.408571,-10.641863,field,11.0
N 4433,N4433,Catinella2005,5,0.146619,0.242916,0.312027,-10.425366,field,11.0
N 4642,N4642,Catinella2005,5,0.143009,0.265823,0.33181,-10.758088,field,11.0
N 4668,N4668,Catinella2005,5,0.193493,0.229483,0.297681,-11.721421,field,11.0
N 4781,N4781,Catinella2005,5,0.067531,0.359239,0.368956,-11.072916,field,11.0
N 497,N497,Catinella2005,12,0.127284,0.505557,0.452426,-10.669933,field,11.0
N 4995,N4995,Catinella2005,5,0.109475,0.515843,0.480663,-10.672465,field,11.0
N 5073,N5073,Catinella2005,7,0.073527,0.369101,0.389981,-10.90649,field,11.0
N 5079,N5079,Catinella2005,5,0.046153,0.469572,0.465116,-11.037558,field,11.0
N 5088,N5088,Catinella2005,5,0.209618,0.239873,0.309345,-10.887396,field,11.0
N 5134,N5134,Catinella2005,5,0.113794,0.506635,0.448392,-12.369366,field,11.0
N 5174,N5174,Catinella2005,15,0.056097,0.431152,0.43758,-10.826024,field,11.0
N 5184,N5184,Catinella2005,7,0.063647,0.367581,0.372205,-10.726052,field,11.0
N 52,N52,Catinella2005,8,0.108046,0.123589,0.169107,-10.128398,field,11.0
N 5207,N5207,Catinella2005,13,0.126591,0.445405,0.375582,-10.6545,field,11.0
N 5356,N5356,Catinella2005,5,0.124715,0.249671,0.309428,-10.57164,field,11.0
N 5426,N5426,Catinella2005,5,0.139634,0.550984,0.501431,-10.768438,field,11.0
N 5496,N5496,Catinella2005,5,0.077564,0.428707,0.467926,-11.65553,field,11.0
N 5584,N5584,Catinella2005,5,0.107185,0.332007,0.389595,-11.644726,field,11.0
N 5604,N5604,Catinella2005,5,0.039581,0.404236,0.38025,-10.585525,field,11.0
N 5616,N5616,Catinella2005,12,0.062154,0.352746,0.372482,-10.741811,field,11.0
N 5618,N5618,Catinella2005,9,0.065353,0.489405,0.464745,-11.629512,field,11.0
N 565,N565,Catinella2005,5,0.07485,0.294278,0.315156,-9.879152,field,11.0
N 5719,N5719,Catinella2005,5,0.223089,0.558202,0.461382,-10.340184,field,11.0
N 5750,N5750,Catinella2005,5,0.040057,0.347414,0.334326,-10.009945,field,11.0
N 5775,N5775,Catinella2005,5,0.192728,0.159004,0.188485,-10.329904,field,11.0
N 5806,N5806,Catinella2005,5,0.212007,0.490383,0.373404,-10.385631,field,11.0
N 5861,N5861,Catinella2005,5,0.026274,0.35798,0.348374,-10.698782,field,11.0
N 5908,N5908,Catinella2005,7,0.068498,0.285444,0.298466,-9.857391,field,11.0
N 5985,N5985,Catinella2005,7,0.067405,0.410778,0.394597,-10.26434,field,11.0
N 6070,N6070,Catinella2005,5,0.067005,0.41961,0.427168,-10.664157,field,11.0
N 615,N615,Catinella2005,5,0.100781,0.269349,0.318303,-10.084506,field,11.0
N 64,N64,Catinella2005,5,0.121895,0.182107,0.233242,-10.428423,field,11.0
N 6689,N6689,Catinella2005,5,0.015845,0.392563,0.388145,-10.992488,field,11.0
N 6792,N6792,Catinella2005,8,0.064646,0.451785,0.44035,-10.520725,field,11.0
N 7047,N7047,Catinella2005,5,0.100223,0.315597,0.371382,-10.53954,field,11.0
N 7331,N7331,Catinella2005,7,0.063257,0.337102,0.317853,-10.246284,field,11.0
N 7344,N7344,Catinella2005,7,0.168076,0.552414,0.481491,-10.736189,field,11.0
N 7364,N7364,Catinella2005,5,0.141867,0.56898,0.537354,-10.634776,field,11.0
N 7378,N7378,Catinella2005,5,0.099104,0.339935,0.397239,-11.033541,field,11.0
N 7448,N7448,Catinella2005,5,0.044362,0.401176,0.388248,-10.851632,field,11.0
N 747,N747,Catinella2005,5,0.061175,0.405123,0.382382,-10.338812,field,11.0
N 7587,N7587,Catinella2005,10,0.063163,0.391275,0.361207,-10.338683,field,11.0
N 7641,N7641,Catinella2005,13,0.139053,-0.059199,-0.020047,-10.081351,field,11.0
N 7700,N7700,Catinella2005,7,0.074985,0.320158,0.344305,-10.52654,field,11.0
N 7782,N7782,Catinella2005,9,0.104277,0.453442,0.407427,-10.335536,field,11.0
N 926,N926,Catinella2005,11,0.097492,0.461112,0.409155,-10.860936,field,11.0
N2552,N2552,SS20_A,1,0.0,0.299798,0.299798,-10.929591,field,11.0
NGC 0100,NGC0100,SS20_S,1,0.0,0.167107,0.167107,-10.839641,field,11.0
NGC 0891,NGC0891,SS20_S,1,0.0,-0.141562,-0.141562,-9.088204,field,11.0
NGC 100,NGC100,Yu2020,1,0.0,-0.62055,-0.62055,-12.950293,field,11.0
NGC 1023,NGC1023,Noordermeer2005,1,0.0,0.47336,0.47336,-18.249994,field,12.5
NGC 1156,NGC1156,Yu2020,1,0.0,-0.380543,-0.380543,-12.297899,field,11.0
NGC 1167,NGC1167,Noordermeer2005,1,0.0,0.267304,0.267304,-10.190613,field,12.5
NGC 1311,NGC1311,LVHIS,1,0.0,0.099763,0.099763,-11.904437,field,11.0
NGC 1705,NGC1705,SS20_S,1,0.0,0.283399,0.283399,-10.36858,field,11.0
NGC 2268,NGC2268,Yu2020,1,0.0,-0.60723,-0.60723,-11.94492,field,11.0
NGC 2273,NGC2273,Noordermeer2005,1,0.0,0.13451,0.13451,-10.170008,field,12.0
NGC 23,NGC23,Noordermeer2005,1,0.0,-0.06636,-0.06636,-9.889852,field,12.5
NGC 2357,NGC2357,Yu2020,1,0.0,-0.684418,-0.684418,-12.736186,field,11.0
NGC 2460,NGC2460,Yu2020,1,0.0,-0.029352,-0.029352,-11.656904,field,11.0
NGC 253,NGC253,LVHIS,1,0.0,0.693247,0.693247,-11.762889,field,11.0
NGC 2541,NGC2541,Yu2020,1,0.0,-0.534219,-0.534219,-12.763927,field,11.0
NGC 26,NGC26,Noordermeer2005,1,0.0,0.114661,0.114661,-10.361247,field,12.5
NGC 262,NGC262,Noordermeer2005,1,0.0,-1.302361,-1.302361,-10.441599,field,12.5
NGC 2655,NGC2655,Noordermeer2005,1,0.0,0.219817,0.219817,-17.229451,field,12.0
NGC 2685,NGC2685,Yu2020,1,0.0,-0.477682,-0.477682,-12.035052,field,11.0
NGC 2715,NGC2715,Yu2020,1,0.0,-0.703098,-0.703098,-12.426353,field,11.0
NGC 2742,NGC2742,Yu2020,1,0.0,-0.432985,-0.432985,-11.994466,field,11.0
NGC 2764,NGC2764,Yu2020,1,0.0,-0.416438,-0.416438,-11.776802,field,11.0
NGC 2985,NGC2985,Noordermeer2005,1,0.0,0.095583,0.095583,-10.419435,field,12.0
NGC 300,NGC300,LVHIS,1,0.0,0.014192,0.014192,-12.087958,field,11.5
NGC 3027,NGC3027,Yu2020,1,0.0,-0.758893,-0.758893,-12.950547,field,11.0
NGC 3041,NGC3041,Yu2020,1,0.0,-0.354093,-0.354093,-11.726404,field,11.0
NGC 3067,NGC3067,Noordermeer2005,1,0.0,-0.518611,-0.518611,-9.587061,field,12.0
NGC 3190,NGC3190,Noordermeer2005,1,0.0,0.15908,0.15908,-9.569311,dense,13.0
NGC 3254,NGC3254,Yu2020,1,0.0,-0.235307,-0.235307,-12.089533,field,11.0
NGC 3319,NGC3319,Yu2020,1,0.0,-0.537483,-0.537483,-12.739211,field,11.0
NGC 3338,NGC3338,Yu2020,1,0.0,-0.45254,-0.45254,-12.212834,field,11.0
NGC 3351,NGC3351,Yu2020,1,0.0,-0.437366,-0.437366,-11.241364,field,11.0
NGC 3359,NGC3359,Yu2020,1,0.0,-0.477797,-0.477797,-12.254912,field,11.0
NGC 338,NGC338,Noordermeer2005,1,0.0,0.121684,0.121684,-10.050451,field,12.5
NGC 3413,NGC3413,Noordermeer2005,1,0.0,-0.246486,-0.246486,-10.184494,field,11.0
NGC 3432,NGC3432,Yu2020,1,0.0,-0.52829,-0.52829,-12.823026,field,11.0
NGC 3442,NGC3442,Noordermeer2005,1,0.0,-0.261727,-0.261727,-10.055828,field,12.0
NGC 3486,NGC3486,Yu2020,1,0.0,-0.211166,-0.211166,-12.055911,field,11.0
NGC 3614,NGC3614,Yu2020,1,0.0,-0.237135,-0.237135,-11.995677,field,11.0
NGC 3621,NGC3621,SS20_TH,1,0.0,-0.010916,-0.010916,-10.15019,field,11.0
NGC 3646,NGC3646,Yu2020,1,0.0,-0.571795,-0.571795,-12.179382,field,11.0
NGC 3666,NGC3666,Yu2020,1,0.0,-0.585813,-0.585813,-12.553952,field,11.0
NGC 3675,NGC3675,Yu2020,1,0.0,-0.295175,-0.295175,-11.449593,dense,12.8
NGC 3733,NGC3733,Yu2020,1,0.0,-0.640765,-0.640765,-12.940958,dense,12.8
NGC 3738,NGC3738,LITTLETHINGS,1,0.0,0.611173,0.611173,-10.569438,field,11.0
NGC 3756,NGC3756,Yu2020,1,0.0,-0.512492,-0.512492,-12.080253,dense,12.8
NGC 3786,NGC3786,Noordermeer2005,1,0.0,0.160856,0.160856,-9.834969,field,12.0
NGC 3788,NGC3788,Noordermeer2005,1,0.0,0.101198,0.101198,-9.961651,field,12.0
NGC 3870,NGC3870,Noordermeer2005,1,0.0,-0.33492,-0.33492,-9.821875,dense,12.8
NGC 3898,NGC3898,Noordermeer2005,1,0.0,0.25301,0.25301,-10.329269,dense,12.8
NGC 3900,NGC3900,Noordermeer2005,1,0.0,0.220797,0.220797,-10.224175,field,12.0
NGC 4010,NGC4010,SS20_S,1,0.0,0.074471,0.074471,-10.420878,dense,12.8
NGC 4013,NGC4013,SS20_S,1,0.0,-0.012275,-0.012275,-9.784794,field,11.0
NGC 4062,NGC4062,Yu2020,1,0.0,-0.329398,-0.329398,-11.923532,field,11.0
NGC 4096,NGC4096,Yu2020,1,0.0,-0.52006,-0.52006,-12.268672,dense,12.8
NGC 4144,NGC4144,Yu2020,1,0.0,-0.56602,-0.56602,-12.881998,field,11.0
NGC 4189,NGC4189,Yu2020,1,0.0,0.196608,0.196608,-11.179131,dense,14.9
NGC 4203,NGC4203,Noordermeer2005,1,0.0,0.139505,0.139505,-10.442488,field,12.0
NGC 4214,NGC4214,Yu2020,1,0.0,-0.607636,-0.607636,-12.217538,field,11.0
NGC 4216,NGC4216,Yu2020,1,0.0,-0.606281,-0.606281,-11.778928,dense,14.9
NGC 4217,NGC4217,SS20_S,1,0.0,-0.221765,-0.221765,-9.17882,field,11.0
NGC 4294,NGC4294,Yu2020,1,0.0,-0.712404,-0.712404,-12.489888,dense,14.9
NGC 4298,NGC4298,Yu2020,1,0.0,-0.547882,-0.547882,-11.75775,dense,14.9
NGC 4351,NGC4351,Yu2020,1,0.0,-0.401627,-0.401627,-11.508815,dense,14.9
NGC 4380,NGC4380,Yu2020,1,0.0,-0.487324,-0.487324,-11.000284,dense,14.9
NGC 4384,NGC4384,Noordermeer2005,1,0.0,-0.712827,-0.712827,-9.505019,field,12.0
NGC 4388,NGC4388,Yu2020,1,0.0,-0.502169,-0.502169,-11.507669,dense,14.9
NGC 4389,NGC4389,Yu2020,1,0.0,-0.620726,-0.620726,-11.54957,dense,12.8
NGC 4402,NGC4402,Yu2020,1,0.0,-0.775366,-0.775366,-11.802191,dense,14.9
NGC 4414,NGC4414,Yu2020,1,0.0,-0.213212,-0.213212,-11.73023,field,11.0
NGC 4501,NGC4501,Yu2020,1,0.0,-0.435569,-0.435569,-11.191605,dense,14.9
NGC 4509,NGC4509,Noordermeer2005,1,0.0,-0.696406,-0.696406,-10.38499,field,12.5
NGC 4522,NGC4522,Yu2020,1,0.0,-0.537304,-0.537304,-12.316403,dense,14.9
NGC 4532,NGC4532,Yu2020,1,0.0,-0.855053,-0.855053,-12.876643,dense,14.9
NGC 4534,NGC4534,Yu2020,1,0.0,-0.776558,-0.776558,-12.699681,field,11.0
NGC 4545,NGC4545,Yu2020,1,0.0,-0.469541,-0.469541,-12.309142,field,11.0
NGC 4605,NGC4605,Yu2020,1,0.0,-0.684682,-0.684682,-12.319445,field,11.0
NGC 4654,NGC4654,Yu2020,1,0.0,-0.569499,-0.569499,-11.949284,dense,14.9
NGC 4689,NGC4689,Yu2020,1,0.0,-0.519918,-0.519918,-10.939095,dense,14.9
NGC 4698,NGC4698,Yu2020,1,0.0,-0.332425,-0.332425,-11.698627,dense,14.9
NGC 4725,NGC4725,Noordermeer2005,1,0.0,-0.067749,-0.067749,-10.110867,field,12.0
NGC 4814,NGC4814,Yu2020,1,0.0,-0.183637,-0.183637,-11.745104,field,11.0
NGC 4945,NGC4945,LVHIS,1,0.0,0.727219,0.727219,-12.037265,field,11.0
NGC 5014,NGC5014,Noordermeer2005,1,0.0,-0.944269,-0.944269,-10.100573,field,12.0
NGC 5102,NGC5102,LVHIS,1,0.0,0.593749,0.593749,-12.41421,field,11.0
NGC 5128,NGC5128,LVHIS,1,0.0,1.297146,1.297146,-11.636615,dense,12.5
NGC 514,NGC514,Yu2020,1,0.0,-0.404481,-0.404481,-11.815833,field,11.0
NGC 5205,NGC5205,Yu2020,1,0.0,-0.416591,-0.416591,-12.16826,field,11.0
NGC 5236,NGC5236,LVHIS,1,0.0,0.220212,0.220212,-12.300976,field,11.0
NGC 5237,NGC5237,LVHIS,1,0.0,0.839869,0.839869,-12.632224,dense,12.5
NGC 5289,NGC5289,Noordermeer2005,1,0.0,0.111533,0.111533,-10.26826,field,12.5
NGC 5296,NGC5296,GHASP,6,0.246392,-0.48673,-0.393384,-9.656057,field,11.0
NGC 5347,NGC5347,Noordermeer2005,1,0.0,-0.611168,-0.611168,-10.512259,field,12.0
NGC 5350,NGC5350,Yu2020,1,0.0,-0.577864,-0.577864,-11.899167,field,11.0
NGC 5351,NGC5351,Yu2020,1,0.0,-0.427767,-0.427767,-12.220857,field,11.0
NGC 5377,NGC5377,Noordermeer2005,1,0.0,0.162833,0.162833,-10.156593,field,12.0
NGC 55,NGC55,LVHIS,1,0.0,-0.166275,-0.166275,-11.998224,field,11.0
NGC 5523,NGC5523,Yu2020,1,0.0,-0.387058,-0.387058,-12.670438,field,11.0
NGC 5529,NGC5529,Yu2020,1,0.0,-0.4732,-0.4732,-12.335996,field,11.0
NGC 5533,NGC5533,Noordermeer2005,1,0.0,0.027333,0.027333,-10.559309,field,12.5
NGC 5678,NGC5678,Yu2020,1,0.0,-0.506029,-0.506029,-11.863012,field,11.0
NGC 5783,NGC5783,Yu2020,1,0.0,-0.439352,-0.439352,-12.277214,field,11.0
NGC 5879,NGC5879,Yu2020,1,0.0,-0.49044,-0.49044,-12.15267,field,11.0
NGC 5899,NGC5899,Yu2020,1,0.0,-0.474934,-0.474934,-11.926259,field,11.0
NGC 5907,NGC5907,SS20_S,1,0.0,0.049409,0.049409,-10.102576,field,11.0
NGC 5951,NGC5951,Yu2020,1,0.0,-0.668148,-0.668148,-12.627604,field,11.0
NGC 6186,NGC6186,Noordermeer2005,1,0.0,-1.023597,-1.023597,-9.987239,field,11.0
NGC 6207,NGC6207,Yu2020,1,0.0,-0.600553,-0.600553,-12.377315,field,11.0
NGC 6236,NGC6236,Yu2020,1,0.0,-0.544463,-0.544463,-12.577954,field,11.0
NGC 6255,NGC6255,Yu2020,1,0.0,-0.532516,-0.532516,-12.999867,field,11.0
NGC 6339,NGC6339,Yu2020,1,0.0,-0.393509,-0.393509,-12.385967,field,11.0
NGC 6643,NGC6643,Yu2020,1,0.0,-0.626317,-0.626317,-11.910431,field,11.0
NGC 6667,NGC6667,Noordermeer2005,1,0.0,0.083699,0.083699,-10.518724,field,12.0
NGC 6689,NGC6689,Yu2020,1,0.0,-0.567481,-0.567481,-12.803809,field,11.0
NGC 691,NGC691,Yu2020,1,0.0,-0.284437,-0.284437,-11.411089,field,11.0
NGC 694,NGC694,Noordermeer2005,1,0.0,-0.61832,-0.61832,-9.962093,field,12.5
NGC 697,NGC697,Yu2020,1,0.0,-0.747796,-0.747796,-12.37013,field,11.0
NGC 7013,NGC7013,Noordermeer2005,1,0.0,0.017359,0.017359,-9.910009,field,12.0
NGC 7177,NGC7177,Yu2020,1,0.0,-0.186418,-0.186418,-11.598199,field,11.0
NGC 7217,NGC7217,Noordermeer2005,1,0.0,0.17179,0.17179,-9.389183,field,12.0
NGC 7231,NGC7231,Noordermeer2005,1,0.0,-0.318108,-0.318108,-10.093478,field,11.0
NGC 7286,NGC7286,Noordermeer2005,1,0.0,-0.01344,-0.01344,-10.737976,field,11.0
NGC 7440,NGC7440,Noordermeer2005,1,0.0,-0.722507,-0.722507,-10.295846,field,11.0
NGC 7497,NGC7497,Yu2020,1,0.0,-0.798566,-0.798566,-12.63529,field,11.0
NGC 753,NGC753,Yu2020,1,0.0,-0.686729,-0.686729,-12.013711,field,11.0
NGC 7664,NGC7664,Yu2020,1,0.0,-0.459263,-0.459263,-12.129985,field,11.0
NGC 772,NGC772,Yu2020,1,0.0,-0.710421,-0.710421,-11.820206,field,11.0
NGC 7741,NGC7741,Yu2020,1,0.0,-0.371378,-0.371378,-12.315988,field,11.0
NGC 7753,NGC7753,Yu2020,1,0.0,-1.080153,-1.080153,-12.295708,field,11.0
NGC 7771,NGC7771,Noordermeer2005,1,0.0,-0.02877,-0.02877,-10.036755,field,12.5
NGC 7814,NGC7814,SS20_S,1,0.0,-0.08973,-0.08973,-8.784097,field,11.0
NGC 7817,NGC7817,Yu2020,1,0.0,-0.639036,-0.639036,-12.054699,field,11.0
NGC 784,NGC784,Yu2020,1,0.0,-0.978701,-0.978701,-13.264049,field,11.0
NGC 797,NGC797,Noordermeer2005,1,0.0,0.253484,0.253484,-10.145661,field,12.5
NGC 803,NGC803,Yu2020,1,0.0,-0.693608,-0.693608,-12.562342,field,11.0
NGC 818,NGC818,Yu2020,1,0.0,-0.537999,-0.537999,-12.20116,field,11.0
NGC 918,NGC918,Yu2020,1,0.0,-0.518594,-0.518594,-12.0819,field,11.0
NGC 925,NGC925,SS20_TH,1,0.0,-0.121124,-0.121124,-10.717297,field,11.0
NGC 972,NGC972,Noordermeer2005,1,0.0,-0.28813,-0.28813,-9.569588,field,12.0
NGC0024,NGC0024,SPARC,29,0.098923,-0.010537,0.007468,-10.184363,field,11.0
NGC0055,NGC0055,SPARC,21,0.032045,-0.091573,-0.079501,-11.191887,field,11.5
NGC0247,NGC0247,SPARC,26,0.054022,-0.021152,-0.045618,-11.08273,field,11.5
NGC0289,NGC0289,SPARC,28,0.169133,-0.038879,-0.104362,-11.05457,field,11.0
NGC0300,NGC0300,SPARC,25,0.057635,0.001861,0.003496,-11.045615,field,11.5
NGC0801,NGC0801,SPARC,13,0.114949,-0.023653,-0.039512,-10.187251,field,11.0
NGC1003,NGC1003,SPARC,36,0.08667,0.008924,0.031463,-11.116784,field,11.0
NGC1087,NGC1087,PHANGS,32,0.067185,-0.059283,-0.086486,-9.664752,field,11.0
