PlateIFU	MaNGAId	RAJ2000	DEJ2000	NSAz	NSAzdist	NSAsth50	NSAeth50r	NSAsMass	NSAeMass	NSAsn	z	zmin	zmax	MnGtarg1
"8945-6102  "	"1-280104"	173.701236	46.98995	0.032908	0.033071	5.35166	6.62768	5.8969002E10	4.2655998E10	5.0816	0.032908	0.02907	0.045117	1040
"8945-3701  "	"1-279554"	171.628471	46.998431	0.025457	0.025617	2.93445	3.50364	1.5072E10	1.30139996E10	4.74191	0.025457	0.022942	0.029893	1552
"8945-12702 "	"1-615167"	172.66989	47.018275	0.025017	0.025179	11.2998	13.8578	1.14099999E10	8.1750001E9	0.917555	0.025017	0.024034	0.03148	1040
"8945-3702  "	"1-279617"	173.3619	47.286728	0.045554	0.045721	1.66524	1.64032	3.46119987E9	3.33240013E9	2.13463	0.045554	0.021343	0.028122	2336
"8945-12705 "	"1-257412"	174.317748	45.757399	0.024606	0.024748	10.7572	11.5857	6.6645002E9	6.0669998E9	1.13289	0.024606	0.021333	0.028112	1168
"8945-3704  "	"1-280053"	175.1973	46.540492	0.053588	0.053745	9.27547	10.1063	2.50990002E11	1.73549994E11	6.0	0.053588			0
"8945-1902  "	"1-279690"	174.478162	47.466354	0.034059	0.034231	3.37251	3.52219	5.0256998E10	3.5766002E10	5.78002	0.034059	0.027492	0.039773	1040
"8945-3703  "	"1-279666"	173.911234	47.51552	0.045503	0.045675	2.08164	2.29516	1.37670001E10	1.28350003E10	1.61357	0.045503	0.023106	0.03011	2080
"8945-6104  "	"1-279675"	174.128116	47.817226	0.03384	0.034017	7.66093	7.36856	4.2255999E10	3.37490002E10	5.4762	0.03384	0.027167	0.038758	1040
"8945-12703 "	"1-279676"	173.981887	48.021458	0.05867	0.058851	4.57275	5.87518	3.12859996E10	2.8790999E10	4.54257	0.05867	0.026832	0.037758	2080
"8466-3702  "	"1-277965"	168.183562	45.187387	0.02336	0.023485	4.18426	4.38478	1.99870003E9	1.38649997E9	0.707395	0.02336	0.016071	0.024408	1168
"8466-1901  "	"1-277944"	168.480327	45.488367	0.029302	0.029433	1.90413	2.4309	5.0771999E9	4.5529999E9	3.55184	0.029302	0.018909	0.026161	4096
"8466-12701 "	"1-277987"	167.919039	45.350446	0.023397	0.023524	9.57339	12.9025	3.25980006E9	2.54840013E9	0.717618	0.023397	0.017738	0.025394	1168
"8466-12702 "	"1-278011"	167.967431	45.541396	0.028457	0.028588	8.35199	10.044	1.31750001E10	9.2499999E9	1.53462	0.028457	0.023725	0.030993	1168
"8466-12704 "	"1-277997"	168.363126	45.866382	0.054075	0.054212	6.61373	7.18183	2.03379999E10	1.29089997E10	1.72334	0.054075	0.025088	0.033423	2080
"8466-6103  "	"1-278015"	167.878678	45.643125	0.06337	0.063503	3.45699	3.80211	4.4417999E10	3.24720005E10	4.55946	0.06337	0.027371	0.039391	2080
"8946-3701  "	"1-279147"	168.957727	46.319564	0.053281	0.053427	3.62516	3.78739	2.75889992E10	2.22049997E10	5.2131	0.053281	0.025782	0.03497	2080
"8466-9102  "	"1-279083"	170.583304	46.701333	0.017476	0.018253	5.41407	7.35775	1.1284E9	5.9935002E8	1.47287	0.017476	0.015649	0.024172	1040
"8946-9102  "	"1-279252"	170.142156	46.824504	0.053523	0.053679	8.508	7.73955	1.25110002E11	8.6878003E10	6.0	0.053523	0.038047	0.070962	1040
"8946-6101  "	"1-278221"	168.752094	46.634525	0.054185	0.054336	3.38579	3.81477	2.192E10	1.95720008E10	2.32885	0.054185	0.025764	0.034927	2080
"8946-1902  "	"1-613755"	169.300369	46.859873	0.060785	0.060941	4.11303	4.41553	1.20370004E11	8.4342997E10	5.44936	0.060785	0.03833	0.071581	1040
"8946-12701 "	"1-613799"	169.42303	47.0834	0.053164	0.053323	13.0224	12.88	7.6504998E10	3.7370999E10	1.43503	0.053164	0.030839	0.051254	4160
"8946-3702  "	"1-279188"	169.514598	47.505812	0.024787	0.024954	3.01516	4.18429	7.6288998E8	8.6423002E8	0.625405	0.024787	0.012692	0.022605	4672
"8946-12702 "	"1-613949"	169.8237	47.648358	0.034407	0.034577	11.6537	11.96	1.16039999E11	6.3277998E10	5.20032	0.034407	0.034515	0.062376	1040
"8946-6104  "	"1-174074"	170.288543	48.041655	0.12623	0.126407	6.08063	6.08916	2.56969998E11	1.58559994E11	6.0	0.12623	0.08451	0.128484	1040
"8946-6102  "	"1-279532"	170.808273	46.997802	0.024776	0.024935	4.45366	5.82981	1.024E10	1.01979996E10	2.00745	0.024776	0.022088	0.028882	1168
"8945-6103  "	"1-279329"	171.244627	47.14351	0.053714	0.053876	5.60236	6.9996	6.422E10	5.1290001E10	3.82658	0.053714	0.031045	0.051943	4160
"8945-12701 "	"1-588617"	171.898081	47.379395	0.03273	0.032897	8.95715	9.40076	7.0105999E9	4.5782001E9	0.755485	0.03273	0.023362	0.03046	4224
"8946-9101  "	"1-279279"	170.60692	47.105967	0.025013	0.025174	5.8911	7.01774	4.2510999E9	3.35409997E9	1.02757	0.025013	0.019663	0.026704	1168
"8946-12704 "	"1-279320"	171.148794	47.614015	0.033396	0.033567	3.90316	5.53893	1.08819994E9	1.3864E9	1.14164	0.033396	0.015535	0.024109	2304
"8945-1901  "	"1-279544"	172.365729	47.696293	0.033119	0.033292	2.29044	2.43629	7.5160003E9	5.8969001E9	3.67727	0.033119	0.019855	0.02685	4608
"8990-1902  "	"1-174373"	173.426199	48.318607	0.023534	0.02372	1.99675	2.28369	7.0764998E8	1.07350003E9	3.12536	0.023534	0.013557	0.023051	4096
"8946-12703 "	"1-279314"	171.013323	47.970762	0.140497	0.140674	8.79818	6.77201	1.35339999E11	9.6254001E10	6.0	0.140497	0.05032	0.09236	2048
"8946-12705 "	"1-576146"	170.461724	48.079254	0.128965	0.129143	13.8519	11.8484	1.65439996E11	1.33030003E11	6.0	0.128965	0.062887	0.107984	4160
"8990-12701 "	"1-174429"	173.34594	49.038043	0.031358	0.031556	5.58825	7.8481	6.1449001E9	6.1241001E9	1.04959	0.031358	0.019911	0.026893	4608
"8990-3702  "	"1-174435"	173.306257	49.101957	0.032347	0.032546	3.17923	4.02617	2.36089999E10	2.08200008E10	3.1176	0.032347	0.024989	0.03322	1168
"8990-3701  "	"1-615485"	173.145048	49.109652	0.034015	0.034214	4.04302	3.98827	3.446E10	2.71229993E10	6.0	0.034015	0.026068	0.035677	1040
"8947-12705 "	"1-174475"	172.426419	48.970198	0.04607	0.046266	5.15297	7.41073	1.05220004E10	1.16100004E10	0.56475	0.04607	0.022813	0.02973	2336
"8990-1901  "	"1-174623"	172.929051	49.283238	0.033536	0.033738	2.72444	3.10423	2.04049997E9	2.08129997E9	2.08563	0.033536	0.015366	0.024016	2336
"8946-6103  "	"1-174124"	169.357931	47.854238	0.015745	0.016586	4.59695	5.90274	7.0593997E8	7.0838003E8	0.694261	0.015745	0.013496	0.02302	1168
"8946-1901  "	"1-174119"	169.287129	48.538755	0.025233	0.025418	2.16672	2.36821	6.9663002E9	5.8637998E9	3.89857	0.025233	0.019468	0.026559	1168
"8947-12701 "	"1-614456"	171.027093	48.696297	0.057602	0.057791	8.45894	11.7202	9.7410998E10	6.7229999E10	2.09403	0.057602	0.036902	0.068359	1040
"8947-6101  "	"1-174036"	171.300527	48.735789	0.110067	0.110257	6.46405	6.58919	1.3349E11	1.06250002E11	6.0	0.110067	0.045156	0.08445	4224
"8947-12703 "	"1-174618"	172.886686	49.857504	0.068588	0.068799	5.67743	5.8031	6.0631998E10	4.0118002E10	2.8827	0.068588	0.029016	0.044929	2080
"8947-3703  "	"1-174629"	172.574258	50.430397	0.047105	0.047327	2.68337	2.60284	1.9328E10	1.57199995E10	6.0	0.047105	0.023683	0.030929	2080
"8992-6103  "	"1-149471"	173.037844	50.765535	0.048556	0.048783	2.86804	3.31794	2.04510003E10	1.52620001E10	4.20916	0.048556	0.024113	0.031611	2080
"8947-12702 "	"1-149532"	171.718323	50.542383	0.023316	0.023538	8.08041	9.05934	1.8196E9	2.92670003E9	4.26734	0.023316	0.017991	0.025554	1168
"8992-3701  "	"1-149496"	172.621932	50.765271	0.026139	0.026366	2.58731	2.70469	7.6009999E9	6.1901E9	4.56797	0.026139	0.019733	0.026756	1168
"8990-3704  "	"1-174384"	174.022109	48.955002	0.034501	0.034698	3.21077	3.05068	3.05569997E9	2.5688E9	4.73214	0.034501	0.016106	0.024428	2048
"8990-6101  "	"1-174781"	174.152695	49.063052	0.032314	0.032514	5.96637	6.07898	5.2119998E10	4.0268001E10	6.0	0.032314	0.028254	0.042289	1040
"8990-9101  "	"1-174390"	173.933151	49.037649	0.029617	0.029816	4.62127	6.93088	1.30009999E10	1.13089997E10	1.60943	0.029617	0.022575	0.029438	4288
"8990-3703  "	"1-174392"	173.972424	49.158576	0.035148	0.035348	2.41466	2.83554	2.07580006E9	2.17020006E9	1.31581	0.035148	0.015833	0.024274	2336
"8989-12701 "	"1-174952"	176.326907	49.649766	0.1138	0.114013	7.80767	9.67466	1.3302E11	8.3711001E10	6.0	0.1138	0.039794	0.074657	2208
"8989-3704  "	"1-174966"	176.592526	49.889301	0.026315	0.026532	6.27626	6.82307	2.4982999E9	1.69430003E9	1.10534	0.026315	0.018086	0.025614	4288
"8989-9101  "	"1-174947"	176.358734	49.879041	0.033322	0.033539	6.35402	7.96113	2.81630003E10	2.31799992E10	6.0	0.033322	0.025316	0.033904	1168
"8990-6102  "	"1-174826"	173.679071	49.090824	0.032755	0.032954	61.6367	6.43497	4.3819E10	1.32780001E10	6.0	0.032755	0.022948	0.029902	4096
"8990-12702 "	"1-576106"	173.496785	49.062029	0.031628	0.031826	15.3825	14.6038	1.55960001E11	1.0998E11	6.0	0.031628			0
"8990-12705 "	"1-174631"	173.537567	49.254562	0.037232	0.037434	3.12511	3.03907	8.2950001E9	5.3641001E9	6.0	0.037232			0
"8990-6103  "	"1-589092"	174.72712	49.66036	0.022899	0.02311	4.85554	5.37816	9.6847995E9	6.8618998E9	4.11224	0.022899	0.020659	0.027502	1552
"8990-12704 "	"1-174895"	174.747995	49.778035	0.05184	0.052053	5.35722	7.13809	2.1961001E10	1.84399995E10	2.12423	0.05184	0.024937	0.033116	2080
"8990-9102  "	"1-615921"	173.929666	49.737821	0.032769	0.03298	6.24984	6.90728	1.98259999E10	1.73629993E10	1.971	0.032769	0.025425	0.034145	1168
"8990-6104  "	"1-174914"	174.745256	50.005889	0.04664	0.046857	5.44272	5.76146	5.8882002E9	4.9350001E9	1.02642	0.04664	0.022373	0.029201	6432
"8989-6102  "	"1-174904"	175.556856	50.6815	0.022964	0.023194	5.61782	7.12704	7.882E8	4.2816E8	1.54642	0.022964	0.014437	0.023515	1168
"8989-1901  "	"1-149758"	176.084264	51.01933	0.023901	0.024137	6.53846	8.10073	9.7665004E9	8.1933E9	0.990152	0.023901	0.021972	0.028756	1552
"8989-9102  "	"1-175184"	177.524357	50.467442	0.023528	0.023758	5.76498	7.27268	1.07059999E10	1.02060001E10	1.17578	0.023528	0.02214	0.028939	1552
"8989-3701  "	"1-174979"	176.954357	50.40535	0.057206	0.057433	2.72619	2.85722	3.17059994E10	2.47119995E10	5.17281	0.057206	0.026047	0.035623	2080
"8989-3703  "	"1-617323"	177.44036	50.527016	0.026442	0.026672	6.28171	7.24422	2.09100001E10	1.63609999E10	4.15308	0.026442	0.024745	0.03274	1552
"8989-12702 "	"1-175169"	176.868962	50.431372	0.026406	0.026634	8.22033	11.0957	7.6141E9	5.7910001E9	1.26006	0.026406	0.021231	0.028015	1168
"8989-3702  "	"1-174982"	176.811423	50.501668	0.018864	0.019359	7.67007	7.90819	5.3238E8	6.3516E8	1.18309	0.018864	0.011755	0.022128	1168
"8989-12705 "	"1-175185"	177.647169	50.579347	0.022633	0.022864	10.5138	14.4128	2.86579994E9	2.8784E9	3.26718	0.022633	0.01795	0.025527	1168
"8989-6101  "	"1-175187"	177.739803	50.619575	0.024028	0.02426	4.36063	5.32847	2.62360013E9	2.1712E9	1.30412	0.024028	0.016788	0.02482	1168
"8989-6104  "	"1-175200"	178.462462	51.031197	0.078502	0.078743	4.33768	5.30753	5.9301999E10	3.9567E10	2.12295	0.078502	0.030324	0.049498	2080
"8989-1902  "	"1-150254"	176.787116	50.999712	0.05307	0.053307	4.42421	4.81467	1.81290004E10	1.29019996E10	2.74267	0.05307	0.024597	0.032461	2048
"8991-12705 "	"1-150245"	176.940672	51.08418	0.056302	0.056541	5.35166	6.20167	2.3552E10	1.78889994E10	1.12606	0.056302	0.026261	0.036176	2080
"8991-6102  "	"1-150232"	177.217978	51.552176	0.132561	0.132808	6.30947	5.6617	1.61130004E11	1.73229998E11	6.0	0.132561	0.101879	0.141804	1040
"8989-12703 "	"1-150227"	177.271668	51.582214	0.129618	0.129866	6.17767	5.77894	2.23000003E11	1.31440001E11	6.0	0.129618			0
"8990-12703 "	"1-174880"	174.246659	50.22433	0.055466	0.055686	6.50115	7.38897	2.1961001E10	2.03449999E10	0.802334	0.055466	0.026095	0.035744	2080
"8989-12704 "	"1-149730"	176.224235	51.267067	0.129354	0.129594	8.80468	8.93339	3.84840008E11	2.50549993E11	5.25293	0.129354			0
"8989-6103  "	"1-576172"	174.993505	51.151345	0.128867	0.129104	3.49368	3.57407	9.3844996E10	1.05140003E11	6.0	0.128867	0.044356	0.083109	2080
"8992-1902  "	"1-149501"	173.721052	51.091462	0.026247	0.026482	3.4207	3.49052	1.894E9	1.75830003E9	1.51308	0.026247	0.014792	0.023705	4672
